Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.ParOpt/capt/1,2.7200751370800974e-7,2.718139113901473e-7,2.723279701816814e-7,8.095104825549304e-10,5.784317518167557e-10,1.3118599776646807e-9
capt/LocallyNameless.Lazy.ParOpt/capt/2,3.8793530176987006e-7,3.857230464244495e-7,3.905809740342759e-7,8.42061963005887e-9,6.6632873296876565e-9,1.1836484566753914e-8
capt/LocallyNameless.Lazy.ParOpt/capt/3,5.169775094444323e-7,5.157480792450148e-7,5.187232216618065e-7,4.947829263451882e-9,3.780970225398242e-9,7.0676704150900474e-9
capt/LocallyNameless.Lazy.ParOpt/capt/4,7.111272456125036e-7,7.066219755805248e-7,7.158242540369821e-7,1.555992375139996e-8,1.321315882342412e-8,1.9210127868951608e-8
capt/LocallyNameless.Lazy.ParOpt/capt/5,9.124675626692719e-7,9.066672852376854e-7,9.183839930321148e-7,2.0735490193517006e-8,1.6876658828038306e-8,2.6576945265542678e-8
capt/LocallyNameless.Lazy.ParOpt/capt/6,1.1195537609588763e-6,1.1132721340591863e-6,1.1252184015058368e-6,2.053236242548745e-8,1.6278787702358014e-8,2.936513502140977e-8
capt/LocallyNameless.Lazy.ParOpt/capt/7,1.2850534152899517e-6,1.2810807981256956e-6,1.2891521000657477e-6,1.3635474411485156e-8,1.1658377207227241e-8,1.6394848921485668e-8
capt/LocallyNameless.Lazy.ParOpt/capt/8,1.5032906405666977e-6,1.4965329409155963e-6,1.5093490570831317e-6,2.160260301706351e-8,1.8694104838159415e-8,2.5781128190231757e-8
capt/LocallyNameless.Lazy.ParOpt/capt/9,1.7733009121834586e-6,1.764796417431781e-6,1.781402638766848e-6,2.7648299413330674e-8,2.254974818922774e-8,3.4266290351602e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.ParOpt/capt/1,3.6505560747633794e-7,3.6460444737191185e-7,3.658484159772624e-7,1.947158767558277e-9,1.4231321896044413e-9,2.9994548992317977e-9
capt/LocallyNameless.Lazy.ParOpt/capt/2,4.837257768959421e-7,4.81709605429587e-7,4.856409801855271e-7,6.442224840218709e-9,5.2766238318065015e-9,8.564064132228848e-9
capt/LocallyNameless.Lazy.ParOpt/capt/3,6.332200167595241e-7,6.319878496757731e-7,6.345505235420664e-7,4.418771268292523e-9,3.69685111275824e-9,5.284786364282908e-9
capt/LocallyNameless.Lazy.ParOpt/capt/4,8.340821546306863e-7,8.323231291256998e-7,8.35786007482457e-7,6.106526378329463e-9,5.1171807010688325e-9,7.961780507578864e-9
capt/LocallyNameless.Lazy.ParOpt/capt/5,1.0287595120149149e-6,1.0251753144520303e-6,1.0347238359190921e-6,1.5842808586833508e-8,1.0568489298309467e-8,2.4102371957011555e-8
capt/LocallyNameless.Lazy.ParOpt/capt/6,1.2319920944981663e-6,1.2300344029784272e-6,1.2347580675830094e-6,7.60353943281099e-9,5.685758389760116e-9,1.1670768681014393e-8
capt/LocallyNameless.Lazy.ParOpt/capt/7,1.4558886953264421e-6,1.4534820755273636e-6,1.4589966921444985e-6,8.832741312723832e-9,7.112705749129916e-9,1.1344298283978734e-8
capt/LocallyNameless.Lazy.ParOpt/capt/8,1.6728297216467846e-6,1.6691429487327563e-6,1.6767808307697667e-6,1.2916379187828725e-8,1.015357230884718e-8,1.74722898025991e-8
capt/LocallyNameless.Lazy.ParOpt/capt/9,1.946761184141034e-6,1.9436814781772553e-6,1.950628613851252e-6,1.141127585433001e-8,9.613288059681426e-9,1.4541095358320028e-8
