Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.ParOpt/con/1,1.1121649851880856e-7,1.1108157085434601e-7,1.1142876536422423e-7,5.547793585684398e-10,4.124662717105277e-10,8.309401110937053e-10
con/LocallyNameless.Lazy.ParOpt/con/2,1.7574625046444608e-7,1.7550309828711536e-7,1.766645636898405e-7,1.2813554401849638e-9,4.737699330053112e-10,2.5413838678227968e-9
con/LocallyNameless.Lazy.ParOpt/con/3,2.719748594529479e-7,2.715630983124645e-7,2.7287668117445323e-7,1.948270006747625e-9,1.0096588194450583e-9,3.6605301926759882e-9
con/LocallyNameless.Lazy.ParOpt/con/4,3.752257318065969e-7,3.743509551763399e-7,3.764204102244949e-7,3.5817679412464847e-9,2.9916117298307566e-9,4.305294557348887e-9
con/LocallyNameless.Lazy.ParOpt/con/5,5.286274139324423e-7,5.281952771140991e-7,5.291081702705893e-7,1.5626969971507357e-9,1.255068259976834e-9,2.2533635441169708e-9
con/LocallyNameless.Lazy.ParOpt/con/6,6.770124163606934e-7,6.765578659413505e-7,6.775051727513697e-7,1.6443819375244344e-9,1.3466070479721014e-9,1.9635966223448022e-9
con/LocallyNameless.Lazy.ParOpt/con/7,8.447434257278244e-7,8.437636514980751e-7,8.460479206303188e-7,3.812127428012912e-9,2.759233376298033e-9,5.379902761065035e-9
con/LocallyNameless.Lazy.ParOpt/con/8,1.0330505861001828e-6,1.0315716578430803e-6,1.038449905014553e-6,8.488433459509758e-9,4.00490845717335e-9,1.6272374945883143e-8
con/LocallyNameless.Lazy.ParOpt/con/9,1.219057625920723e-6,1.2179201204901049e-6,1.2202567555903472e-6,3.867375931390415e-9,3.094259351350076e-9,5.184623109459984e-9
con/LocallyNameless.Lazy.ParOpt/con/10,1.4607360312007629e-6,1.458939184134388e-6,1.4639587967809401e-6,7.867719523204648e-9,5.266930010672428e-9,1.2527553165956973e-8
con/LocallyNameless.Lazy.ParOpt/con/11,1.7041981189366476e-6,1.7013713310401924e-6,1.7085602886140413e-6,1.127975789163118e-8,8.213431813461728e-9,1.5618768514607404e-8
con/LocallyNameless.Lazy.ParOpt/con/12,1.951286720439433e-6,1.949654539090148e-6,1.9532605468108276e-6,6.298158181790868e-9,5.188527134399831e-9,8.353341667007367e-9
con/LocallyNameless.Lazy.ParOpt/con/13,2.2589033560124476e-6,2.254810778276051e-6,2.2652616499992044e-6,1.644109909841609e-8,9.414187510989044e-9,2.6880478849677252e-8
con/LocallyNameless.Lazy.ParOpt/con/14,2.5432961982197037e-6,2.5387381230133736e-6,2.5542755214301863e-6,2.2681343337918768e-8,9.147152678503318e-9,4.7174531485231516e-8
con/LocallyNameless.Lazy.ParOpt/con/15,2.8513351418596046e-6,2.850042916504529e-6,2.8529019008537054e-6,4.756813222979053e-9,3.4787920866607915e-9,7.2811202951162515e-9
con/LocallyNameless.Lazy.ParOpt/con/16,3.2026532890110344e-6,3.2002568085072204e-6,3.2064270093178063e-6,9.744108408978252e-9,6.384181403860621e-9,1.7491488904514784e-8
con/LocallyNameless.Lazy.ParOpt/con/17,3.579913148591723e-6,3.576582922087877e-6,3.5846595364897277e-6,1.2885377101722768e-8,9.108212830292838e-9,1.714795173655134e-8
con/LocallyNameless.Lazy.ParOpt/con/18,3.976263059029526e-6,3.973305325350945e-6,3.979903908861826e-6,1.0601685525373163e-8,8.681323596542073e-9,1.4226001868868633e-8
con/LocallyNameless.Lazy.ParOpt/con/19,4.39923043151335e-6,4.393851398651181e-6,4.411280208611843e-6,2.6479638743494194e-8,1.5336682058719465e-8,4.769373372212839e-8
con/LocallyNameless.Lazy.ParOpt/con/20,4.846731039940873e-6,4.8314263234228176e-6,4.885084746851086e-6,7.56555994135479e-8,4.185136617394316e-8,1.37510371675877e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.ParOpt/con/1,1.3622967176852845e-7,1.360664843862753e-7,1.364013232731771e-7,5.862976628091938e-10,4.984983913076462e-10,7.136133900898517e-10
con/LocallyNameless.Lazy.ParOpt/con/2,2.211196334375312e-7,2.208026817440923e-7,2.214924206387429e-7,1.1868908761875626e-9,9.25158325385431e-10,1.6253109820615269e-9
con/LocallyNameless.Lazy.ParOpt/con/3,3.3731742582829127e-7,3.3694225484654307e-7,3.377484179163203e-7,1.353917364870558e-9,1.0089543812745786e-9,2.1403938209129228e-9
con/LocallyNameless.Lazy.ParOpt/con/4,4.774424218434594e-7,4.770948180456274e-7,4.781996121295948e-7,1.6503371809944594e-9,8.862525986622369e-10,2.92747408672725e-9
con/LocallyNameless.Lazy.ParOpt/con/5,6.469254971452774e-7,6.460558928176117e-7,6.480202356248338e-7,3.2906306984015074e-9,2.377267912342791e-9,4.274582676140911e-9
con/LocallyNameless.Lazy.ParOpt/con/6,8.209595117841445e-7,8.198665686985455e-7,8.227047693835837e-7,4.547008221444676e-9,3.376215680908783e-9,7.159702536007342e-9
con/LocallyNameless.Lazy.ParOpt/con/7,1.0069831188140427e-6,1.0056806382771018e-6,1.008630299710392e-6,4.82272213638814e-9,4.0076661968540854e-9,6.632221878658118e-9
con/LocallyNameless.Lazy.ParOpt/con/8,1.2319436950593558e-6,1.230248923784968e-6,1.2339788189487527e-6,6.721428591389947e-9,5.32166051059171e-9,1.0048365360991511e-8
con/LocallyNameless.Lazy.ParOpt/con/9,1.4587646173732465e-6,1.456951251161134e-6,1.4625888762053935e-6,8.470509610008183e-9,2.720292459396283e-9,1.4456933904847375e-8
con/LocallyNameless.Lazy.ParOpt/con/10,1.6818707667277148e-6,1.679228322013512e-6,1.6849958683552653e-6,9.621584564715397e-9,7.050813529041085e-9,1.264758505476542e-8
con/LocallyNameless.Lazy.ParOpt/con/11,1.968198992169532e-6,1.9646142582280887e-6,1.975248560173923e-6,1.682335156709624e-8,1.0955689090621882e-8,2.791815351371858e-8
con/LocallyNameless.Lazy.ParOpt/con/12,2.247865032746838e-6,2.2447496824422608e-6,2.2524134879413163e-6,1.2496080906313842e-8,9.791757838221685e-9,1.7604500831409508e-8
