Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.ParOpt/ids/1,1.0808030855167161e-7,1.0711133563215428e-7,1.1078300687107278e-7,4.879954198542454e-9,2.2895536762852684e-9,9.215066384182189e-9
ids/LocallyNameless.Lazy.ParOpt/ids/2,1.518926514988194e-7,1.5170846858893052e-7,1.5203602093060756e-7,5.679953157096394e-10,4.742138903486494e-10,6.949844515938853e-10
ids/LocallyNameless.Lazy.ParOpt/ids/3,1.9257622634947715e-7,1.923861250776943e-7,1.9287117762683034e-7,7.469046885171992e-10,5.05609686020502e-10,1.2423227628358682e-9
ids/LocallyNameless.Lazy.ParOpt/ids/4,2.2446031455735873e-7,2.2416887373542838e-7,2.2470219201401107e-7,9.130220446792896e-10,7.652844485217268e-10,1.1611531056151553e-9
ids/LocallyNameless.Lazy.ParOpt/ids/5,2.58867128517719e-7,2.5859603514089796e-7,2.5918621295085987e-7,9.973417518249235e-10,7.741175135853479e-10,1.2715320421213504e-9
ids/LocallyNameless.Lazy.ParOpt/ids/6,2.90763484115905e-7,2.904656849660591e-7,2.915355233751011e-7,1.530521370107925e-9,6.981664558866816e-10,3.3633364939439793e-9
ids/LocallyNameless.Lazy.ParOpt/ids/7,3.221775462426184e-7,3.219297870982767e-7,3.2277376581970504e-7,1.2524772040607146e-9,4.916006525642922e-10,2.111815251421649e-9
ids/LocallyNameless.Lazy.ParOpt/ids/8,3.546769497424295e-7,3.5443045401810145e-7,3.550326479769499e-7,9.872239770886272e-10,7.984100910230853e-10,1.2147149141189272e-9
ids/LocallyNameless.Lazy.ParOpt/ids/9,3.910498728461757e-7,3.906877118914012e-7,3.9140483865762425e-7,1.1498388917937112e-9,9.766573628616146e-10,1.3558297084179507e-9
ids/LocallyNameless.Lazy.ParOpt/ids/10,4.2159293712233503e-7,4.213534010682039e-7,4.2182267690980563e-7,8.574580356788732e-10,6.882508006064194e-10,1.132519527685879e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.ParOpt/ids/1,1.3771825971190033e-7,1.3753753522374492e-7,1.3800979394159252e-7,7.944179314043036e-10,5.509486871385451e-10,1.333324535954097e-9
ids/LocallyNameless.Lazy.ParOpt/ids/2,1.9301040949845878e-7,1.92656769317716e-7,1.9348314658420584e-7,1.3518959018416372e-9,9.841139912043839e-10,1.8150040733103607e-9
ids/LocallyNameless.Lazy.ParOpt/ids/3,2.552173904135214e-7,2.551028967724816e-7,2.5536698477658125e-7,4.5732453718147444e-10,3.352548733865964e-10,6.924870259098131e-10
ids/LocallyNameless.Lazy.ParOpt/ids/4,2.939895573596992e-7,2.9349454160987317e-7,2.94691399111822e-7,2.03669696307794e-9,1.542326642300084e-9,3.1925877596544655e-9
ids/LocallyNameless.Lazy.ParOpt/ids/5,3.4317193247193954e-7,3.426250486213189e-7,3.440067838175476e-7,2.3218586334705454e-9,1.6812046205955413e-9,3.1389911516871342e-9
ids/LocallyNameless.Lazy.ParOpt/ids/6,3.925857870152085e-7,3.919490590404567e-7,3.9345970000023955e-7,2.4138158357041437e-9,1.866571136407149e-9,3.38369511163362e-9
ids/LocallyNameless.Lazy.ParOpt/ids/7,4.5233547361564883e-7,4.518113920676197e-7,4.528163142057666e-7,1.7909437749826391e-9,1.5133083921879828e-9,2.14663678540807e-9
ids/LocallyNameless.Lazy.ParOpt/ids/8,4.954714572700814e-7,4.947106112592021e-7,4.96486747458039e-7,2.9768102523354533e-9,2.284160220535998e-9,3.775483874346862e-9
ids/LocallyNameless.Lazy.ParOpt/ids/9,5.422785978504308e-7,5.416008895236716e-7,5.439914399221516e-7,3.266217812885141e-9,1.882980607486099e-9,5.975482404049453e-9
ids/LocallyNameless.Lazy.ParOpt/ids/10,5.874189625377402e-7,5.857158501446118e-7,5.899445757842626e-7,6.961315185589977e-9,4.818328000575489e-9,1.1295293195268234e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.ParOpt/ids/1,1.4261944434259014e-7,1.4239374959339225e-7,1.4307197417448414e-7,1.0848326209804944e-9,6.245355109329679e-10,1.928243913188102e-9
ids/LocallyNameless.Lazy.ParOpt/ids/2,1.9364991066062305e-7,1.9339205298103715e-7,1.9395758036991245e-7,9.295289284936284e-10,7.241959276545516e-10,1.2817379753398889e-9
ids/LocallyNameless.Lazy.ParOpt/ids/3,2.5370361083885434e-7,2.533639891054674e-7,2.5419482829785285e-7,1.3418766722449806e-9,1.0314176843006515e-9,1.746102104078102e-9
ids/LocallyNameless.Lazy.ParOpt/ids/4,2.908143193986636e-7,2.906757916174897e-7,2.9100251021747867e-7,5.372918519355053e-10,3.8799743505569397e-10,7.979263639659542e-10
ids/LocallyNameless.Lazy.ParOpt/ids/5,3.455849790196352e-7,3.4514864285480854e-7,3.466557871791835e-7,2.130186573041645e-9,1.1043299093077037e-9,4.192934579155159e-9
ids/LocallyNameless.Lazy.ParOpt/ids/6,3.90384230208742e-7,3.8888799390269504e-7,3.914484026888427e-7,4.111929052566354e-9,3.3154815741683616e-9,5.027508367020244e-9
ids/LocallyNameless.Lazy.ParOpt/ids/7,4.454324364703711e-7,4.445512761748078e-7,4.465629911808009e-7,3.283753853608969e-9,2.3392749829538746e-9,4.353157516612164e-9
ids/LocallyNameless.Lazy.ParOpt/ids/8,4.857814088247399e-7,4.852436141880245e-7,4.865974680983899e-7,2.234177754985198e-9,1.6158853116723564e-9,3.2968785491502777e-9
ids/LocallyNameless.Lazy.ParOpt/ids/9,5.346599086932557e-7,5.342180959963054e-7,5.352705629278312e-7,1.7664116673219677e-9,1.2913980656093123e-9,2.7079003824161914e-9
ids/LocallyNameless.Lazy.ParOpt/ids/10,5.777102280890306e-7,5.763476270391861e-7,5.787395794995227e-7,4.0265555239105845e-9,3.207559401394788e-9,4.796342077130569e-9
