Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/1,1.8884874785247006e-7,1.883062596883477e-7,1.8971770512526026e-7,2.207911149322641e-9,1.5808838273476562e-9,3.308862604382588e-9
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/2,7.451143975717919e-7,7.440262893869046e-7,7.475096072065371e-7,4.878024204714288e-9,2.524530434236666e-9,8.682741854233076e-9
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/3,1.8545583068778958e-6,1.8485347875407078e-6,1.8771353983711343e-6,3.4975190281002176e-8,1.0948009335734756e-8,7.099317571029465e-8
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/4,3.7281265364287825e-6,3.721357448809721e-6,3.738443434162326e-6,2.7851023766658497e-8,1.944953740868843e-8,3.938632574747551e-8
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/5,6.439835902559694e-6,6.429005524268658e-6,6.4614727255585335e-6,4.927715035897425e-8,2.3208114597031373e-8,9.311089208627805e-8
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/6,9.598052144271586e-6,9.585885694220123e-6,9.617805137626418e-6,5.4039351284885974e-8,3.3025076374682844e-8,9.355679339409081e-8
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/7,1.44774299639225e-5,1.4451029090970187e-5,1.4513648016750872e-5,1.0790131503294613e-7,7.77232478970179e-8,1.5133800699866447e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/8,1.997202164177547e-5,1.9890683227283564e-5,2.0109153572074064e-5,3.4368981224136827e-7,2.0031051957214855e-7,5.888326173057237e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/9,2.6840666917444955e-5,2.6808502227232243e-5,2.6907722788311053e-5,1.5015621779160306e-7,9.477380540955362e-8,2.6267465847103155e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/10,3.528917228837838e-5,3.523339367367974e-5,3.5402459233090016e-5,2.4053790544287285e-7,1.3155771967703717e-7,4.1664313471173017e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/11,4.515749206181595e-5,4.5111215691563516e-5,4.52640125864951e-5,2.1340290642946158e-7,1.141322393373749e-7,4.0264517175436127e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/12,5.775531839712318e-5,5.766064506401945e-5,5.7929783250607446e-5,4.296419934173035e-7,2.483473253154803e-7,6.835498607236529e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/13,7.110790800644927e-5,7.104104355469125e-5,7.117697714397633e-5,2.3623900779557683e-7,1.8488591823692004e-7,3.1138893225509184e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/14,8.711071128060733e-5,8.68440787275253e-5,8.775076883327201e-5,1.3761053782086196e-6,7.647656926285389e-7,2.308032031757165e-6
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/15,1.0538087689296026e-4,1.0525355171217584e-4,1.0557318529220664e-4,5.238641802744863e-7,3.956367725576886e-7,6.702104059133514e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/16,1.268089217964388e-4,1.2659960226155538e-4,1.271679972367401e-4,8.985934251011632e-7,6.451621018830905e-7,1.3822239292798251e-6
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/17,1.494762389759757e-4,1.493249019755437e-4,1.4965407958193383e-4,5.695291630917001e-7,4.4331949524526797e-7,8.444958720756875e-7
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/18,1.7492394465710474e-4,1.7466300497938605e-4,1.7533473596600008e-4,1.1037115970265517e-6,6.921539528781433e-7,1.6719779790155612e-6
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/19,2.042709198374876e-4,2.0405080329707363e-4,2.0458985067440413e-4,8.719240573384117e-7,6.213641768858644e-7,1.348287828953815e-6
adjustb/LocallyNameless.Lazy.ParScoped/adjustb/20,2.3458872552459183e-4,2.3432198077887395e-4,2.3495424868247194e-4,9.945067047943398e-7,7.468666618614423e-7,1.4641794968909267e-6
