Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.ParScoped/capt/1,2.1618624141711185e-7,2.1598658475281995e-7,2.164255880260843e-7,7.185101863019252e-10,5.796411780404094e-10,1.0105102029087417e-9
capt/LocallyNameless.Lazy.ParScoped/capt/2,3.471144992072238e-7,3.467879447245265e-7,3.4774150873100646e-7,1.3997127738469656e-9,9.211665596693761e-10,2.4764098571090666e-9
capt/LocallyNameless.Lazy.ParScoped/capt/3,5.069746972694595e-7,5.061561770550722e-7,5.077538848095798e-7,2.8070642181314062e-9,2.482055172736361e-9,3.3255007896296346e-9
capt/LocallyNameless.Lazy.ParScoped/capt/4,6.697671987353932e-7,6.691905524076573e-7,6.710523531664808e-7,2.716887987467352e-9,1.4394996670691639e-9,5.027719201995093e-9
capt/LocallyNameless.Lazy.ParScoped/capt/5,8.681585553840288e-7,8.670289227824023e-7,8.696619660608498e-7,4.346461780208008e-9,3.261371216220737e-9,6.130546013555889e-9
capt/LocallyNameless.Lazy.ParScoped/capt/6,1.0750775089274416e-6,1.0740483267669155e-6,1.0764636138981372e-6,4.039983455613426e-9,3.197062833753216e-9,6.634620769666522e-9
capt/LocallyNameless.Lazy.ParScoped/capt/7,1.2965738538445708e-6,1.294156838448742e-6,1.3001811918131295e-6,1.0275038059068875e-8,7.142515654174876e-9,1.5842409966951725e-8
capt/LocallyNameless.Lazy.ParScoped/capt/8,1.515494336288146e-6,1.5114768466274495e-6,1.5233081750986694e-6,1.7503864838034978e-8,8.373257945069804e-9,2.818605357463082e-8
capt/LocallyNameless.Lazy.ParScoped/capt/9,1.8009106021592832e-6,1.7999903129971788e-6,1.8020205881709848e-6,3.4242246871041896e-9,2.6186383578959227e-9,4.542757806986643e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.ParScoped/capt/1,2.2863954263151136e-7,2.2819969323872874e-7,2.2905131276272124e-7,1.4516668072164041e-9,1.298223911479329e-9,1.6641284668334541e-9
capt/LocallyNameless.Lazy.ParScoped/capt/2,3.6014970581486385e-7,3.589206734965694e-7,3.6224922973195305e-7,5.054197286431221e-9,3.1155390907986045e-9,7.082183219173378e-9
capt/LocallyNameless.Lazy.ParScoped/capt/3,5.144467313755044e-7,5.138309532921604e-7,5.152988033611864e-7,2.330126097091819e-9,1.4587277697683818e-9,3.469279100212123e-9
capt/LocallyNameless.Lazy.ParScoped/capt/4,6.634958140801549e-7,6.626899480625737e-7,6.644130742715739e-7,2.9184885838877698e-9,2.3206137280828912e-9,3.845829113057603e-9
capt/LocallyNameless.Lazy.ParScoped/capt/5,8.338519479966847e-7,8.316895097290646e-7,8.363587771145299e-7,8.106008019007443e-9,5.891031096352353e-9,1.2575251966845335e-8
capt/LocallyNameless.Lazy.ParScoped/capt/6,1.0136801560885325e-6,1.0126987803407055e-6,1.01500668533166e-6,4.166699067823227e-9,3.220930936439392e-9,5.492955083138979e-9
capt/LocallyNameless.Lazy.ParScoped/capt/7,1.2321022487397957e-6,1.2300378799842141e-6,1.2342491854268605e-6,7.037068961460414e-9,5.761169535644552e-9,9.233556893665826e-9
capt/LocallyNameless.Lazy.ParScoped/capt/8,1.4323308401720113e-6,1.4310651154395111e-6,1.4337855122249585e-6,4.488566951604386e-9,3.589279716292174e-9,6.012338534485796e-9
capt/LocallyNameless.Lazy.ParScoped/capt/9,1.6790637530304808e-6,1.677580127201384e-6,1.6806086851513422e-6,4.880663497313016e-9,3.826613315935437e-9,6.3313182090685046e-9
