Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.ParScoped/con/1,4.1640167406931844e-8,4.160664255540354e-8,4.167855599769717e-8,1.1869996310848988e-10,1.0022225428866283e-10,1.6015423151445542e-10
con/LocallyNameless.Lazy.ParScoped/con/2,1.1993990680805017e-7,1.1981591040693033e-7,1.2014451885247182e-7,5.436750680748939e-10,3.545318661642317e-10,8.986031732148278e-10
con/LocallyNameless.Lazy.ParScoped/con/3,2.165966634245875e-7,2.16400971870452e-7,2.1682364175047225e-7,7.096519808403465e-10,6.029113727122883e-10,8.48584857709192e-10
con/LocallyNameless.Lazy.ParScoped/con/4,3.4384526712947066e-7,3.4314811832243215e-7,3.4503097505522253e-7,3.104257712549355e-9,1.944161497418505e-9,4.479706780072443e-9
con/LocallyNameless.Lazy.ParScoped/con/5,4.823602757641542e-7,4.807750529938141e-7,4.858403569455891e-7,7.175327482104318e-9,3.69819925586782e-9,1.2766388382035981e-8
con/LocallyNameless.Lazy.ParScoped/con/6,6.556138469998456e-7,6.548331709253994e-7,6.567782414277429e-7,3.2766078940177898e-9,2.4141360669379843e-9,4.9014294017662125e-9
con/LocallyNameless.Lazy.ParScoped/con/7,8.562754909863528e-7,8.552007705830772e-7,8.575960299543512e-7,4.024294076865959e-9,3.2698190224663097e-9,5.1148316924605175e-9
con/LocallyNameless.Lazy.ParScoped/con/8,1.0774250249665853e-6,1.0759303287184307e-6,1.079515044777934e-6,5.891697188394699e-9,4.621485427939831e-9,7.682686839153422e-9
con/LocallyNameless.Lazy.ParScoped/con/9,1.3440978899606275e-6,1.3429067909869039e-6,1.3455927693329672e-6,4.502166064308171e-9,3.710772683733993e-9,5.863810555206782e-9
con/LocallyNameless.Lazy.ParScoped/con/10,1.6087995031080784e-6,1.6071647441792648e-6,1.6109776570485552e-6,6.444102843134391e-9,5.126058009127841e-9,8.380777696750983e-9
con/LocallyNameless.Lazy.ParScoped/con/11,1.88210866897312e-6,1.879943862285497e-6,1.8853059809489802e-6,8.35486261663669e-9,5.5408364528267845e-9,1.4043998736889313e-8
con/LocallyNameless.Lazy.ParScoped/con/12,2.1767282680389897e-6,2.174214583742889e-6,2.180018265196074e-6,9.170754371824977e-9,7.502883974003378e-9,1.104281249649886e-8
con/LocallyNameless.Lazy.ParScoped/con/13,2.5448727311045144e-6,2.5423651609997007e-6,2.5504855507329815e-6,1.17392635865182e-8,6.1006349060742864e-9,2.157494794334559e-8
con/LocallyNameless.Lazy.ParScoped/con/14,2.882322001764744e-6,2.8802093661581993e-6,2.8845769248777832e-6,7.88275313915229e-9,6.178045565986924e-9,1.001116067251052e-8
con/LocallyNameless.Lazy.ParScoped/con/15,3.252660352193818e-6,3.248329369431987e-6,3.2575277393454616e-6,1.5425993912956668e-8,1.2287553057271304e-8,1.950265647306415e-8
con/LocallyNameless.Lazy.ParScoped/con/16,3.603697439245456e-6,3.5963692330299253e-6,3.614191980410796e-6,2.9450334618825254e-8,2.1824653677934308e-8,4.660900089183596e-8
con/LocallyNameless.Lazy.ParScoped/con/17,4.033611842573262e-6,4.031658373805084e-6,4.037062850772475e-6,8.383318086170536e-9,4.869059410904308e-9,1.5324908514031126e-8
