Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.ParScoped/ids/1,4.159130069771777e-8,4.156065651332444e-8,4.1642301405526265e-8,1.2711986127397637e-10,8.940557930751466e-11,2.1735989096492176e-10
ids/LocallyNameless.Lazy.ParScoped/ids/2,5.2863420375922476e-8,5.2789988924185394e-8,5.303460242691544e-8,3.496139200555178e-10,1.8855519158723988e-10,6.777205199512512e-10
ids/LocallyNameless.Lazy.ParScoped/ids/3,6.317241435794629e-8,6.308952550033491e-8,6.339585439522191e-8,4.3836263704200166e-10,2.284965747258087e-10,8.753781369850082e-10
ids/LocallyNameless.Lazy.ParScoped/ids/4,8.35940123704232e-8,8.348732393285779e-8,8.383946757699166e-8,5.134287047302207e-10,2.4438705407160167e-10,9.310511551773192e-10
ids/LocallyNameless.Lazy.ParScoped/ids/5,8.784227194445505e-8,8.776347916761498e-8,8.793250755170911e-8,2.8264043254233105e-10,2.3416068545698947e-10,3.5968606865061e-10
ids/LocallyNameless.Lazy.ParScoped/ids/6,9.861980533372763e-8,9.855110788490552e-8,9.869134723187054e-8,2.583973018586893e-10,1.9858703126860504e-10,3.5549413050067973e-10
ids/LocallyNameless.Lazy.ParScoped/ids/7,1.0910214478712044e-7,1.0900723812455383e-7,1.0931948362652811e-7,4.701252022951213e-10,2.9635051169225583e-10,8.08087466388087e-10
ids/LocallyNameless.Lazy.ParScoped/ids/8,1.185373206575338e-7,1.1839510709406493e-7,1.1876632756391077e-7,5.744313521217288e-10,3.624362123014043e-10,1.029513912800211e-9
ids/LocallyNameless.Lazy.ParScoped/ids/9,1.285027176771292e-7,1.2832175395540928e-7,1.2914660755532927e-7,9.713027644392703e-10,3.2547631113434017e-10,2.1097578894401665e-9
ids/LocallyNameless.Lazy.ParScoped/ids/10,1.4161366736548902e-7,1.4153851945026451e-7,1.417135581746511e-7,2.9295702719745e-10,2.2453642066796229e-10,4.1676349259067917e-10
