Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/1,1.1323039870961067e-7,1.1307713135990636e-7,1.1340670775209605e-7,5.716119209927583e-10,4.417240197795043e-10,7.756515339218633e-10
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/2,3.4140343158195984e-7,3.409537140699732e-7,3.421408307517499e-7,1.884077233758021e-9,1.203260489448369e-9,3.133121029548997e-9
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/3,6.655900595107519e-7,6.648508895087063e-7,6.665381990510357e-7,2.7847551213988505e-9,2.0311349037505814e-9,3.612856808695844e-9
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/4,1.1164189844616144e-6,1.115630538510028e-6,1.1174250245116801e-6,3.149657502115977e-9,2.5129692819747063e-9,4.000469877299865e-9
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/5,1.6784199399802e-6,1.6644742070029145e-6,1.7457255087859943e-6,8.780548026814758e-8,1.3683378504452191e-8,2.0002075243253464e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/6,2.3029227472059747e-6,2.298912067381905e-6,2.309399557677084e-6,1.6995421520332468e-8,1.1095385984593976e-8,2.7674051473806285e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/7,3.159694959967575e-6,3.156509372383447e-6,3.1643379299211816e-6,1.2864229357087957e-8,9.538580385893995e-9,1.81039788030352e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/8,4.292479589988868e-6,4.286024681497257e-6,4.305243508901064e-6,2.9803242042482564e-8,1.8882397505562326e-8,4.792663793551674e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/9,5.57902837084666e-6,5.572233757039468e-6,5.585920907470275e-6,2.3022182288543426e-8,1.9102970551448792e-8,3.1999677150294087e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/10,7.2010162270717105e-6,7.188065003285912e-6,7.238331836562449e-6,7.205878586243596e-8,2.8006809266650157e-8,1.4090295746884836e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/11,8.83596955900542e-6,8.827511001282672e-6,8.84798061297809e-6,3.317260283144232e-8,2.4830474519780657e-8,5.175962218370303e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/12,1.0689997167268801e-5,1.0676426469005422e-5,1.0710501311589912e-5,5.459297211292358e-8,4.2982411879703474e-8,7.416350131695635e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/13,1.2831286125661021e-5,1.2822646916132193e-5,1.2848934215037548e-5,3.852733194923467e-8,2.0866405085378883e-8,6.554732220577345e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/14,1.527540491042479e-5,1.52617978795511e-5,1.5291258743260436e-5,5.085016879276917e-8,3.7815669396416074e-8,7.543662605446145e-8
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/15,1.782936192138061e-5,1.7804498535533938e-5,1.7861852295071047e-5,9.2874296315585e-8,7.321781880378107e-8,1.1975111178559066e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/16,2.077148813063249e-5,2.073354111064963e-5,2.085358997513715e-5,1.8614838261594498e-7,1.0285069582672467e-7,3.0696477448863864e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/17,2.3968634795591392e-5,2.3933381416912593e-5,2.4035978656341373e-5,1.683113671539201e-7,9.482665895747439e-8,2.8378091975533646e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/18,2.7588200180419906e-5,2.7557373914059302e-5,2.7636779383201726e-5,1.3034879356232462e-7,1.0031143293056421e-7,1.8785130299256627e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/19,3.19073667175918e-5,3.187275728667661e-5,3.1966809483744255e-5,1.516265578266149e-7,1.021819959856588e-7,2.3576941713754307e-7
adjustb/LocallyNameless.Lazy.TypedOpt/adjustb/20,3.571670042573233e-5,3.568686634639983e-5,3.5765846508178496e-5,1.23702859462637e-7,8.287031882028382e-8,1.8520208542374119e-7
