Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.TypedOpt/capt/1,1.112103187418751e-7,1.1110125740470507e-7,1.113331672481694e-7,3.8311928709938055e-10,3.0756822099759185e-10,4.71584947564095e-10
capt/LocallyNameless.Lazy.TypedOpt/capt/2,1.4753541270124562e-7,1.4663308820111896e-7,1.4875140404561915e-7,3.6944524949882394e-9,3.1901463664924555e-9,4.3288938366913616e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/3,1.8605460521752746e-7,1.8458359934897777e-7,1.8838046397542322e-7,6.240441702333192e-9,4.530831274531569e-9,8.840881071834e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/4,2.1274515249806491e-7,2.1258577512270395e-7,2.130049050081539e-7,6.835349670128949e-10,5.557839094560641e-10,8.939537120819322e-10
capt/LocallyNameless.Lazy.TypedOpt/capt/5,2.786597704787352e-7,2.7273726027922807e-7,2.8292959408472375e-7,1.7773048497888757e-8,1.545333951308886e-8,1.9995837114981838e-8
capt/LocallyNameless.Lazy.TypedOpt/capt/6,3.1239055017272404e-7,3.101677987280402e-7,3.153219270060239e-7,8.702965669632057e-9,7.330078930590098e-9,1.0403058100560649e-8
capt/LocallyNameless.Lazy.TypedOpt/capt/7,3.268537495209374e-7,3.2624733076994925e-7,3.2755170379876787e-7,2.2114098591982073e-9,1.7004373958244735e-9,3.250527638042838e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/8,3.850075279372376e-7,3.8328167375781217e-7,3.86546550308012e-7,5.433481275053516e-9,4.308425781726655e-9,6.915423718982274e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/9,4.3092907959829415e-7,4.275349298469266e-7,4.350636603688016e-7,1.2795652538558218e-8,1.039190963947085e-8,1.5866066266338253e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.TypedOpt/capt/1,1.1008304301891708e-7,1.0999330959943638e-7,1.1023378345252695e-7,3.5662152416546407e-10,2.5374234684696056e-10,5.405777520303527e-10
capt/LocallyNameless.Lazy.TypedOpt/capt/2,1.4789932622038493e-7,1.473581763399961e-7,1.4838762403128636e-7,1.7327056089392161e-9,1.3385340014443553e-9,2.33840046113613e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/3,1.776731858067506e-7,1.7712491840485042e-7,1.781972031741627e-7,1.801029210310857e-9,1.60721646662191e-9,2.021672817866096e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/4,2.126393743460932e-7,2.1243068773725486e-7,2.1305656302348706e-7,9.716093541749922e-10,5.797012438622869e-10,1.8920853162617682e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/5,2.47233373271981e-7,2.4688326228507193e-7,2.4758124890671396e-7,1.2098412016946185e-9,1.025005786554946e-9,1.5663853464712568e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/6,2.896354611763209e-7,2.889248947900062e-7,2.908713192817064e-7,3.073595774089883e-9,2.1532188512738893e-9,4.957376323216811e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/7,3.2572454186095546e-7,3.249996515809475e-7,3.273713692085628e-7,3.5118057341131915e-9,1.77084249236375e-9,6.448283256336949e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/8,3.640944449082422e-7,3.6339486009944397e-7,3.648524589026961e-7,2.476576038173298e-9,2.0631204601460534e-9,3.2509975859929595e-9
capt/LocallyNameless.Lazy.TypedOpt/capt/9,3.9777669405453884e-7,3.972696816314123e-7,3.983971907493101e-7,1.934338818362791e-9,1.5977608643328628e-9,2.4631067881934787e-9
