Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.TypedOpt/con/1,4.682448159055919e-8,4.6805551103044465e-8,4.684921017646924e-8,7.402783488276262e-11,5.514740340446962e-11,9.889812515607523e-11
con/LocallyNameless.Lazy.TypedOpt/con/2,7.804993211664806e-8,7.79378407378102e-8,7.826483683548807e-8,4.904246051984241e-10,2.9985375286610876e-10,7.418468884164521e-10
con/LocallyNameless.Lazy.TypedOpt/con/3,1.0933689510075561e-7,1.0924111308902149e-7,1.094764090945695e-7,3.751485386656818e-10,2.777494091749717e-10,6.127786834674198e-10
con/LocallyNameless.Lazy.TypedOpt/con/4,1.4283708977262277e-7,1.4272415861539624e-7,1.4299503027514867e-7,4.4467537192549434e-10,3.407023591630378e-10,5.957407767188776e-10
con/LocallyNameless.Lazy.TypedOpt/con/5,1.7659302524725838e-7,1.763120110786586e-7,1.7708889232680366e-7,1.3089185167734316e-9,7.271195338909821e-10,1.958480500492888e-9
con/LocallyNameless.Lazy.TypedOpt/con/6,2.112771469463086e-7,2.1080435833610062e-7,2.1254436429172e-7,2.442664947049372e-9,1.0080429394496267e-9,4.723011882375011e-9
con/LocallyNameless.Lazy.TypedOpt/con/7,2.5294773538831414e-7,2.528121633842024e-7,2.5310210072918865e-7,4.684036334173598e-10,3.8975828837398583e-10,6.021113259892133e-10
con/LocallyNameless.Lazy.TypedOpt/con/8,2.9471044755262796e-7,2.941007580700975e-7,2.9671740179314876e-7,3.4084388001860547e-9,8.916005153368954e-10,7.012794259583151e-9
con/LocallyNameless.Lazy.TypedOpt/con/9,3.2866156591215934e-7,3.2794818122510693e-7,3.3005739147148034e-7,3.128301811099796e-9,2.0180190069422495e-9,4.383377330049307e-9
con/LocallyNameless.Lazy.TypedOpt/con/10,3.624163973874655e-7,3.62127728089495e-7,3.6267259635870876e-7,9.008828984597276e-10,7.434851969406863e-10,1.12419761288048e-9
con/LocallyNameless.Lazy.TypedOpt/con/11,4.170215944864079e-7,4.1563472746848685e-7,4.194714615342604e-7,5.886067385619626e-9,3.47244940714299e-9,9.124810193598738e-9
con/LocallyNameless.Lazy.TypedOpt/con/12,4.575085161046281e-7,4.5648311836707407e-7,4.604951255347392e-7,5.3438358080059796e-9,2.5874616087745323e-9,1.1599584497213655e-8
con/LocallyNameless.Lazy.TypedOpt/con/13,4.844017386339138e-7,4.841353784769094e-7,4.84901473703688e-7,1.2198506802908332e-9,8.679805306528153e-10,1.8682297709151615e-9
con/LocallyNameless.Lazy.TypedOpt/con/14,5.249271839159699e-7,5.243393518959346e-7,5.260358722243471e-7,2.6046007005974255e-9,1.6039026398932881e-9,4.2907414413343695e-9
con/LocallyNameless.Lazy.TypedOpt/con/15,5.607936228283847e-7,5.603283058213538e-7,5.613646580837383e-7,1.693851520085278e-9,1.3130063572072285e-9,2.230757225039881e-9
con/LocallyNameless.Lazy.TypedOpt/con/16,5.971811325241109e-7,5.957163698944462e-7,6.006393307082062e-7,7.2268383612595235e-9,2.6369677219290075e-9,1.2929726493720082e-8
con/LocallyNameless.Lazy.TypedOpt/con/17,6.373483365518603e-7,6.357773276082541e-7,6.40311699669056e-7,6.8509290557721525e-9,4.583644631017376e-9,9.548210683269971e-9
con/LocallyNameless.Lazy.TypedOpt/con/18,6.66260289954239e-7,6.653241988071579e-7,6.674305075595001e-7,3.3215268361971676e-9,2.456500279671598e-9,4.424081540231148e-9
con/LocallyNameless.Lazy.TypedOpt/con/19,7.003848130741824e-7,6.998430111450829e-7,7.010307639878032e-7,1.9753410174584887e-9,1.5133011113413624e-9,2.955044049755846e-9
con/LocallyNameless.Lazy.TypedOpt/con/20,7.515085364876478e-7,7.458500122032231e-7,7.594865356126394e-7,2.2903315039687128e-8,1.6890242503958493e-8,2.783467179086865e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.TypedOpt/con/1,4.763310030621882e-8,4.7584630882154844e-8,4.771226397793909e-8,2.0427510144035534e-10,1.2323964212222847e-10,3.8765740767068646e-10
con/LocallyNameless.Lazy.TypedOpt/con/2,7.866663976636502e-8,7.85390354578615e-8,7.885129207380044e-8,4.889822367710405e-10,3.4876697401997057e-10,7.118120896329797e-10
con/LocallyNameless.Lazy.TypedOpt/con/3,1.0890266501057555e-7,1.0875866363199282e-7,1.0924347458947181e-7,7.445851606996823e-10,3.9072389395803233e-10,1.402141155437491e-9
con/LocallyNameless.Lazy.TypedOpt/con/4,1.4158611181187326e-7,1.413932229852101e-7,1.420708580914156e-7,9.162214902578593e-10,4.742421118667745e-10,1.7955935765017163e-9
con/LocallyNameless.Lazy.TypedOpt/con/5,1.7506420370527492e-7,1.7481558452170614e-7,1.7533286527116641e-7,8.737590886880614e-10,6.73195683739061e-10,1.3603687709363916e-9
con/LocallyNameless.Lazy.TypedOpt/con/6,2.127483355109101e-7,2.1181276106774532e-7,2.1369888851601443e-7,3.236799201727106e-9,2.9017517323805446e-9,3.5879037657240603e-9
con/LocallyNameless.Lazy.TypedOpt/con/7,2.525551706099762e-7,2.522375171969459e-7,2.529870095728356e-7,1.3067264896418961e-9,9.333859930548956e-10,1.882415694583542e-9
con/LocallyNameless.Lazy.TypedOpt/con/8,2.9262746905040156e-7,2.921387747853578e-7,2.93244223024898e-7,1.8546898246552064e-9,1.3452710149703163e-9,2.6422127069391865e-9
con/LocallyNameless.Lazy.TypedOpt/con/9,3.2527896164595786e-7,3.2463090579551155e-7,3.2652615236466814e-7,2.8975244608406274e-9,1.9216146910035317e-9,4.412257620878577e-9
con/LocallyNameless.Lazy.TypedOpt/con/10,3.594703546000075e-7,3.5912914351280733e-7,3.5994673491256127e-7,1.366278525973606e-9,1.001066333419036e-9,1.885931470692076e-9
con/LocallyNameless.Lazy.TypedOpt/con/11,4.097205092692939e-7,4.0919457618813973e-7,4.105759031746973e-7,2.220019640800168e-9,1.5836019290217031e-9,3.1931375219968604e-9
con/LocallyNameless.Lazy.TypedOpt/con/12,4.51074986234667e-7,4.504608149907311e-7,4.517559362831253e-7,2.1845354135655674e-9,1.677974812879619e-9,2.881440872804915e-9
con/LocallyNameless.Lazy.TypedOpt/con/13,4.854152228697434e-7,4.846594883557058e-7,4.867091106433098e-7,3.3683367997550795e-9,2.1062516531902255e-9,5.177397334076085e-9
con/LocallyNameless.Lazy.TypedOpt/con/14,5.208968223285251e-7,5.203726910233895e-7,5.215437876618138e-7,1.8831617671001324e-9,1.4874700424881723e-9,2.3080243521628744e-9
con/LocallyNameless.Lazy.TypedOpt/con/15,5.570981578969929e-7,5.554155741251447e-7,5.605979234167046e-7,8.389918983931165e-9,3.962556516786581e-9,1.7971829856094326e-8
con/LocallyNameless.Lazy.TypedOpt/con/16,5.874231803958122e-7,5.867163987301906e-7,5.885956357660089e-7,3.006377396086698e-9,2.1764915280392504e-9,4.778904782532234e-9
con/LocallyNameless.Lazy.TypedOpt/con/17,6.280251353960087e-7,6.271831937455077e-7,6.296343643461528e-7,3.91682258023097e-9,2.301786517145462e-9,7.377719878102139e-9
con/LocallyNameless.Lazy.TypedOpt/con/18,6.626040973862063e-7,6.618245539272826e-7,6.636004190935043e-7,2.9150281873630376e-9,2.191427200711848e-9,4.021656416703494e-9
con/LocallyNameless.Lazy.TypedOpt/con/19,6.986695334595288e-7,6.978885527365031e-7,6.994684727321722e-7,2.7944926748747594e-9,2.2359998501001613e-9,3.69354981371239e-9
con/LocallyNameless.Lazy.TypedOpt/con/20,7.323021250138566e-7,7.317172059051596e-7,7.329466850544313e-7,2.0455696052277938e-9,1.648717927290798e-9,2.6467297958616364e-9
