Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/1,2.030579917932557e-7,2.0268673903383065e-7,2.0348021112948287e-7,1.3803490233850188e-9,1.1642558191727392e-9,1.665393539997926e-9
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/2,7.278528397872486e-7,7.266255520990655e-7,7.292095391936189e-7,4.492010212809402e-9,3.4858073230707753e-9,5.722842590765424e-9
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/3,1.7605021170646734e-6,1.758064061361082e-6,1.7642481262300036e-6,1.0235277289148028e-8,7.750337390485398e-9,1.603710068107671e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/4,3.3976319425832626e-6,3.389387576204789e-6,3.4084329318489866e-6,3.182784982434463e-8,2.4327390102539504e-8,4.196894161729188e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/5,5.6745423538491195e-6,5.661898243566399e-6,5.697753738335643e-6,5.6230721697798364e-8,3.337550640535717e-8,1.0139588818899021e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/6,8.788821781936153e-6,8.778570983995385e-6,8.811216693070054e-6,4.9062590939372035e-8,2.8562562135656888e-8,8.391455214019991e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/7,1.2763200595922168e-5,1.2735740904171833e-5,1.2799501824424304e-5,1.1188043577125914e-7,8.097646916440179e-8,1.7921280411638808e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/8,1.7642444116479244e-5,1.7626245648182653e-5,1.7673819026207923e-5,6.922273025331637e-8,4.028212128688293e-8,1.2759227372147549e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/9,2.3529568382684293e-5,2.348994024806639e-5,2.3590272953631563e-5,1.5999320384790737e-7,1.329219948747693e-7,1.9778550552215455e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/10,3.080717995731325e-5,3.073183091606071e-5,3.091739682626206e-5,2.957845673522253e-7,2.3951322620636757e-7,3.835448500570834e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/11,3.873499670993485e-5,3.864223562302009e-5,3.890163933645842e-5,4.069233915388428e-7,2.3023205631774e-7,6.963164711802051e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/12,4.8249094573304264e-5,4.818505237426711e-5,4.8367633385711724e-5,3.0221478236052124e-7,1.9159160429773997e-7,5.150806981213837e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/13,5.9849642217227385e-5,5.9749723501176924e-5,5.9969927575613244e-5,3.4749857052224315e-7,2.6976566299094575e-7,4.365347576544262e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/14,7.272364893469087e-5,7.263958418717889e-5,7.28323922089921e-5,3.180336293186271e-7,2.439547639336329e-7,4.125023977129412e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/15,8.735038610309035e-5,8.725017086543903e-5,8.754394410171759e-5,4.7628519884726454e-7,3.523938108252028e-7,8.110532074717081e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/16,1.0442684905243106e-4,1.0425724692758395e-4,1.0463041028389625e-4,6.508173004840025e-7,5.349849025520597e-7,8.639619678724162e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/17,1.232179306752073e-4,1.228571275477659e-4,1.2397446190499605e-4,1.6302888958819645e-6,7.570028742524195e-7,2.762158621579556e-6
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/18,1.4282105160440438e-4,1.426405725243729e-4,1.4307719129944555e-4,6.959017781795128e-7,4.873007625966489e-7,9.839119228297118e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/19,1.657625483804835e-4,1.6543826535569595e-4,1.662027341791018e-4,1.2685209798444397e-6,9.532183179632341e-7,1.6995533126875225e-6
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/20,1.909664006500994e-4,1.9074023551805854e-4,1.9119327415037488e-4,7.372701224572343e-7,6.196809672363035e-7,9.195867440407107e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/1,1.899826024375683e-7,1.8977316993441087e-7,1.9026907005958708e-7,8.651413052967348e-10,6.003598253004565e-10,1.3419166248050675e-9
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/2,7.269885268109637e-7,7.250885304400327e-7,7.297149650339075e-7,7.84262925366519e-9,5.650594114863404e-9,1.2579598317806534e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/3,1.691869210718802e-6,1.6898653754309439e-6,1.6948171474146649e-6,8.061503407179089e-9,6.0561586663185876e-9,1.20558787799848e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/4,3.321317965248957e-6,3.31116740146948e-6,3.358792586326686e-6,5.8998629754410955e-8,1.4510392951063444e-8,1.2137820227269006e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/5,5.607051261660958e-6,5.602446746307298e-6,5.615162541377609e-6,1.9962130512549035e-8,1.2739230459722078e-8,3.635113690044977e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/6,8.635927985841288e-6,8.621070540082633e-6,8.650546516200315e-6,5.469689237508205e-8,4.699391587338442e-8,6.517611470969009e-8
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/7,1.2475062758863515e-5,1.2442813886879858e-5,1.2525062535325504e-5,1.2965694800369365e-7,9.578127787317658e-8,1.934340905972317e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/8,1.7068073823184707e-5,1.7041118288329193e-5,1.711297927078814e-5,1.1236670696120351e-7,7.453819620289458e-8,1.6102594464402507e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/9,2.263428348518039e-5,2.260787677377362e-5,2.2667264445829213e-5,1.0367689700581514e-7,8.128804013535353e-8,1.5850419890164627e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/10,2.9502151654052245e-5,2.9462964764042503e-5,2.9563828716888395e-5,1.586860696138491e-7,1.257054724758674e-7,2.0411311504377698e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/11,3.763007885748578e-5,3.7580137373019694e-5,3.7697055495138475e-5,1.8759583807432992e-7,1.4098329614203514e-7,2.5288639363847875e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/12,4.720983097855486e-5,4.7109123325141554e-5,4.731936389101489e-5,3.4824006210082134e-7,2.974137401403995e-7,4.154173780174647e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/13,5.880671602703851e-5,5.862330329861341e-5,5.898446126248114e-5,6.035707760616795e-7,5.199500886610129e-7,7.519184626616224e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/14,7.00369953089798e-5,7.000196693477099e-5,7.008477696669645e-5,1.3384527370028624e-7,1.0351990557982254e-7,1.7504040705868888e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/15,8.4515669498844e-5,8.43633395718079e-5,8.473568723141383e-5,6.055296834080472e-7,4.733114193378058e-7,8.07501050774692e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/16,1.0160810806636856e-4,1.0147393712683858e-4,1.0177779531930107e-4,5.128007065543774e-7,4.3335074961137426e-7,6.085381009974182e-7
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/17,1.1966065459685979e-4,1.1943462204866587e-4,1.1994387052191852e-4,8.652013976513616e-7,6.482573200673313e-7,1.250237877451284e-6
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/18,1.3973961068502623e-4,1.3943660224731698e-4,1.400769793957295e-4,1.0916768807781961e-6,8.94399543870147e-7,1.3589910895806025e-6
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/19,1.6188965348496327e-4,1.6133855682953113e-4,1.6265207638837019e-4,2.124804582792796e-6,1.65314658829068e-6,2.8600221356456522e-6
adjustb/LocallyNameless.Lazy.TypedOtt/adjustb/20,1.8427097012736402e-4,1.8406704355179138e-4,1.8468915458269176e-4,9.82922911429548e-7,5.288756543271201e-7,1.7781576067565822e-6
