Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.TypedOtt/capt/1,1.66982628347225e-7,1.6659435164115846e-7,1.678472901638514e-7,1.8310379229732986e-9,1.0796144520693624e-9,2.8784210532394746e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/2,2.454246330325547e-7,2.452848013256147e-7,2.4566874895155254e-7,6.1391481985383e-10,3.9793429518974597e-10,9.84174539846932e-10
capt/LocallyNameless.Lazy.TypedOtt/capt/3,3.4617706683212744e-7,3.4589332718124396e-7,3.4654107471615027e-7,1.0961883356849147e-9,9.085762588613171e-10,1.5864214977555518e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/4,4.693994318136941e-7,4.6878145372362705e-7,4.706320892037562e-7,2.8417276170160274e-9,1.4452450546260502e-9,5.07616259175673e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/5,6.133414950172365e-7,6.124168121926739e-7,6.147362045445583e-7,3.564734265179512e-9,2.6457011660459606e-9,5.213220740240389e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/6,7.71817288837977e-7,7.701937386819105e-7,7.744231864244824e-7,6.986811840734839e-9,4.781470700545543e-9,1.0072186893086248e-8
capt/LocallyNameless.Lazy.TypedOtt/capt/7,9.43101382763024e-7,9.39415189270503e-7,9.496492515957667e-7,1.6138178098898524e-8,1.0610080921346142e-8,3.0249616913808e-8
capt/LocallyNameless.Lazy.TypedOtt/capt/8,1.063597109887678e-6,1.0626697807068567e-6,1.0646536771177572e-6,3.3443785022356714e-9,2.5672431486894883e-9,4.41948465163029e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/9,1.281189671031117e-6,1.2797810412087743e-6,1.2837512622851915e-6,6.3693851841258525e-9,3.5154763871866634e-9,1.1895785739774898e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.TypedOtt/capt/1,2.0190617271849098e-7,2.0038118576513098e-7,2.0359471525795689e-7,5.032055112636475e-9,4.524181261986264e-9,5.7037430428144815e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/2,2.836096159213916e-7,2.8309254145108256e-7,2.842919227952612e-7,2.0962573341423702e-9,1.4877172788854138e-9,2.926199718710837e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/3,3.9067059720797347e-7,3.898512558834107e-7,3.918768739807365e-7,3.380125761325274e-9,2.6470462150949356e-9,4.63913031181724e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/4,5.431826097837423e-7,5.413776089846706e-7,5.467758326219063e-7,8.129980016820136e-9,5.254266599362623e-9,1.3639775628327943e-8
capt/LocallyNameless.Lazy.TypedOtt/capt/5,6.82018350365927e-7,6.809920653289486e-7,6.836139346562209e-7,4.280934278267298e-9,3.128541638698696e-9,6.569671562096385e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/6,8.296301839087793e-7,8.280201477497619e-7,8.31707826099534e-7,6.189320687937197e-9,4.6266716294511836e-9,9.092589695828494e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/7,1.0278703883797106e-6,1.0242278727046634e-6,1.0309119361255763e-6,1.1254324397366667e-8,9.584542329021237e-9,1.3903363827080534e-8
capt/LocallyNameless.Lazy.TypedOtt/capt/8,1.1959036571703797e-6,1.1946161748376448e-6,1.1973704024123873e-6,4.6801469384616e-9,4.0062347176173605e-9,5.42066238539173e-9
capt/LocallyNameless.Lazy.TypedOtt/capt/9,1.412964071279501e-6,1.4108647992714747e-6,1.4152463430297805e-6,7.4242774014275325e-9,5.731036075151422e-9,1.0725112912969935e-8
