Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.TypedOtt/con/1,4.923870191098491e-8,4.9202228024257647e-8,4.930444471416271e-8,1.6252264330203324e-10,1.0372775453550967e-10,2.8723802271416974e-10
con/LocallyNameless.Lazy.TypedOtt/con/2,9.819193748980471e-8,9.808721049445317e-8,9.833715813009066e-8,3.977476528446307e-10,3.2869654654301033e-10,5.400041106449339e-10
con/LocallyNameless.Lazy.TypedOtt/con/3,1.6139934539004171e-7,1.6075105730854028e-7,1.624484292965945e-7,2.752456323406721e-9,1.7740701752461904e-9,4.080276116221392e-9
con/LocallyNameless.Lazy.TypedOtt/con/4,2.4886657728626236e-7,2.4839017098216985e-7,2.4915948454842416e-7,1.2126238525520984e-9,7.821444604970656e-10,1.9747929890501897e-9
con/LocallyNameless.Lazy.TypedOtt/con/5,3.5459850613509476e-7,3.537399672798666e-7,3.553667737725474e-7,2.7203106731118923e-9,2.4238274250878047e-9,3.2321524176838855e-9
con/LocallyNameless.Lazy.TypedOtt/con/6,4.779639560302695e-7,4.776147133101087e-7,4.783573013263623e-7,1.230738649801965e-9,1.0262548569416504e-9,1.540221086824256e-9
con/LocallyNameless.Lazy.TypedOtt/con/7,5.880625076340987e-7,5.871053528176055e-7,5.895114910817234e-7,3.832461390347417e-9,2.91912815365441e-9,4.894016078034852e-9
con/LocallyNameless.Lazy.TypedOtt/con/8,7.136148368908851e-7,7.111163352260025e-7,7.171464212598276e-7,9.627693678701994e-9,8.132912481078137e-9,1.12950535421321e-8
con/LocallyNameless.Lazy.TypedOtt/con/9,8.991736553944397e-7,8.978632337049347e-7,9.022110268069781e-7,6.185669042343647e-9,2.9202610884373277e-9,1.2185910468968242e-8
con/LocallyNameless.Lazy.TypedOtt/con/10,1.049208498775354e-6,1.0477519083452921e-6,1.051960264257501e-6,6.390853664418564e-9,3.810006602770183e-9,1.1802202833559388e-8
con/LocallyNameless.Lazy.TypedOtt/con/11,1.2615612202447267e-6,1.2579799708909608e-6,1.2683475086089281e-6,1.607434771986611e-8,6.656751623339753e-9,2.4920227710507995e-8
con/LocallyNameless.Lazy.TypedOtt/con/12,1.454776306074888e-6,1.4532128392466437e-6,1.4573657321458322e-6,6.475282584686726e-9,4.196503620675459e-9,1.0869869069553054e-8
con/LocallyNameless.Lazy.TypedOtt/con/13,1.6749086529514682e-6,1.6719498904153307e-6,1.6800998476717956e-6,1.3278833619504572e-8,8.05133542759083e-9,2.4689763867367358e-8
con/LocallyNameless.Lazy.TypedOtt/con/14,1.8887826085843344e-6,1.8856854684024057e-6,1.8933455631663536e-6,1.1707139069578054e-8,7.699874146478545e-9,1.5461876109666074e-8
con/LocallyNameless.Lazy.TypedOtt/con/15,2.118382771729187e-6,2.1159913812685625e-6,2.123315628128955e-6,1.1331349276311549e-8,6.524331239193414e-9,1.7705003396867023e-8
con/LocallyNameless.Lazy.TypedOtt/con/16,2.3715626844227724e-6,2.3703612304872214e-6,2.373174680129369e-6,4.7373414714951114e-9,3.5043282348773417e-9,6.650351540855426e-9
con/LocallyNameless.Lazy.TypedOtt/con/17,2.66881426766195e-6,2.6623461230053876e-6,2.6777734627163587e-6,2.5762386978285808e-8,1.953318780296335e-8,3.4532938376758504e-8
con/LocallyNameless.Lazy.TypedOtt/con/18,2.9518051968401013e-6,2.94837521933324e-6,2.9580340389906308e-6,1.5790685816309803e-8,1.0026899953312329e-8,2.6321159325622698e-8
con/LocallyNameless.Lazy.TypedOtt/con/19,3.254336046909443e-6,3.2494329036419622e-6,3.270809436565317e-6,2.742518222937287e-8,1.0309000438221644e-8,5.461960357697197e-8
con/LocallyNameless.Lazy.TypedOtt/con/20,3.5554868961938532e-6,3.5519626873112506e-6,3.5611831542244718e-6,1.5159461604497737e-8,1.1628885104944767e-8,2.236466156485379e-8
