Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/1,1.5281415228894219e-7,1.5184101488808412e-7,1.5396123245228942e-7,3.536786284012403e-9,2.620699589861124e-9,4.292310098536874e-9
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/2,6.694375959872282e-7,6.682358310019001e-7,6.707893722055385e-7,4.4059528431343e-9,3.5483032579190194e-9,5.914432215459932e-9
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/3,1.6895621817019987e-6,1.6870106142821563e-6,1.6946231953840886e-6,1.1504911532782712e-8,6.06971267759386e-9,2.132352775488206e-8
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/4,3.133708438060589e-6,3.1298159199096722e-6,3.138862933193664e-6,1.5562763970735507e-8,1.0522849569880578e-8,2.5472765351880482e-8
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/5,5.131790120557541e-6,5.125924518830117e-6,5.1409609935090006e-6,2.4644328684430948e-8,1.6868847214364264e-8,4.291864608572867e-8
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/6,7.742003477549233e-6,7.721721561886737e-6,7.77755347188093e-6,8.429171288171892e-8,5.875056638373557e-8,1.435919129511709e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/7,1.0885031272024926e-5,1.0872414348653274e-5,1.0904958123737078e-5,5.0556320062057395e-8,3.3294169008917455e-8,8.055140716427674e-8
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/8,1.4723472798673541e-5,1.4688018599790716e-5,1.4821321478503022e-5,1.867741929998038e-7,8.69292861562736e-8,3.5013582975755693e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/9,1.9474230482159373e-5,1.9446728488854455e-5,1.951956324728067e-5,1.1033556962819186e-7,7.404972646996586e-8,1.7600998558029796e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/10,2.470212402454987e-5,2.466981829846146e-5,2.474488072754297e-5,1.2049687375803952e-7,8.964433047931262e-8,1.6852962483580222e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/11,3.1289930566633846e-5,3.125575962251138e-5,3.1331886225383994e-5,1.2912763583330822e-7,7.710961562598563e-8,2.1850148562198155e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/12,3.886493576643271e-5,3.872965580222811e-5,3.913749909253849e-5,5.96835172808842e-7,3.911362423940397e-7,8.966664650098538e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/13,4.69311091360281e-5,4.689001978074557e-5,4.698640788752287e-5,1.61822866273525e-7,1.1717559692516048e-7,2.1736586171572568e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/14,5.6779287706499534e-5,5.668333661725689e-5,5.692250999950927e-5,3.986042437868993e-7,2.936912607191614e-7,5.691089929314647e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/15,6.758311631546786e-5,6.750076023751537e-5,6.773837688670051e-5,3.496919959965039e-7,2.265930681449724e-7,5.560236809876835e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/16,7.951470037280683e-5,7.945094907748905e-5,7.963122710964958e-5,2.8337839552129996e-7,1.7322956795973488e-7,4.778009659254568e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/17,9.307340248721502e-5,9.298746714181234e-5,9.316811737300894e-5,3.0130644848048846e-7,2.439100678496296e-7,4.0230272220024946e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/18,1.0733991398324282e-4,1.0702738065119271e-4,1.0789097600532509e-4,1.3460038349594982e-6,8.92687542584551e-7,2.1608066627205603e-6
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/19,1.232809874226042e-4,1.2313578683593285e-4,1.2350575761378756e-4,5.861933454567158e-7,4.143466967306627e-7,9.462660675328184e-7
adjust/LocallyNameless.Lazy.UGSubstBind/adjust/20,1.4128553244669993e-4,1.4115835618511578e-4,1.4142638802660528e-4,4.3442931198249045e-7,3.165002013116715e-7,6.827489385342912e-7
