Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/1,3.9547087372393203e-7,3.947991555524623e-7,3.9704349533585813e-7,3.160836660752094e-9,1.4759841079445238e-9,5.808568634051134e-9
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/2,1.4317231345393032e-6,1.4300069597176417e-6,1.4345753205349772e-6,7.228141972401567e-9,4.7097586371763915e-9,1.1879918990429739e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/3,2.990823516326537e-6,2.9865651866859125e-6,2.9984973661738947e-6,1.834286669800984e-8,1.2547524695435116e-8,3.063574790715268e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/4,5.131722761969258e-6,5.123240071089012e-6,5.145664775497396e-6,3.611924398839913e-8,2.3125234808127872e-8,5.7533818010166347e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/5,7.99671656201069e-6,7.989883533741513e-6,8.01045666161298e-6,2.991750069774472e-8,1.658375536602407e-8,5.0027874639354454e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/6,1.154425400820818e-5,1.153076652749945e-5,1.1562085806162428e-5,5.2811376626326035e-8,3.941067216319501e-8,7.44090177925847e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/7,1.5638477335740286e-5,1.5619510747088317e-5,1.5667127276669175e-5,7.88543521046258e-8,6.075490952132431e-8,1.0680641409788898e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/8,2.089563747040523e-5,2.0881063841794195e-5,2.0916250549076014e-5,5.9477616730069054e-8,4.8408294396111735e-8,8.016773144783053e-8
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/9,2.6861531671824895e-5,2.6821913751992266e-5,2.6931356742195944e-5,1.7466231157001654e-7,1.0867082644777192e-7,2.7629152830750026e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/10,3.3696262169501254e-5,3.367366455371781e-5,3.372633700023259e-5,9.128551282854487e-8,6.724209182682565e-8,1.2078211356170748e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/11,4.22730361615034e-5,4.1881208813539994e-5,4.360916433986567e-5,2.173539889042525e-6,6.910604872626962e-7,4.737227537158266e-6
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/12,5.0821845571296765e-5,5.0744779742720364e-5,5.0923465870260616e-5,3.1410021751231896e-7,2.432887772468701e-7,4.797449871450564e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/13,6.148502021466195e-5,6.144408151666084e-5,6.155375129581632e-5,1.8484575448751439e-7,1.234381416600958e-7,2.968051792920257e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/14,7.329407380112578e-5,7.321647257341265e-5,7.341148959319046e-5,3.000203878587649e-7,2.001472519486497e-7,4.756118879958537e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/15,8.658002390862883e-5,8.64246678889501e-5,8.690787270492737e-5,7.46177557499247e-7,4.6412819850143095e-7,1.3447879364760568e-6
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/16,9.990574828762301e-5,9.981327234773542e-5,1.0008189301739523e-4,3.9607061055001864e-7,2.5850046361107496e-7,6.986476291275392e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/17,1.1649521595509008e-4,1.1639157933635427e-4,1.1663760379003144e-4,4.078741430938319e-7,2.987069698744596e-7,6.250732011911122e-7
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/18,1.3438409061850392e-4,1.3423184666416527e-4,1.3470438740451255e-4,6.781999284973538e-7,3.780103224912407e-7,1.2558055181722058e-6
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/19,1.5397260725385034e-4,1.537757883425991e-4,1.5427850150252632e-4,8.164549520610245e-7,5.590214089400523e-7,1.1721766893033458e-6
adjustb/LocallyNameless.Lazy.UGSubstBind/adjustb/20,1.7441553880126915e-4,1.7423255392823422e-4,1.747014518012492e-4,7.32093721771007e-7,5.033166953168479e-7,1.0626800961283935e-6
