Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.UGSubstBind/ids/1,1.144927542167795e-7,1.1372655786048742e-7,1.1621722459029935e-7,3.787605956310685e-9,2.051621391838055e-9,6.863048732580763e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/2,1.2296914963037955e-7,1.2279650106008553e-7,1.2321238427865385e-7,6.232701538888199e-10,4.836670024210529e-10,8.372150255459489e-10
ids/LocallyNameless.Lazy.UGSubstBind/ids/3,1.3240098592026397e-7,1.3225935262541535e-7,1.3260846502650714e-7,5.511124271359951e-10,4.056678948590517e-10,7.453565106583898e-10
ids/LocallyNameless.Lazy.UGSubstBind/ids/4,1.5336575236984696e-7,1.531957237614553e-7,1.5367248743610415e-7,7.512347138896906e-10,5.161329602444068e-10,1.1198672947684867e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/5,1.5716865733028744e-7,1.5700201614407628e-7,1.5741810319476198e-7,6.710711765098477e-10,4.956275821380477e-10,1.0364019780760006e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/6,1.6512527433851124e-7,1.6485276524500764e-7,1.6554161379906403e-7,1.1769322070667449e-9,8.105198647221661e-10,1.6917520442383046e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/7,1.729016857950178e-7,1.726072756507829e-7,1.733724850723108e-7,1.227677617610555e-9,8.603373399290406e-10,1.8991371857733422e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/8,1.806539687511644e-7,1.8049435778439928e-7,1.8092690039287908e-7,6.793514954203239e-10,4.5303222263888963e-10,1.1313651529162965e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/9,1.9004687563138863e-7,1.897652812783065e-7,1.9053061137009542e-7,1.2404696690837644e-9,7.082773943137835e-10,1.8927744838145723e-9
ids/LocallyNameless.Lazy.UGSubstBind/ids/10,1.982089676548978e-7,1.9803516929972945e-7,1.9841355746321127e-7,6.57759070591702e-10,5.073265360409468e-10,9.05935645436582e-10
