Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/1,2.0229111650623815e-7,2.0205900608409046e-7,2.027159041479864e-7,1.034834286002075e-9,7.042499440318592e-10,1.499455364526177e-9
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/2,7.697598146310351e-7,7.69043672953121e-7,7.708691377237346e-7,3.022197792206868e-9,2.1096538352132483e-9,4.757986335295807e-9
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/3,1.801744925012394e-6,1.7985539103437056e-6,1.8057458626653542e-6,1.2169355655795748e-8,9.674714469995754e-9,1.7167603925002235e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/4,3.2979198948328915e-6,3.291743399432655e-6,3.3098382456644908e-6,2.6826836930340083e-8,1.6709191945579257e-8,4.559479196720333e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/5,5.250805758535422e-6,5.248517928754821e-6,5.253512188538985e-6,8.483638872769643e-9,6.948013136576922e-9,1.0551298796289493e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/6,7.795846133277624e-6,7.784021377669432e-6,7.810640631465985e-6,4.5062491195983384e-8,3.4453570503952324e-8,6.663409765277491e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/7,1.0997815374177214e-5,1.0983630846290995e-5,1.1019708784944637e-5,5.9178595849077655e-8,4.308522691218251e-8,8.143038265521817e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/8,1.4885052052291069e-5,1.4873257773130662e-5,1.4897542186089882e-5,4.140074284765138e-8,3.325001452090222e-8,5.579071461544359e-8
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/9,1.9532831070763848e-5,1.9511291441490085e-5,1.9574824401798173e-5,9.691655844997687e-8,6.173803240201591e-8,1.653481083399066e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/10,2.5019906151854356e-5,2.497533043381044e-5,2.510166256342266e-5,1.9360263674899915e-7,1.239204510502817e-7,3.043697561306632e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/11,3.1230787910383216e-5,3.121123900488916e-5,3.125817801109881e-5,7.609406438935014e-8,5.239419625614488e-8,1.078503840028854e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/12,3.8717801994621296e-5,3.866954948971709e-5,3.876864680790334e-5,1.6578574916607308e-7,1.4273882937030119e-7,2.0559814301641778e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/13,4.708125461256662e-5,4.704745761431685e-5,4.715035682526463e-5,1.5191714568591192e-7,1.0166201273589073e-7,2.6063175739499295e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/14,5.646999214898717e-5,5.643439094199461e-5,5.6553742086489574e-5,1.8621610018363804e-7,9.095379990702555e-8,3.224725794634368e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/15,6.752365484616449e-5,6.74190558990035e-5,6.771456202995085e-5,4.4846890599762555e-7,2.1596483653341042e-7,7.434713111539495e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/16,7.95486489545614e-5,7.938240840225173e-5,7.989929563111334e-5,7.354797298360615e-7,4.499212096090417e-7,1.2295368187650948e-6
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/17,9.173922692774502e-5,9.168812576317936e-5,9.183467620031996e-5,2.1584238657070505e-7,1.3690033217657265e-7,3.479874483345434e-7
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/18,1.071537659679138e-4,1.0700141319637505e-4,1.0745539593562276e-4,7.20122837182807e-7,4.3803705460015877e-7,1.1835216747638815e-6
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/19,1.2292783326869653e-4,1.227562357477567e-4,1.2332686781020688e-4,8.298640677516382e-7,4.0499522322937967e-7,1.4610228736345394e-6
adjust/LocallyNameless.Lazy.UnboundGenerics/adjust/20,1.3960382474560154e-4,1.39525595869366e-4,1.3969209305864485e-4,2.88336188517371e-7,2.1479454362660593e-7,4.390941072349708e-7
