Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/1,4.561465103221739e-7,4.555236534500565e-7,4.5732524845627235e-7,2.889609700570221e-9,1.7035289733781034e-9,4.552369821174861e-9
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/2,1.556145537287783e-6,1.549639425189947e-6,1.567099545419799e-6,2.734574770522591e-8,1.7888662343341503e-8,4.1470612872049784e-8
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/3,3.126560381286378e-6,3.1207773388121365e-6,3.135462903956549e-6,2.2430009229784017e-8,1.873480367359482e-8,2.7634879355913292e-8
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/4,5.334364102174771e-6,5.324973123008501e-6,5.351164302984811e-6,4.056714695168501e-8,2.847086378188696e-8,6.933831276714509e-8
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/5,8.261959147571397e-6,8.2507988470022e-6,8.276003085505074e-6,4.239788973725766e-8,3.062662753862318e-8,6.559203493936686e-8
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/6,1.1838291608362788e-5,1.1827042981334699e-5,1.1853187519544971e-5,4.314266011539877e-8,3.2986197055239044e-8,5.960591886122741e-8
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/7,1.617759399128589e-5,1.614444147867161e-5,1.6239195299024052e-5,1.4821544660653301e-7,9.855120452017493e-8,2.2040427661588847e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/8,2.0798756395114173e-5,2.0759486609033425e-5,2.0857086250526368e-5,1.5550097316408494e-7,1.0857250057069913e-7,2.282074507024479e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/9,2.7227738610566875e-5,2.719657160377384e-5,2.729179687214676e-5,1.409020213982438e-7,8.733375205774703e-8,2.421627239728028e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/10,3.442087512497488e-5,3.4367944998003194e-5,3.4521643748858857e-5,2.389273875059728e-7,1.4199613849947322e-7,4.533664313422815e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/11,4.2383971520377185e-5,4.232901417862434e-5,4.244876541827265e-5,2.0034269281686238e-7,1.5238664258850793e-7,2.568026321822007e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/12,5.1256019759732755e-5,5.117516128394612e-5,5.142646531823664e-5,3.7240355907639366e-7,1.8371012307208586e-7,6.418151423454233e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/13,6.182316480452495e-5,6.172606818441022e-5,6.199119894176242e-5,4.155853388328371e-7,2.643764874559545e-7,6.268046034090261e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/14,7.3061621879816e-5,7.297619549941802e-5,7.317422310628358e-5,3.0482367463524415e-7,2.3268856816373993e-7,3.7540558926892013e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/15,8.592524098261832e-5,8.582109746550525e-5,8.603828946942547e-5,3.5189724655892817e-7,3.039385328020206e-7,4.4670434038766815e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/16,1.010317899052774e-4,1.0087362639403229e-4,1.0123548408352626e-4,6.296025660882152e-7,4.842291445833314e-7,7.697434028580606e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/17,1.1664053919665211e-4,1.1651245750960976e-4,1.167968260543706e-4,4.869445137737273e-7,3.809604941680069e-7,6.883506709110804e-7
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/18,1.337336428596101e-4,1.3358477143962752e-4,1.340029101719829e-4,6.587924428179622e-7,4.4454499905616534e-7,1.0212135290387983e-6
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/19,1.5274903093270283e-4,1.5249136639198458e-4,1.5333692890020785e-4,1.2247148930861803e-6,6.987067890843427e-7,2.306315581630571e-6
adjustb/LocallyNameless.Lazy.UnboundGenerics/adjustb/20,1.725464120103428e-4,1.7232542834964596e-4,1.730671319105571e-4,1.1042807139141853e-6,5.666081474496196e-7,2.1795282947133563e-6
