Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.UnboundGenerics/ids/1,1.786046415867944e-7,1.7842818570006344e-7,1.7888930123067589e-7,7.590181223642733e-10,5.290684398973262e-10,1.2058175427762579e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/2,2.605649839593836e-7,2.603079581144184e-7,2.6097094958975224e-7,1.076211937134665e-9,6.99150847599516e-10,1.8245387697349015e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/3,3.545126847634607e-7,3.5421789947420897e-7,3.550016140988627e-7,1.2915406577438995e-9,7.667627170906338e-10,2.222841640545624e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/4,4.2858632915854956e-7,4.2812331397518765e-7,4.290912334072247e-7,1.5849676317437343e-9,1.2920057513873956e-9,2.136465229384866e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/5,4.960706487945706e-7,4.938298600647079e-7,5.0410483746192e-7,1.2534075580867234e-8,3.2255266804341476e-9,2.5893517318350936e-8
ids/LocallyNameless.Lazy.UnboundGenerics/ids/6,5.623291794730992e-7,5.614594810325767e-7,5.634741281445257e-7,3.4412398951314093e-9,2.5891478602371108e-9,4.489080568525699e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/7,6.24599493626239e-7,6.242279683450894e-7,6.254945788494571e-7,1.8777247451225343e-9,1.029012580989244e-9,3.362501243500056e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/8,7.013501237170447e-7,7.007966505524756e-7,7.021927525289147e-7,2.4207939636882417e-9,1.7320503731311115e-9,3.4361152945054988e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/9,7.701623643297362e-7,7.694935562637823e-7,7.712306839249319e-7,2.9188349447745477e-9,1.938186323372115e-9,4.87242258807257e-9
ids/LocallyNameless.Lazy.UnboundGenerics/ids/10,8.541028871047556e-7,8.495395874288098e-7,8.744593335574462e-7,2.7078346125443323e-8,6.342887795021792e-9,6.020235084630235e-8
