Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.UnboundRep/adjust/1,4.564244527122228e-7,4.5598674914571863e-7,4.571722946906767e-7,1.8520700715015101e-9,1.2144704827285685e-9,2.922802405147835e-9
adjust/LocallyNameless.Lazy.UnboundRep/adjust/2,2.683557989865244e-6,2.678191716128032e-6,2.6894401851388588e-6,1.9786453329625053e-8,1.556715838133327e-8,2.58068673719603e-8
adjust/LocallyNameless.Lazy.UnboundRep/adjust/3,7.496011717619718e-6,7.4874611655643335e-6,7.506997455231899e-6,3.221540999286419e-8,2.4331679845341475e-8,4.7885999089336346e-8
adjust/LocallyNameless.Lazy.UnboundRep/adjust/4,1.5805179610287006e-5,1.5792365774333955e-5,1.582098874126333e-5,4.8858167109468126e-8,3.689601758327967e-8,6.71856636167843e-8
adjust/LocallyNameless.Lazy.UnboundRep/adjust/5,2.8466684465688664e-5,2.842274309870171e-5,2.8527431860963108e-5,1.8544985783210878e-7,1.4229703414863209e-7,2.4278329342095276e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/6,4.651641503602335e-5,4.636227182716864e-5,4.6892228295396806e-5,7.42821503010615e-7,4.1570159569364387e-7,1.4082278920274183e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/7,6.966172540161712e-5,6.961473371690552e-5,6.97869933019925e-5,2.406357845229769e-7,9.954071033009738e-8,4.634468150130459e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/8,1.0131436834194859e-4,1.0120588237643652e-4,1.0152381584191893e-4,4.960483059400976e-7,2.958382809312951e-7,8.900774594712999e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/9,1.4042261821400648e-4,1.402742599585777e-4,1.407142986539607e-4,6.416134925130485e-7,3.725646725314276e-7,9.593049491228025e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/10,1.8788497567433915e-4,1.877378622369274e-4,1.8802465657798067e-4,5.082329570501983e-7,4.099444995893836e-7,6.87313401767887e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/11,2.475646566918732e-4,2.472190392234915e-4,2.483178710357379e-4,1.6202880105329388e-6,8.237304100972855e-7,2.8400684019081038e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/12,3.182940714074084e-4,3.1639111745098835e-4,3.218221478941824e-4,8.897115805990636e-6,4.926056987913043e-6,1.4047585993693827e-5
adjust/LocallyNameless.Lazy.UnboundRep/adjust/13,3.9611466824263124e-4,3.9571096639093984e-4,3.9671668695347986e-4,1.5469646743612286e-6,1.1738062891440699e-6,2.137075823627622e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/14,4.954837676908158e-4,4.943825963525142e-4,4.97154754230767e-4,4.63032121746781e-6,3.5023144654057074e-6,6.330969111961155e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/15,6.019464706174835e-4,6.011865397206912e-4,6.028611151739654e-4,2.822646014620092e-6,2.074585547365476e-6,4.059327317594109e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/16,7.248870292436583e-4,7.242006013223652e-4,7.257041707587825e-4,2.431082597308948e-6,1.948576032586897e-6,3.3874232554692255e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/17,8.661060090128107e-4,8.646087427316621e-4,8.687783115487614e-4,6.5186705857480015e-6,4.588118384770873e-6,9.477582872062249e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/18,1.016766131075332e-3,1.0155637108355865e-3,1.018104247683536e-3,4.299719492255041e-6,3.577593890407566e-6,5.325850872132017e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/19,1.1915834496727276e-3,1.1901248534097765e-3,1.1931880192578305e-3,5.366298845086693e-6,4.547767730283135e-6,6.471936786968918e-6
adjust/LocallyNameless.Lazy.UnboundRep/adjust/20,1.3963033677178356e-3,1.394402863219576e-3,1.3996851939506697e-3,8.30330053831066e-6,5.031032189080884e-6,1.5338569163527477e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.UnboundRep/adjust/1,4.6856404228468386e-7,4.6707395559870794e-7,4.7032974625454196e-7,5.597810700067073e-9,4.932893231921799e-9,6.190935756410293e-9
adjust/LocallyNameless.Lazy.UnboundRep/adjust/2,2.7205560064659106e-6,2.7173004954759796e-6,2.7243136352106735e-6,1.1818487653881596e-8,8.71793140180961e-9,1.8952896877534512e-8
adjust/LocallyNameless.Lazy.UnboundRep/adjust/3,7.5603877120166586e-6,7.553683073965929e-6,7.570247025313519e-6,2.631291753971833e-8,2.0312706116283906e-8,3.59084561038736e-8
adjust/LocallyNameless.Lazy.UnboundRep/adjust/4,1.598798003710163e-5,1.5969943488946532e-5,1.601583034566994e-5,7.51993515634206e-8,5.401656647224165e-8,1.0799426038636046e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/5,2.872825489931526e-5,2.8683863717768168e-5,2.8793869069930722e-5,1.7341931426741243e-7,1.1241622165764046e-7,2.944672514286951e-7
adjust/LocallyNameless.Lazy.UnboundRep/adjust/6,4.693451331343342e-5,4.684112940308705e-5,4.709487195810634e-5,3.874268895867588e-7,2.879587422790124e-7,5.391648471542351e-7
