Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/1,1.2601362616904472e-6,1.2581030206970698e-6,1.2638361783081324e-6,9.35791432546927e-9,4.582496955697755e-9,1.4867229848772173e-8
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/2,5.482948840777436e-6,5.472610798600052e-6,5.499635878029745e-6,4.2881442918333395e-8,1.8900692051704796e-8,6.731869642138177e-8
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/3,1.3466558983719177e-5,1.3456985010287817e-5,1.3480868651366054e-5,3.8653383101404854e-8,3.0826024944114797e-8,6.290620122266544e-8
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/4,2.5757550354141055e-5,2.5709834980456458e-5,2.585552401570086e-5,2.2631653768953754e-7,1.356855792239123e-7,3.9029644734280294e-7
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/5,4.39917263065344e-5,4.39358828137705e-5,4.4085280638627634e-5,2.3360544355627195e-7,1.6302019676490168e-7,4.012072590513434e-7
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/6,6.768188934198628e-5,6.760641806556692e-5,6.781631493203886e-5,3.2579908374897764e-7,1.9772126851905935e-7,5.981145485759247e-7
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/7,9.953981989509841e-5,9.921947476061826e-5,1.0034652453005332e-4,1.5412590180507398e-6,7.009823119605862e-7,3.118065134596862e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/8,1.3858860301723392e-4,1.3840699153595647e-4,1.388240159039492e-4,6.670959499045467e-7,4.783048785420404e-7,8.79494195576474e-7
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/9,1.8706409472193719e-4,1.867746785577681e-4,1.8764950753629358e-4,1.3567348212667655e-6,8.710971027603664e-7,2.1623793587118085e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/10,2.4716526015015677e-4,2.46851596433689e-4,2.477032022019019e-4,1.2895744704156776e-6,8.427885620082866e-7,1.99413112206735e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/11,3.175562668358602e-4,3.171025126108725e-4,3.18301222569628e-4,1.8173211707137598e-6,1.3768102647350747e-6,2.800706243681944e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/12,4.003092857492422e-4,3.9977098704659027e-4,4.0100247851653544e-4,2.1384024753083538e-6,1.582654763449807e-6,2.8895848938927824e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/13,4.961647707040822e-4,4.952512880039826e-4,4.976257033551126e-4,3.886849616285006e-6,2.5910660454462784e-6,5.990499751738175e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/14,6.015848154892816e-4,5.999339345780924e-4,6.065130536296772e-4,8.8330285095304e-6,3.126615315988942e-6,1.752743865628625e-5
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/15,7.284993305606918e-4,7.275324607610407e-4,7.294905460116941e-4,3.3504688531443233e-6,2.7060029459225828e-6,4.663959607948395e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/16,8.712244499448752e-4,8.697518768612734e-4,8.744080055865628e-4,6.911731632121535e-6,4.024828616182885e-6,1.2595769993582308e-5
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/17,1.0294259879965453e-3,1.027966797413244e-3,1.0319336728629295e-3,6.193758616803956e-6,4.489995400710263e-6,8.806775623653107e-6
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/18,1.2063627743830489e-3,1.2042140959642436e-3,1.2098922712548603e-3,9.323848232797571e-6,5.842149920423885e-6,1.3726542911133177e-5
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/19,1.4039606161660978e-3,1.4012686973369083e-3,1.4085474975369919e-3,1.1665114626374333e-5,7.121389041433567e-6,1.99748894745824e-5
adjustb/LocallyNameless.Lazy.UnboundRep/adjustb/20,1.61677224856707e-3,1.6139724158580463e-3,1.6206050517007962e-3,1.1358584812411857e-5,7.806595325160511e-6,1.809877546188944e-5
