Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.UnboundRep/con/1,2.2464458750357845e-7,2.2432717335326802e-7,2.251988622310137e-7,1.405533754362589e-9,9.495472621809838e-10,2.341945689434358e-9
con/LocallyNameless.Lazy.UnboundRep/con/2,7.604590508599197e-7,7.596475384697887e-7,7.620380932384342e-7,3.845926226348302e-9,2.4011169333897215e-9,6.917570350526311e-9
con/LocallyNameless.Lazy.UnboundRep/con/3,1.5689174738533777e-6,1.5665547554801794e-6,1.5721520060949663e-6,9.424184914218581e-9,6.855455663727305e-9,1.3378045348126864e-8
con/LocallyNameless.Lazy.UnboundRep/con/4,2.382536678370286e-6,2.379282454595157e-6,2.387389499421678e-6,1.3653774670014003e-8,9.836092473509565e-9,1.9831980957131076e-8
con/LocallyNameless.Lazy.UnboundRep/con/5,3.467072424765855e-6,3.4531393734236474e-6,3.5022052043506402e-6,7.147584870064492e-8,2.1449791893499474e-8,1.2922165296479252e-7
con/LocallyNameless.Lazy.UnboundRep/con/6,4.68894914671843e-6,4.682957611402535e-6,4.697527506540123e-6,2.4080443106135515e-8,1.786849885023261e-8,3.268226083552518e-8
con/LocallyNameless.Lazy.UnboundRep/con/7,6.137470320773014e-6,6.123233800184291e-6,6.160770628222414e-6,6.026259379562355e-8,3.957980741948202e-8,8.585343780824295e-8
con/LocallyNameless.Lazy.UnboundRep/con/8,7.600552640286835e-6,7.5931006494272836e-6,7.612201539972283e-6,3.074092755040398e-8,2.1825001016543092e-8,5.0826483233775693e-8
con/LocallyNameless.Lazy.UnboundRep/con/9,9.446395123164138e-6,9.417929318166515e-6,9.490530873127888e-6,1.2030499064762782e-7,9.136254503408756e-8,1.554738827141141e-7
con/LocallyNameless.Lazy.UnboundRep/con/10,1.099006570999235e-5,1.0975726140227904e-5,1.1011677094768354e-5,5.551887388224285e-8,3.783586260372652e-8,8.403002007306817e-8
con/LocallyNameless.Lazy.UnboundRep/con/11,1.2996480839398738e-5,1.2987931265700139e-5,1.3007712885970624e-5,3.236634660854692e-8,2.369351537827484e-8,4.222955759675303e-8
con/LocallyNameless.Lazy.UnboundRep/con/12,1.5227198129222045e-5,1.5212025072607237e-5,1.5244842597036482e-5,5.5325589610816945e-8,4.335695485661551e-8,8.008843853158939e-8
con/LocallyNameless.Lazy.UnboundRep/con/13,1.7516885519230462e-5,1.749902627008703e-5,1.7546208661295315e-5,7.532041628243083e-8,5.469051400311961e-8,1.0516214465914012e-7
con/LocallyNameless.Lazy.UnboundRep/con/14,1.990394619734162e-5,1.9879404813351233e-5,1.9947294552654092e-5,1.0155579455213585e-7,5.1482740923166156e-8,1.7240610874428177e-7
con/LocallyNameless.Lazy.UnboundRep/con/15,2.2514944147608146e-5,2.2483453346753985e-5,2.2562526465923748e-5,1.2429726724262492e-7,9.45514692648727e-8,2.118653500415812e-7
con/LocallyNameless.Lazy.UnboundRep/con/16,2.5212952477727994e-5,2.515278947969607e-5,2.530582642441374e-5,2.283271781580315e-7,1.486760496663781e-7,3.31570154522738e-7
con/LocallyNameless.Lazy.UnboundRep/con/17,2.7954143953238795e-5,2.793356219720817e-5,2.7992896253907843e-5,8.990499253514731e-8,5.642201581391381e-8,1.4966095934085507e-7
con/LocallyNameless.Lazy.UnboundRep/con/18,3.102820258137312e-5,3.098572758863288e-5,3.109269746327042e-5,1.7304569085214658e-7,1.1256103346461644e-7,2.5326112805250534e-7
con/LocallyNameless.Lazy.UnboundRep/con/19,3.4041713910488155e-5,3.4010472433554166e-5,3.409222382928339e-5,1.270155344728788e-7,7.885324093819418e-8,2.1654140512124413e-7
con/LocallyNameless.Lazy.UnboundRep/con/20,3.739914855360998e-5,3.736735095117793e-5,3.743100356132793e-5,1.054346149859627e-7,8.206755741951909e-8,1.3425436526867618e-7
