Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.UnboundRep/ids/1,2.2721483838695155e-7,2.2685150903836008e-7,2.2777166076760735e-7,1.4598247550076293e-9,1.0768505226284308e-9,2.263558365685273e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/2,2.528992808857729e-7,2.520220091836131e-7,2.5404686199295097e-7,3.2857004993508813e-9,2.6242549636174834e-9,4.155459849547009e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/3,2.7537658418803683e-7,2.746310579067341e-7,2.763046831173818e-7,2.932921371570916e-9,2.2303592613525778e-9,4.110366815159994e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/4,2.789470778606859e-7,2.78202849214221e-7,2.807295862648788e-7,3.654212384584464e-9,1.4786093721480255e-9,7.205681505998383e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/5,2.8136254518857293e-7,2.8084167550753167e-7,2.822542012744169e-7,2.1596506686467015e-9,1.5092274566282605e-9,3.579022464385399e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/6,2.763701601581848e-7,2.760941311976891e-7,2.7680662087528607e-7,1.235738193552742e-9,8.988770246179686e-10,2.057885119232161e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/7,3.0407114481239657e-7,3.036012399256625e-7,3.045605925018395e-7,1.7010167623109685e-9,1.3888288143059513e-9,2.1306549657813047e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/8,3.083471795544013e-7,3.0720533726166434e-7,3.098630694572819e-7,4.50077564074422e-9,3.3399659232414417e-9,5.677032122336465e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/9,3.1453114967411587e-7,3.1360371926332734e-7,3.161729229775728e-7,3.77037069994625e-9,2.609080975423304e-9,5.902841432543097e-9
ids/LocallyNameless.Lazy.UnboundRep/ids/10,3.2976778732249216e-7,3.293755056521765e-7,3.301811558057635e-7,1.3358493009863933e-9,1.0306948596335952e-9,1.8273475350479868e-9
