Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Opt/adjust/1,5.137692054775085e-8,5.132888316779404e-8,5.146913051885285e-8,2.1516493934209758e-10,1.4795647632697047e-10,3.5975762950984006e-10
adjust/LocallyNameless.Opt/adjust/2,1.7042415145942446e-7,1.6953377242278136e-7,1.7179308410963332e-7,3.764963959112898e-9,2.7837481542157895e-9,4.936834172621503e-9
adjust/LocallyNameless.Opt/adjust/3,3.8002969870627763e-7,3.794620152145223e-7,3.8084482815932066e-7,2.395612351420013e-9,1.5717428081929085e-9,3.2781681266091284e-9
adjust/LocallyNameless.Opt/adjust/4,7.068136734430211e-7,7.047490845574278e-7,7.145546462974679e-7,1.2030791344117891e-8,2.781391504360472e-9,2.523251425663333e-8
adjust/LocallyNameless.Opt/adjust/5,1.099123736365635e-6,1.0987264599792693e-6,1.0996035455172884e-6,1.480707762626119e-9,1.233725178183179e-9,2.0374568484327623e-9
adjust/LocallyNameless.Opt/adjust/6,1.6067793567267838e-6,1.6049981432235513e-6,1.6089693493130044e-6,6.838367199113378e-9,5.030997876009638e-9,1.0099415034763011e-8
adjust/LocallyNameless.Opt/adjust/7,2.259237761442728e-6,2.2574240617179736e-6,2.2618414020014494e-6,7.1907252476661055e-9,5.550093732258945e-9,1.077872597388416e-8
adjust/LocallyNameless.Opt/adjust/8,3.1103058971546193e-6,3.1060902636503546e-6,3.1148471864035605e-6,1.4519617822701177e-8,1.2345469037380684e-8,1.902920800238475e-8
adjust/LocallyNameless.Opt/adjust/9,4.258009456061083e-6,4.25129072784007e-6,4.269534509060006e-6,3.0004429587357186e-8,1.7699824876325626e-8,4.39524382642031e-8
adjust/LocallyNameless.Opt/adjust/10,5.569593384400968e-6,5.544331117671848e-6,5.667767361027382e-6,1.3367535478123453e-7,3.684182339237777e-8,3.0835459594762046e-7
adjust/LocallyNameless.Opt/adjust/11,7.038822646092032e-6,7.035508128886679e-6,7.045043032357548e-6,1.4387177955682927e-8,9.922941204954972e-9,2.431957685310295e-8
adjust/LocallyNameless.Opt/adjust/12,8.733051578129028e-6,8.725050288234137e-6,8.74283392233738e-6,2.90577938790235e-8,2.358953027954117e-8,3.9821068328956526e-8
adjust/LocallyNameless.Opt/adjust/13,1.0468563367154893e-5,1.0455258585245771e-5,1.0485908291014357e-5,5.1343613126912765e-8,3.495229895746517e-8,7.016799888840217e-8
adjust/LocallyNameless.Opt/adjust/14,1.2688192478626814e-5,1.2656282904274502e-5,1.2722040438915947e-5,1.1304790466794487e-7,9.476778600474533e-8,1.3896102223400907e-7
adjust/LocallyNameless.Opt/adjust/15,1.4771473711534908e-5,1.474712628741507e-5,1.4835643539706777e-5,1.1667416148269035e-7,6.370942041026779e-8,2.2240182471709656e-7
adjust/LocallyNameless.Opt/adjust/16,1.7629690806103347e-5,1.7508466403514367e-5,1.7924764898802096e-5,6.000716032479084e-7,2.158994112351931e-7,1.00288354962868e-6
adjust/LocallyNameless.Opt/adjust/17,2.02404611349653e-5,2.0224584988540097e-5,2.0262634805829922e-5,6.1541310677145e-8,4.2947313854903416e-8,9.560444418126502e-8
adjust/LocallyNameless.Opt/adjust/18,2.3599055887639662e-5,2.357197465745508e-5,2.3650043511341816e-5,1.1936513181875206e-7,6.959704345538138e-8,1.9725252108541394e-7
adjust/LocallyNameless.Opt/adjust/19,2.6861186298653688e-5,2.683911769035053e-5,2.688527829747704e-5,7.355344316985416e-8,6.109562561144517e-8,9.691330542795056e-8
adjust/LocallyNameless.Opt/adjust/20,3.096815389048984e-5,3.093516755645349e-5,3.1007792240640755e-5,1.249877333387312e-7,1.0360866493861878e-7,1.5769072121615645e-7
