Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Opt/capt/1,9.723348669342868e-8,9.705290994384383e-8,9.755837278766085e-8,7.989916071844688e-10,5.143221025832777e-10,1.1486221135266355e-9
capt/LocallyNameless.Opt/capt/2,1.2280416302944464e-7,1.2263989144351325e-7,1.2300662118905168e-7,6.600201488953041e-10,4.5944642037194696e-10,8.802833023925821e-10
capt/LocallyNameless.Opt/capt/3,1.4870432445816421e-7,1.4855158520740808e-7,1.4898403042754833e-7,6.505417685806706e-10,4.3201327234154806e-10,1.061174348393496e-9
capt/LocallyNameless.Opt/capt/4,1.7582729497986186e-7,1.7560426492437046e-7,1.761450745277585e-7,9.344942430920516e-10,6.929185623490171e-10,1.5223265671669807e-9
capt/LocallyNameless.Opt/capt/5,2.030190358647849e-7,2.0270189939181472e-7,2.0343403936161568e-7,1.2619563256103866e-9,9.69169250759311e-10,1.7173185351137237e-9
capt/LocallyNameless.Opt/capt/6,2.3188070552477301e-7,2.3137816173641457e-7,2.3312754345971705e-7,2.4573327964971075e-9,9.888337416064529e-10,4.4336712164768096e-9
capt/LocallyNameless.Opt/capt/7,2.633970834324482e-7,2.632052324490634e-7,2.6374985732582115e-7,8.184447014112924e-10,5.066099629479187e-10,1.489059591827605e-9
capt/LocallyNameless.Opt/capt/8,3.0248691496713823e-7,3.0056646289493793e-7,3.05357671461592e-7,7.51901940137438e-9,5.6859203729380996e-9,9.164645442278252e-9
capt/LocallyNameless.Opt/capt/9,3.311983301587475e-7,3.307558613835805e-7,3.3163405724224386e-7,1.5880383123751657e-9,1.307774460034271e-9,1.9275740839045156e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Opt/capt/1,1.2247195393850533e-7,1.2228840977999904e-7,1.2272696774880185e-7,7.09307866460863e-10,5.122365829088111e-10,9.770328493782739e-10
capt/LocallyNameless.Opt/capt/2,1.526288984921965e-7,1.5255045308837751e-7,1.5277162203703958e-7,3.483880166563071e-10,2.2361561880841733e-10,5.893405518401577e-10
capt/LocallyNameless.Opt/capt/3,1.8079400625723006e-7,1.8056292999643686e-7,1.811901669332549e-7,9.98680126051504e-10,6.810972565021153e-10,1.5063181136140874e-9
capt/LocallyNameless.Opt/capt/4,2.1016877022147404e-7,2.1001300701215467e-7,2.1042601809487155e-7,7.112049971261018e-10,4.552509906878709e-10,1.2147865236289306e-9
capt/LocallyNameless.Opt/capt/5,2.395818239352436e-7,2.3902035803992183e-7,2.405405775879864e-7,2.4327260043256406e-9,1.6437544282954925e-9,4.245063829638367e-9
capt/LocallyNameless.Opt/capt/6,2.8544855434098285e-7,2.850056231660656e-7,2.8630005680041724e-7,2.10433144493842e-9,1.0034646492246853e-9,3.570118231119606e-9
capt/LocallyNameless.Opt/capt/7,3.1775911869094403e-7,3.173394970289764e-7,3.1843046029803516e-7,1.7698022794070305e-9,1.1770825442192431e-9,2.767651052950948e-9
capt/LocallyNameless.Opt/capt/8,3.482750928757709e-7,3.480447015018493e-7,3.485294086290537e-7,8.068715557638298e-10,6.280196209430697e-10,1.039863909921288e-9
capt/LocallyNameless.Opt/capt/9,3.94315686684344e-7,3.9368754987952474e-7,3.952109854963777e-7,2.460854616951144e-9,1.630473513078679e-9,3.561973791942139e-9
