Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Opt/con/1,4.6426551725239425e-8,4.6375579730334445e-8,4.6529940982646914e-8,2.377981662161542e-10,1.4041240964139597e-10,3.5678532939760675e-10
con/LocallyNameless.Opt/con/2,7.154152649218392e-8,7.143933336513658e-8,7.180586876188094e-8,5.195519640970388e-10,2.684937854083828e-10,9.85297719451217e-10
con/LocallyNameless.Opt/con/3,9.62202631462778e-8,9.589923755871794e-8,9.660856270153578e-8,1.1416372248513763e-9,9.736956070148505e-10,1.4951324689949475e-9
con/LocallyNameless.Opt/con/4,1.268844678644218e-7,1.2647307798873448e-7,1.273820852244977e-7,1.4937572622116074e-9,1.2222841569536644e-9,1.885708519483535e-9
con/LocallyNameless.Opt/con/5,1.5300690047088758e-7,1.524976776363361e-7,1.5346564128580064e-7,1.766798940195744e-9,1.466783283484147e-9,2.216854278539351e-9
con/LocallyNameless.Opt/con/6,1.7791383680224743e-7,1.7730548313945642e-7,1.7859869878439988e-7,2.033070535127447e-9,1.6870367023564438e-9,2.5388548132504793e-9
con/LocallyNameless.Opt/con/7,2.2314328513438369e-7,2.2121357281042704e-7,2.256757452674105e-7,7.37955052081852e-9,6.174226176755745e-9,9.91012532386658e-9
con/LocallyNameless.Opt/con/8,2.401190349729363e-7,2.395812289545732e-7,2.409484788949477e-7,2.212605362279192e-9,1.6400479285276816e-9,3.5346169780228424e-9
con/LocallyNameless.Opt/con/9,2.7477872700295934e-7,2.731195420613028e-7,2.763718285252987e-7,5.349969446076609e-9,4.411758611236775e-9,7.1017271406811e-9
con/LocallyNameless.Opt/con/10,3.279141299231615e-7,3.254745932954276e-7,3.304663570410441e-7,8.398563747179422e-9,7.410682811367441e-9,9.727845577872455e-9
con/LocallyNameless.Opt/con/11,3.4269223839137954e-7,3.414232941614303e-7,3.4497224531159985e-7,5.6957121605999815e-9,3.11333698165963e-9,8.690798388054827e-9
con/LocallyNameless.Opt/con/12,3.7958712691060354e-7,3.7883664958749055e-7,3.8038404990710446e-7,2.638685349293981e-9,2.232847025926396e-9,3.2002325202518557e-9
con/LocallyNameless.Opt/con/13,3.810371764805451e-7,3.797550364984083e-7,3.82472729297228e-7,4.5960182547098286e-9,3.857288399717692e-9,5.5582103529213894e-9
con/LocallyNameless.Opt/con/14,4.477437282703118e-7,4.434804369999702e-7,4.5242261010846465e-7,1.519558838907606e-8,1.3790665854575838e-8,1.68322606838275e-8
con/LocallyNameless.Opt/con/15,4.609495044361213e-7,4.598811815127305e-7,4.6193712111303205e-7,3.384036886110443e-9,2.749664344543125e-9,4.363746064580765e-9
con/LocallyNameless.Opt/con/16,5.267967516454653e-7,5.213490291613674e-7,5.311672209304589e-7,1.5689314517328724e-8,1.144374090297942e-8,1.8325791165342222e-8
con/LocallyNameless.Opt/con/17,5.104145991245248e-7,5.096734443400642e-7,5.11271421683491e-7,2.6336347254537706e-9,2.0657788197057466e-9,3.873698411784364e-9
con/LocallyNameless.Opt/con/18,5.426991558336775e-7,5.418753323815066e-7,5.435626598591445e-7,2.841286323427599e-9,2.307650979181544e-9,3.7125292142565695e-9
con/LocallyNameless.Opt/con/19,5.745377045604629e-7,5.711026348600304e-7,5.804361235298712e-7,1.5199156311187308e-8,1.0176356249279712e-8,1.9848314277706565e-8
con/LocallyNameless.Opt/con/20,6.069013837175705e-7,6.049158880621964e-7,6.089284547486444e-7,6.60602257330296e-9,4.877270471565991e-9,1.0349231684594772e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Opt/con/1,5.8142310799809026e-8,5.808747516545846e-8,5.826773308657708e-8,2.8521706545922113e-10,1.2596969367362994e-10,5.142230200763879e-10
con/LocallyNameless.Opt/con/2,8.649930505066175e-8,8.611511706723969e-8,8.718649234674598e-8,1.7490378450527e-9,1.052831096265424e-9,3.209279384777959e-9
con/LocallyNameless.Opt/con/3,1.1426766165205596e-7,1.1411180940584817e-7,1.144608268514322e-7,5.514895563343873e-10,4.4973835703227275e-10,6.768365849497732e-10
con/LocallyNameless.Opt/con/4,1.4388049608068917e-7,1.4381602444915002e-7,1.4398579064284976e-7,2.79964797324297e-10,1.9491810329919242e-10,4.710266835557845e-10
con/LocallyNameless.Opt/con/5,1.7317670231865921e-7,1.726749615220136e-7,1.739982058185184e-7,2.149787975975318e-9,1.4704638293268797e-9,3.2766289995340882e-9
con/LocallyNameless.Opt/con/6,2.0228946205299785e-7,2.018684771841955e-7,2.0270980135093778e-7,1.4292335644660976e-9,1.2404264069444738e-9,1.7233926763569106e-9
con/LocallyNameless.Opt/con/7,2.411935517652785e-7,2.4103212761444037e-7,2.41455771451158e-7,6.75764766691461e-10,3.905486779599123e-10,1.0503365185059558e-9
con/LocallyNameless.Opt/con/8,2.632761210961839e-7,2.6295772453283113e-7,2.6384576307538123e-7,1.4069087057488503e-9,9.914638641021051e-10,2.1553621344533395e-9
con/LocallyNameless.Opt/con/9,3.046259153584075e-7,3.043080709886218e-7,3.0506411859109375e-7,1.3433395539537838e-9,9.993488674392356e-10,2.2658461804022455e-9
con/LocallyNameless.Opt/con/10,3.4125670713444487e-7,3.409707381887093e-7,3.415196885116625e-7,9.179752409271567e-10,7.839508560807448e-10,1.1194780081008644e-9
con/LocallyNameless.Opt/con/11,3.8059664723152594e-7,3.800794821508259e-7,3.813201008854621e-7,2.0009703134757318e-9,1.438014551441185e-9,2.8130883184808698e-9
con/LocallyNameless.Opt/con/12,4.204328338756537e-7,4.19889892873917e-7,4.213496072158802e-7,2.293162635188909e-9,1.6322932136528426e-9,3.0659913108437316e-9
con/LocallyNameless.Opt/con/13,4.3108241284235355e-7,4.3052174542352547e-7,4.322618937442182e-7,2.632700514749396e-9,1.3211390629664818e-9,5.258988073597423e-9
con/LocallyNameless.Opt/con/14,4.7384430265542176e-7,4.733507484193881e-7,4.74449035171087e-7,1.8382734717827618e-9,1.34425300644357e-9,2.6029279349086836e-9
con/LocallyNameless.Opt/con/15,5.046892153613098e-7,5.04090261629541e-7,5.054891891512319e-7,2.3359141006738057e-9,1.8603036097959948e-9,3.2749044363723575e-9
con/LocallyNameless.Opt/con/16,5.378125727644223e-7,5.37356351087719e-7,5.383191518335553e-7,1.604489846776947e-9,1.4085479877037923e-9,1.880504810670712e-9
con/LocallyNameless.Opt/con/17,5.677455617258819e-7,5.667501652723543e-7,5.692111097887204e-7,3.923672286464124e-9,3.114341238975706e-9,5.374069055705372e-9
con/LocallyNameless.Opt/con/18,6.006201689278383e-7,5.994980756062859e-7,6.020861194085655e-7,4.183633639048967e-9,3.291777398063071e-9,5.477759052513879e-9
con/LocallyNameless.Opt/con/19,6.411830497874928e-7,6.373490064180502e-7,6.466846056942735e-7,1.5988732806469634e-8,1.2978934084678763e-8,1.8341299069643537e-8
con/LocallyNameless.Opt/con/20,6.731197185262165e-7,6.724472129810903e-7,6.739214599790923e-7,2.47173391478303e-9,1.9301761860577588e-9,3.2577001038988687e-9
