Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Opt/ids/1,4.647069629112835e-8,4.64010007880811e-8,4.6620339909403215e-8,3.145087838177548e-10,1.7839308449134569e-10,5.375455133470947e-10
ids/LocallyNameless.Opt/ids/2,5.678191107840468e-8,5.668977129915633e-8,5.7006842579655865e-8,4.4618012324038613e-10,1.9336985891115339e-10,8.464163429284748e-10
ids/LocallyNameless.Opt/ids/3,7.044972806413448e-8,6.937014692580477e-8,7.17960223113642e-8,4.024160013273212e-9,3.403182787226334e-9,4.864257212558062e-9
ids/LocallyNameless.Opt/ids/4,9.13312487420097e-8,9.116613638841814e-8,9.162337385345462e-8,7.025367365521021e-10,4.713622536548663e-10,1.2322122005668777e-9
ids/LocallyNameless.Opt/ids/5,1.0041757747141601e-7,9.979906943956622e-8,1.0111392516964101e-7,2.208524417539839e-9,1.8432476693574146e-9,2.708283616986116e-9
ids/LocallyNameless.Opt/ids/6,1.0456228329908097e-7,1.044085583170711e-7,1.0474524890819247e-7,5.489901544184018e-10,4.2175751401034787e-10,8.216316304065336e-10
ids/LocallyNameless.Opt/ids/7,1.231903908689904e-7,1.2252270488898956e-7,1.2386814504889795e-7,2.3811252143523634e-9,1.969907685841226e-9,2.963670080888722e-9
ids/LocallyNameless.Opt/ids/8,1.33711453456752e-7,1.3309852802003072e-7,1.342552585170012e-7,1.9139366510630887e-9,1.5433161946715767e-9,2.4956940671615225e-9
ids/LocallyNameless.Opt/ids/9,1.435234274151604e-7,1.4258509007458465e-7,1.4438642581437693e-7,3.0833911872728965e-9,2.6809521497952002e-9,3.609552755680243e-9
ids/LocallyNameless.Opt/ids/10,1.513468249131219e-7,1.5069325416993252e-7,1.5207531942912657e-7,2.223526407500518e-9,1.8058646988528468e-9,2.9805476424350157e-9
