Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Ott/adjust/1,3.979034141200621e-8,3.963928479577258e-8,4.0066210323710506e-8,6.391618881600032e-10,3.8949800716305135e-10,1.0586696372974329e-9
adjust/LocallyNameless.Ott/adjust/2,1.7808177469894937e-7,1.777266957326498e-7,1.7891198769486508e-7,1.741824106004943e-9,8.714821091278104e-10,3.2603031442084587e-9
adjust/LocallyNameless.Ott/adjust/3,5.018056758327782e-7,4.988921342137676e-7,5.042450416595323e-7,9.009479735510825e-9,7.040898099111054e-9,1.0682761597564713e-8
adjust/LocallyNameless.Ott/adjust/4,1.0738827273515722e-6,1.071106327536286e-6,1.077630848732625e-6,1.1083141291274437e-8,8.320332989594251e-9,1.4627610920998526e-8
adjust/LocallyNameless.Ott/adjust/5,1.838314303404668e-6,1.8338697107032903e-6,1.84614580816831e-6,1.9114885421742263e-8,1.2584205299329302e-8,3.318530663382511e-8
adjust/LocallyNameless.Ott/adjust/6,2.877143312858282e-6,2.867218717761336e-6,2.8953793452431203e-6,4.521609389375619e-8,2.564998928047545e-8,7.568425161387315e-8
adjust/LocallyNameless.Ott/adjust/7,4.1761161901771936e-6,4.170384916588007e-6,4.185264864074709e-6,2.4530353202475492e-8,1.7156036806231267e-8,3.8291520102916405e-8
adjust/LocallyNameless.Ott/adjust/8,5.967176987065908e-6,5.9564565843543525e-6,5.983488105139973e-6,4.421099070323198e-8,3.124652491821758e-8,6.472339054907245e-8
adjust/LocallyNameless.Ott/adjust/9,8.171102208363684e-6,8.16387258890758e-6,8.18556148599062e-6,3.4180815377317143e-8,1.750888472139092e-8,6.380355781178685e-8
adjust/LocallyNameless.Ott/adjust/10,1.0886857335104436e-5,1.086690214175585e-5,1.0907044676604453e-5,6.683226696128296e-8,5.794067895186358e-8,7.487886571035004e-8
adjust/LocallyNameless.Ott/adjust/11,1.4175982156894537e-5,1.4135697564960858e-5,1.422233054294588e-5,1.4210017267066798e-7,1.1188699887037326e-7,1.8273971702614578e-7
adjust/LocallyNameless.Ott/adjust/12,1.786657766326729e-5,1.781534995689586e-5,1.8027542268477316e-5,2.778204320221659e-7,8.367244211421736e-8,5.57829319301751e-7
adjust/LocallyNameless.Ott/adjust/13,2.250184192658147e-5,2.2468618215729598e-5,2.256948150157295e-5,1.6875062105574433e-7,8.264375289461055e-8,3.088478684496191e-7
adjust/LocallyNameless.Ott/adjust/14,2.758461313007337e-5,2.7555528673489507e-5,2.7622197434315198e-5,1.0956141096814482e-7,8.257027523900483e-8,1.591315870167339e-7
adjust/LocallyNameless.Ott/adjust/15,3.322527232140516e-5,3.319900851672028e-5,3.3286697386019754e-5,1.2760299607373948e-7,6.740856470173408e-8,2.456373694252996e-7
adjust/LocallyNameless.Ott/adjust/16,4.008986959121306e-5,4.0025613705539896e-5,4.0183963600743744e-5,2.736671359927692e-7,1.8642591972950305e-7,3.9454318482973166e-7
adjust/LocallyNameless.Ott/adjust/17,4.843422737985318e-5,4.835663384954349e-5,4.855059696888224e-5,3.2639396267503314e-7,2.4837975777489446e-7,4.355391938778689e-7
adjust/LocallyNameless.Ott/adjust/18,5.659021586918831e-5,5.639143663456106e-5,5.702292940618046e-5,9.786800310889797e-7,3.6776865140240036e-7,1.6478827494497225e-6
adjust/LocallyNameless.Ott/adjust/19,6.52659830926908e-5,6.51819592482898e-5,6.543582987656803e-5,3.7214980219317045e-7,2.2744791182359566e-7,6.472395517222936e-7
adjust/LocallyNameless.Ott/adjust/20,7.574763350506765e-5,7.563754346655043e-5,7.591987399985658e-5,4.7058092448400017e-7,3.647572181731273e-7,6.432730302962386e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Ott/adjust/1,5.720393087028867e-8,5.7127898753462324e-8,5.7309627412801856e-8,3.0610953881367934e-10,2.252109783637722e-10,4.1300276299098047e-10
adjust/LocallyNameless.Ott/adjust/2,2.2496006815282976e-7,2.2467372945160087e-7,2.253022123139326e-7,1.042662466466586e-9,8.014961613887666e-10,1.4159267674359374e-9
adjust/LocallyNameless.Ott/adjust/3,6.2592045919719e-7,6.234964361357609e-7,6.367907251336001e-7,1.428775893077193e-8,3.789200848581528e-9,3.1495399519424125e-8
adjust/LocallyNameless.Ott/adjust/4,1.2179295616820498e-6,1.21344849954872e-6,1.2256661147004038e-6,1.8717790231431697e-8,1.1209366628301211e-8,3.247074993137511e-8
adjust/LocallyNameless.Ott/adjust/5,2.0510925255428232e-6,2.044233668216229e-6,2.0704613596517334e-6,3.492717229819826e-8,1.7896083784288138e-8,6.948972008169044e-8
adjust/LocallyNameless.Ott/adjust/6,3.0755906726918238e-6,3.072988808437177e-6,3.082279675009099e-6,1.3143062062527763e-8,6.230067693810663e-9,2.5354525772155134e-8
adjust/LocallyNameless.Ott/adjust/7,4.548357444340908e-6,4.52977908893728e-6,4.579370946598651e-6,7.641188799812554e-8,4.9107994264752764e-8,1.24860579466452e-7
adjust/LocallyNameless.Ott/adjust/8,6.439566570410399e-6,6.426520730864019e-6,6.4583591360870765e-6,5.295518569341554e-8,4.089818725610081e-8,6.851183832938695e-8
adjust/LocallyNameless.Ott/adjust/9,8.752718946911838e-6,8.744002279853813e-6,8.762784187052664e-6,3.216038309605931e-8,2.4904277131736008e-8,4.2061382625336815e-8
adjust/LocallyNameless.Ott/adjust/10,1.1545248295518571e-5,1.1532276781310852e-5,1.157413870614935e-5,5.991494834382162e-8,3.2274512800388014e-8,1.1624109144937525e-7
adjust/LocallyNameless.Ott/adjust/11,1.4940881025915704e-5,1.4917694393518507e-5,1.4979109316917635e-5,9.769248651603634e-8,7.535744436886322e-8,1.2951566209780856e-7
adjust/LocallyNameless.Ott/adjust/12,1.895779745507862e-5,1.893657008390643e-5,1.8993121401722523e-5,9.413686616622633e-8,5.473406777670671e-8,1.4660965989841333e-7
adjust/LocallyNameless.Ott/adjust/13,2.4218624216125265e-5,2.4147740090908016e-5,2.4360570160552066e-5,3.1911124089392935e-7,1.8623604943558753e-7,5.861269261456785e-7
adjust/LocallyNameless.Ott/adjust/14,2.9350975622943157e-5,2.9326807734865786e-5,2.9386486487145757e-5,9.889466306907913e-8,7.261797690537937e-8,1.5161492679644215e-7
adjust/LocallyNameless.Ott/adjust/15,3.5300226609287295e-5,3.527661045496092e-5,3.533514047539383e-5,9.385655660412369e-8,7.456591635898766e-8,1.2911480187081498e-7
adjust/LocallyNameless.Ott/adjust/16,4.1977270324770376e-5,4.192681528503197e-5,4.206391878678635e-5,2.1294636981655437e-7,1.0886947609668099e-7,3.408860619051147e-7
adjust/LocallyNameless.Ott/adjust/17,4.952109003974987e-5,4.947127946523695e-5,4.9582620032318986e-5,1.9365209654719998e-7,1.4521888841642725e-7,2.5242562127510665e-7
adjust/LocallyNameless.Ott/adjust/18,5.92283324667582e-5,5.9163885998738984e-5,5.93315564493377e-5,2.6674146830271454e-7,1.6893406063385072e-7,4.6029941239326956e-7
