Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Ott/capt/1,8.562404559633566e-8,8.551293165049447e-8,8.57913984395887e-8,4.5657500189379124e-10,3.3779448112111576e-10,7.116718829758528e-10
capt/LocallyNameless.Ott/capt/2,1.196351859687304e-7,1.1940944705020556e-7,1.1995828638007316e-7,8.725804871406101e-10,6.30412065828341e-10,1.3187213147752862e-9
capt/LocallyNameless.Ott/capt/3,1.5660363577839735e-7,1.5638712394598104e-7,1.5699955132088163e-7,9.617759460276017e-10,6.181501774956076e-10,1.4462412419187622e-9
capt/LocallyNameless.Ott/capt/4,1.9756790844556786e-7,1.9736374995897598e-7,1.9777183927604672e-7,6.857253713771485e-10,6.241634330666313e-10,7.77859495264098e-10
capt/LocallyNameless.Ott/capt/5,2.435772987231957e-7,2.43161050891919e-7,2.441181452452013e-7,1.6696905530561849e-9,1.2570998509100425e-9,2.2954310367988614e-9
capt/LocallyNameless.Ott/capt/6,2.952328535408052e-7,2.946136770646192e-7,2.9632616987042713e-7,2.688354347283035e-9,1.6412829639981811e-9,4.482891332400344e-9
capt/LocallyNameless.Ott/capt/7,3.4638652409981517e-7,3.4592977132844607e-7,3.4765358497274836e-7,2.2477760120945707e-9,1.558702260457482e-9,3.6199228100490063e-9
capt/LocallyNameless.Ott/capt/8,4.23021684611853e-7,4.2165988791254506e-7,4.25058298974457e-7,5.427661738418248e-9,3.738396459621384e-9,7.803586355125896e-9
capt/LocallyNameless.Ott/capt/9,4.802986767034792e-7,4.797637866141391e-7,4.810730126407404e-7,2.0493288454849815e-9,1.5553400176011582e-9,2.627229800270282e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Ott/capt/1,1.1229682031258605e-7,1.1208109157773978e-7,1.1268372223351878e-7,9.353766747614054e-10,5.705104219619704e-10,1.4997152098850755e-9
capt/LocallyNameless.Ott/capt/2,1.4633932706952282e-7,1.4620625235164162e-7,1.465618709763287e-7,5.642139099192498e-10,4.390928758770126e-10,6.904395391712788e-10
capt/LocallyNameless.Ott/capt/3,1.8595079651082656e-7,1.8569223219541742e-7,1.8645733318665872e-7,1.1282321374401611e-9,8.198542653223748e-10,1.5800953286432931e-9
capt/LocallyNameless.Ott/capt/4,2.2922982169002113e-7,2.2900891762743023e-7,2.2956486789218623e-7,9.121791263180872e-10,6.569120946596289e-10,1.5325567977122705e-9
capt/LocallyNameless.Ott/capt/5,2.776874839039337e-7,2.771597344607348e-7,2.782932551773359e-7,1.9558012948334868e-9,1.5047875293884452e-9,2.604000094670954e-9
capt/LocallyNameless.Ott/capt/6,3.279085249219144e-7,3.2748595918692575e-7,3.2854920893760025e-7,1.6329280508744754e-9,1.1438345220386212e-9,2.294733329679605e-9
capt/LocallyNameless.Ott/capt/7,3.9595887715005735e-7,3.940527490315766e-7,4.0294150522598255e-7,1.0123985260255269e-8,4.041430278714216e-9,1.9947287544548815e-8
capt/LocallyNameless.Ott/capt/8,4.6604179948787083e-7,4.652370765669825e-7,4.6743947099359627e-7,3.507892869817289e-9,1.973228173033124e-9,5.4136561813633546e-9
capt/LocallyNameless.Ott/capt/9,5.477763868622648e-7,5.46870010732983e-7,5.492632274828515e-7,4.046779549449217e-9,2.7770774905417014e-9,6.357019127576825e-9
