Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Par/adjust/1,5.237353352232715e-8,5.2352079188751174e-8,5.241290173763103e-8,9.812466517975757e-11,6.746314550215018e-11,1.4463674598931838e-10
adjust/LocallyNameless.Par/adjust/2,2.6505120994290236e-7,2.644853408229672e-7,2.657002281212687e-7,1.9875111206699215e-9,1.6790153775228916e-9,2.4928470642341575e-9
adjust/LocallyNameless.Par/adjust/3,8.901105389178108e-7,8.839081908949452e-7,8.965242798942466e-7,2.1765641523552073e-8,1.8261882404412314e-8,2.6464972573406713e-8
adjust/LocallyNameless.Par/adjust/4,1.7710184032726184e-6,1.7625198041280408e-6,1.7798046520050494e-6,3.0520950401555215e-8,2.5583699701741484e-8,3.694420144642155e-8
adjust/LocallyNameless.Par/adjust/5,3.1518611475391175e-6,3.1329308575598737e-6,3.1680824781695395e-6,6.116067827399127e-8,4.6027122871746045e-8,8.311911041674233e-8
adjust/LocallyNameless.Par/adjust/6,4.884677508526564e-6,4.858794864741064e-6,4.907465490669848e-6,8.268441043796729e-8,6.687638733756449e-8,1.1024851627638757e-7
adjust/LocallyNameless.Par/adjust/7,6.992207371639136e-6,6.937300115564958e-6,7.044776597267854e-6,1.8047819800334717e-7,1.4626280994068267e-7,2.3095113985038144e-7
adjust/LocallyNameless.Par/adjust/8,9.878281849850472e-6,9.83517912673543e-6,9.924968116738125e-6,1.4590876597699457e-7,1.177944024944405e-7,1.8728887238045368e-7
adjust/LocallyNameless.Par/adjust/9,1.3663780096193202e-5,1.35827428609304e-5,1.3712727081153782e-5,2.1226819264560694e-7,1.4634893024060447e-7,3.2492542726126686e-7
adjust/LocallyNameless.Par/adjust/10,1.7994039842041064e-5,1.7947003917879594e-5,1.805380713322121e-5,1.7725724264126132e-7,1.481690428199825e-7,2.492697698497226e-7
adjust/LocallyNameless.Par/adjust/11,2.2806521236574984e-5,2.2716763548013482e-5,2.2885847310416358e-5,2.888833234465128e-7,2.3733464044273967e-7,3.613767972264797e-7
adjust/LocallyNameless.Par/adjust/12,2.9066713394079964e-5,2.89670407145871e-5,2.9160896641048724e-5,3.2002028692100307e-7,2.592141017829627e-7,4.050839133725805e-7
adjust/LocallyNameless.Par/adjust/13,3.5711018912748494e-5,3.562982217817013e-5,3.579459547631378e-5,2.8974019923475585e-7,2.3303938269890177e-7,3.760382248405974e-7
adjust/LocallyNameless.Par/adjust/14,4.321253573476126e-5,4.310311645347121e-5,4.3328911225023384e-5,3.822435759890721e-7,3.2334640768121596e-7,4.6759472082074156e-7
adjust/LocallyNameless.Par/adjust/15,5.230524005324173e-5,5.2141084054454865e-5,5.246730975182379e-5,5.775266731319367e-7,4.796843699338938e-7,7.011136628341114e-7
adjust/LocallyNameless.Par/adjust/16,6.213067067154405e-5,6.19783040503742e-5,6.229423977393441e-5,5.328146118298432e-7,4.433880479886796e-7,6.491982727026622e-7
adjust/LocallyNameless.Par/adjust/17,7.310312892523788e-5,7.29488267286356e-5,7.323537685411507e-5,4.863245733161409e-7,3.304089960207224e-7,8.06824448985237e-7
adjust/LocallyNameless.Par/adjust/18,8.607844541380428e-5,8.593001420293382e-5,8.62130319302673e-5,4.571089051962615e-7,3.9185907517138954e-7,5.659183330607226e-7
adjust/LocallyNameless.Par/adjust/19,9.924966772245636e-5,9.910245186890635e-5,9.941992855780479e-5,5.463935008407379e-7,4.559841166053224e-7,6.806209873545551e-7
adjust/LocallyNameless.Par/adjust/20,1.145411113498636e-4,1.1427183221495543e-4,1.1471143405055152e-4,7.095045077651893e-7,5.029901166452875e-7,1.1467296895482785e-6
adjust/LocallyNameless.ParOpt/adjust/1,1.0697123065612538e-7,1.0661991785830753e-7,1.0730277355995513e-7,1.2057581728770883e-9,1.0239204727757195e-9,1.5235049793038893e-9
adjust/LocallyNameless.ParOpt/adjust/2,3.1559761025107217e-7,3.146994239777011e-7,3.1647234177989404e-7,2.9252062682184914e-9,2.3750280091831917e-9,3.89284084443983e-9
adjust/LocallyNameless.ParOpt/adjust/3,8.110827674699282e-7,8.06615689529872e-7,8.150615778453574e-7,1.3511998699155225e-8,1.1018017981038172e-8,1.8288034093855776e-8
adjust/LocallyNameless.ParOpt/adjust/4,1.60649552565803e-6,1.5978986332772682e-6,1.6152090650660353e-6,3.054297343418806e-8,2.4485355879445197e-8,3.855486316763208e-8
adjust/LocallyNameless.ParOpt/adjust/5,2.685864280287298e-6,2.6711482843821787e-6,2.6999083070963482e-6,4.804921765395727e-8,4.035210268005986e-8,5.897544330074131e-8
adjust/LocallyNameless.ParOpt/adjust/6,4.145604154455973e-6,4.1285364508058e-6,4.164890251160915e-6,6.361249885392183e-8,4.99880528124292e-8,8.047901514157808e-8
adjust/LocallyNameless.ParOpt/adjust/7,6.094703266133986e-6,6.067399458831465e-6,6.122173353190524e-6,9.08870144163623e-8,7.437456884225798e-8,1.1764096794871695e-7
adjust/LocallyNameless.ParOpt/adjust/8,8.51860795520836e-6,8.48349015611085e-6,8.5458991792548e-6,9.813579819492796e-8,7.96272984670415e-8,1.353235870396395e-7
adjust/LocallyNameless.ParOpt/adjust/9,1.1396234101048031e-5,1.1344918374166613e-5,1.1437970589442245e-5,1.5033608149653527e-7,1.2781996506849852e-7,2.008668659262186e-7
adjust/LocallyNameless.ParOpt/adjust/10,1.4459710765435764e-5,1.4397655856391053e-5,1.4514084758733581e-5,1.8994236537964291e-7,1.5524016505211383e-7,2.400683189451358e-7
adjust/LocallyNameless.ParOpt/adjust/11,1.9061122836463965e-5,1.8989946874521316e-5,1.9117188621350262e-5,2.079415069039622e-7,1.5899708848652755e-7,2.98054127215302e-7
adjust/LocallyNameless.ParOpt/adjust/12,2.382475622263005e-5,2.3733570377058167e-5,2.3902133015167463e-5,2.826225851592391e-7,2.239785856499241e-7,3.6224465424077175e-7
adjust/LocallyNameless.ParOpt/adjust/13,2.9659127237072453e-5,2.9578428343175393e-5,2.9734272085523772e-5,2.7517677633310207e-7,2.3262644038249617e-7,3.318791831578949e-7
adjust/LocallyNameless.ParOpt/adjust/14,3.601961283797727e-5,3.592765944749739e-5,3.611029125931941e-5,2.9620990656728836e-7,2.523569067309063e-7,3.6259789256915003e-7
