Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.ParOpt/adjust/1,1.1360878871272685e-7,1.1350541341797476e-7,1.1374942057779213e-7,3.9688948423580613e-10,3.329423572290913e-10,4.908473108242489e-10
adjust/LocallyNameless.ParOpt/adjust/2,3.1748192014109476e-7,3.171539682606392e-7,3.1795242617994534e-7,1.2764952198270184e-9,8.092753483843328e-10,2.301597365107578e-9
adjust/LocallyNameless.ParOpt/adjust/3,7.34709289453896e-7,7.341033591539796e-7,7.356429907141937e-7,2.508220664744496e-9,1.7742682373700931e-9,3.886873643659391e-9
adjust/LocallyNameless.ParOpt/adjust/4,1.4057570019696741e-6,1.4033702398504098e-6,1.4089488032511966e-6,9.163247335655008e-9,6.6382646506700366e-9,1.3873554351057397e-8
adjust/LocallyNameless.ParOpt/adjust/5,2.3928335028232863e-6,2.3897413191167515e-6,2.399372805634368e-6,1.46602469990595e-8,8.045872913041383e-9,2.615042864352947e-8
adjust/LocallyNameless.ParOpt/adjust/6,3.6320336211662505e-6,3.6299540408569616e-6,3.6369354093267433e-6,1.006664966610839e-8,4.7150411299218155e-9,1.9160715033127184e-8
adjust/LocallyNameless.ParOpt/adjust/7,5.3356707875037555e-6,5.332327573484378e-6,5.3402806666050495e-6,1.374016207403047e-8,1.0374532551332117e-8,1.8444139051207087e-8
adjust/LocallyNameless.ParOpt/adjust/8,7.526089056293712e-6,7.520286007681451e-6,7.5338329483118964e-6,2.2977626417554595e-8,1.7148264030467412e-8,3.5488079171983405e-8
adjust/LocallyNameless.ParOpt/adjust/9,1.018448693439561e-5,1.017545651151873e-5,1.019524416980506e-5,3.372374579454434e-8,2.8330140224241025e-8,4.1755080072458723e-8
adjust/LocallyNameless.ParOpt/adjust/10,1.3374022086340741e-5,1.3362500934150578e-5,1.3389590828402458e-5,4.697472950414811e-8,3.473835418318493e-8,7.068986279707512e-8
adjust/LocallyNameless.ParOpt/adjust/11,1.719972230984492e-5,1.717723449378921e-5,1.7241229418668016e-5,9.812972980397907e-8,6.28129826259232e-8,1.5688578711381551e-7
adjust/LocallyNameless.ParOpt/adjust/12,2.1564819514313363e-5,2.1554162488817327e-5,2.158337457030738e-5,4.606078700125571e-8,2.336329712607991e-8,7.077220362131325e-8
adjust/LocallyNameless.ParOpt/adjust/13,2.7123257321209904e-5,2.7096595411926776e-5,2.7160152375453215e-5,1.0450366095972947e-7,7.890502972010206e-8,1.6054853517035926e-7
adjust/LocallyNameless.ParOpt/adjust/14,3.3349654922244795e-5,3.3321461411949916e-5,3.338918639351184e-5,1.0886826499611628e-7,8.265276125578068e-8,1.9004623670846716e-7
adjust/LocallyNameless.ParOpt/adjust/15,4.020446318562753e-5,4.016586549406647e-5,4.0250410983117536e-5,1.440423757856126e-7,1.2256091443456185e-7,1.734745549513626e-7
adjust/LocallyNameless.ParOpt/adjust/16,4.800960557185209e-5,4.793180401507756e-5,4.813195345460769e-5,3.2578248577120223e-7,2.321276008603388e-7,5.186585541105077e-7
adjust/LocallyNameless.ParOpt/adjust/17,5.6484612378991886e-5,5.641712308311169e-5,5.664649366117122e-5,3.378649247146992e-7,1.7668899808861057e-7,6.578558506814311e-7
adjust/LocallyNameless.ParOpt/adjust/18,6.666396070014985e-5,6.664286008833703e-5,6.669884055542472e-5,8.807945176427694e-8,6.226229446670971e-8,1.447173344160829e-7
adjust/LocallyNameless.ParOpt/adjust/19,7.795261219136717e-5,7.78897493888835e-5,7.803047438066219e-5,2.4565934625304114e-7,1.882572519415603e-7,3.258744946632499e-7
adjust/LocallyNameless.ParOpt/adjust/20,8.962101661430642e-5,8.947288103101735e-5,8.990039576881254e-5,6.418572629526724e-7,4.168198371803828e-7,1.0054273122182864e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.ParOpt/adjust/1,1.4991416572936103e-7,1.497702310522186e-7,1.5015941444169053e-7,6.239706765299561e-10,4.2372660384074635e-10,1.0220269484663917e-9
adjust/LocallyNameless.ParOpt/adjust/2,4.042388561098973e-7,4.032598640596965e-7,4.056560034263992e-7,4.067787518737299e-9,2.8562154952797597e-9,5.955315023689865e-9
adjust/LocallyNameless.ParOpt/adjust/3,9.184683030464735e-7,9.161247224679513e-7,9.218694039614086e-7,9.128781232502815e-9,7.273851853119469e-9,1.1959811811345696e-8
adjust/LocallyNameless.ParOpt/adjust/4,1.666690638670659e-6,1.6634048451258923e-6,1.6771697338837614e-6,1.7246603940952253e-8,5.771105822935422e-9,3.717801206298919e-8
adjust/LocallyNameless.ParOpt/adjust/5,2.7335475557289807e-6,2.724328546770879e-6,2.765917172432782e-6,5.051041826780404e-8,1.4339883765779532e-8,1.1205605463639234e-7
adjust/LocallyNameless.ParOpt/adjust/6,4.056772476244942e-6,4.051188069145471e-6,4.069257855225143e-6,2.7753590900375922e-8,1.651674832514211e-8,5.0176265021803674e-8
adjust/LocallyNameless.ParOpt/adjust/7,5.9516144894833105e-6,5.943756333873426e-6,5.974195224579998e-6,4.163316898007363e-8,1.4354733053014286e-8,8.274094752014606e-8
adjust/LocallyNameless.ParOpt/adjust/8,8.32871727030005e-6,8.312905720788726e-6,8.357237818845978e-6,6.80016045623766e-8,4.6173262021032056e-8,1.0797185306433026e-7
adjust/LocallyNameless.ParOpt/adjust/9,1.1113711167279583e-5,1.109618079023589e-5,1.1144133150816396e-5,7.710313908251825e-8,5.107077010660803e-8,1.0889775840163659e-7
adjust/LocallyNameless.ParOpt/adjust/10,1.4528569778088736e-5,1.4484229121654713e-5,1.465854285494304e-5,2.3171681699668583e-7,1.0023615635984054e-7,4.761742403407173e-7
adjust/LocallyNameless.ParOpt/adjust/11,1.8317516765875077e-5,1.8285363359780207e-5,1.8386613130633453e-5,1.5229359353500883e-7,8.139762294175708e-8,2.704758851807223e-7
adjust/LocallyNameless.ParOpt/adjust/12,2.3401239198269222e-5,2.335498025694877e-5,2.3542107477266825e-5,2.403134795407602e-7,7.12064960663093e-8,4.741164677035455e-7
adjust/LocallyNameless.ParOpt/adjust/13,2.9030424274314284e-5,2.899993758504932e-5,2.9145550042953187e-5,1.612109658889343e-7,6.062225371568507e-8,3.373112019282597e-7
adjust/LocallyNameless.ParOpt/adjust/14,3.503743934490565e-5,3.4981854181868645e-5,3.510845394899317e-5,2.0132800988508412e-7,1.432228179788664e-7,2.7891989310161695e-7
adjust/LocallyNameless.ParOpt/adjust/15,4.224562153217712e-5,4.216731949665606e-5,4.2372997317570915e-5,3.3865776498229853e-7,2.6220048581727103e-7,4.689789284863637e-7
adjust/LocallyNameless.ParOpt/adjust/16,4.992354482925576e-5,4.987341344202331e-5,4.9990045361986635e-5,2.005740657201403e-7,1.5622339951966197e-7,2.642295285782922e-7
adjust/LocallyNameless.ParOpt/adjust/17,5.899137951511299e-5,5.8878696634268495e-5,5.9193285919957815e-5,5.074706492824696e-7,3.100067831085642e-7,8.610492201449569e-7
adjust/LocallyNameless.ParOpt/adjust/18,6.975159233058689e-5,6.958932802404384e-5,6.998596103130108e-5,6.403556702926844e-7,4.5512835440763417e-7,9.619077198474177e-7
adjust/LocallyNameless.ParOpt/adjust/19,8.031615303741153e-5,8.02414382503098e-5,8.043221864871998e-5,3.348886149471934e-7,2.3744748850746063e-7,4.5296582984361583e-7
adjust/LocallyNameless.ParOpt/adjust/20,9.236556424762379e-5,9.22158273653433e-5,9.260212242110428e-5,6.075253024278463e-7,4.097202226055095e-7,8.825904633208287e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.ParOpt/adjust/1,1.464134165681567e-7,1.4610052087356662e-7,1.4683443189525435e-7,1.1849376563951644e-9,8.762566100762536e-10,1.6599786969461556e-9
adjust/LocallyNameless.ParOpt/adjust/2,4.0047817357053385e-7,3.9896760619618085e-7,4.030605202317391e-7,6.409424174491299e-9,3.1373200294935368e-9,1.0412753322243693e-8
adjust/LocallyNameless.ParOpt/adjust/3,8.857621830681114e-7,8.852872007569115e-7,8.86518136410567e-7,1.9846718726595364e-9,1.4020585802116285e-9,2.962619744134794e-9
adjust/LocallyNameless.ParOpt/adjust/4,1.6313052326396916e-6,1.626231752116748e-6,1.6454516539212777e-6,2.5812537953137835e-8,1.1845591410468114e-8,5.1801962290951275e-8
adjust/LocallyNameless.ParOpt/adjust/5,2.810853766809025e-6,2.7641449949684626e-6,2.866506104531508e-6,1.6860481326191328e-7,1.3028023734227327e-7,2.230271100369272e-7
adjust/LocallyNameless.ParOpt/adjust/6,4.004477195835099e-6,3.998470473457046e-6,4.0100804091342085e-6,1.9373527662540016e-8,1.6268591837019602e-8,2.5334604211801532e-8
adjust/LocallyNameless.ParOpt/adjust/7,5.841805311268063e-6,5.834311848162783e-6,5.8522281981413584e-6,3.044301058414484e-8,2.1927187044574565e-8,4.338563584815304e-8
adjust/LocallyNameless.ParOpt/adjust/8,8.181405764739148e-6,8.163285327718388e-6,8.219006795209249e-6,8.912007633239794e-8,6.053842056443709e-8,1.5308458883065806e-7
adjust/LocallyNameless.ParOpt/adjust/9,1.0907537953354349e-5,1.0902711388254744e-5,1.0914123297162516e-5,1.8762957094038425e-8,1.4570137427080623e-8,2.4149703826437466e-8
adjust/LocallyNameless.ParOpt/adjust/10,1.4320744294844892e-5,1.4307698927897909e-5,1.4335278843292648e-5,4.773459988969938e-8,3.92186448021578e-8,6.00896073255593e-8
adjust/LocallyNameless.ParOpt/adjust/11,1.8146375139087036e-5,1.8121152628330854e-5,1.8192367352215048e-5,1.1987886966546472e-7,8.321355605483095e-8,1.8172523081543354e-7
adjust/LocallyNameless.ParOpt/adjust/12,2.2920317981337724e-5,2.290318574394455e-5,2.2943700665360618e-5,7.232202773103332e-8,5.3320199538288906e-8,1.0186200559459347e-7
adjust/LocallyNameless.ParOpt/adjust/13,2.8532946775334263e-5,2.8506906169392193e-5,2.8571276203498645e-5,1.0972132669638084e-7,7.986149237293153e-8,1.7240162983845196e-7
