Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParOpt/capt/1,2.8029840261363685e-7,2.800256452278824e-7,2.8056069525748547e-7,8.825673135808042e-10,7.467398976938354e-10,1.0745534907653321e-9
capt/LocallyNameless.ParOpt/capt/2,3.801114908414841e-7,3.798141059505699e-7,3.806006217891332e-7,1.2554431727939994e-9,8.71500387777319e-10,1.9655270263901343e-9
capt/LocallyNameless.ParOpt/capt/3,5.25394366339976e-7,5.249702369603546e-7,5.259658708059153e-7,1.5935788841312423e-9,1.2717015198451956e-9,2.2077073166771965e-9
capt/LocallyNameless.ParOpt/capt/4,7.094077987118524e-7,7.085059389171766e-7,7.106024449116827e-7,3.4702564365655372e-9,2.7475779938379692e-9,4.9853032455746e-9
capt/LocallyNameless.ParOpt/capt/5,8.609908201946964e-7,8.597725635234002e-7,8.624852689006647e-7,4.673211739972496e-9,3.802591849603942e-9,5.550394900253723e-9
capt/LocallyNameless.ParOpt/capt/6,1.0756531182354528e-6,1.0744990373926659e-6,1.0772187444092629e-6,4.418537420115595e-9,3.670948780695603e-9,5.4088693296680564e-9
capt/LocallyNameless.ParOpt/capt/7,1.2768696432898237e-6,1.2743740470868003e-6,1.2800152256259096e-6,9.24121983334155e-9,6.7183717876969486e-9,1.325585603723337e-8
capt/LocallyNameless.ParOpt/capt/8,1.5040613521164843e-6,1.5016933530295725e-6,1.50845453726908e-6,9.752722933393266e-9,6.535825607714774e-9,1.6460994687486105e-8
capt/LocallyNameless.ParOpt/capt/9,1.7374099010550907e-6,1.7349782106287295e-6,1.7399481752088697e-6,8.66738449319873e-9,7.53858595593585e-9,1.0088507242334755e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParOpt/capt/1,3.7462052153654215e-7,3.7430218614266046e-7,3.751521631779837e-7,1.3264948802686098e-9,8.03408794224807e-10,2.406950274657769e-9
capt/LocallyNameless.ParOpt/capt/2,4.757294663048496e-7,4.7439704175174865e-7,4.773103821575816e-7,4.688380408108866e-9,3.943348869392045e-9,5.966267477613928e-9
capt/LocallyNameless.ParOpt/capt/3,6.425436032051802e-7,6.419942957189919e-7,6.435566328268747e-7,2.4135624151799107e-9,1.5442715523567407e-9,3.8360026362853905e-9
capt/LocallyNameless.ParOpt/capt/4,8.265416416707693e-7,8.258552949242431e-7,8.27554510198724e-7,3.1603509744320645e-9,2.0089330825171454e-9,5.4802175947316155e-9
capt/LocallyNameless.ParOpt/capt/5,1.035061012245299e-6,1.033240109616227e-6,1.037394175213368e-6,6.9792031532305045e-9,5.6550751851832886e-9,8.847620487291042e-9
capt/LocallyNameless.ParOpt/capt/6,1.2652911564646396e-6,1.2626363345838707e-6,1.2699364510966038e-6,1.2391780777937166e-8,7.525848967382155e-9,2.0675273336907877e-8
capt/LocallyNameless.ParOpt/capt/7,1.4767106520288818e-6,1.475253078454349e-6,1.4795586437412673e-6,6.6633793049644866e-9,4.290502890951381e-9,1.2074476263148914e-8
capt/LocallyNameless.ParOpt/capt/8,1.705027372561138e-6,1.7020373584565058e-6,1.7083783471303096e-6,1.102619227806667e-8,9.298563612870117e-9,1.3194590636992846e-8
capt/LocallyNameless.ParOpt/capt/9,1.9968938785205614e-6,1.9951764017043518e-6,2.0007453946088175e-6,8.108678562434345e-9,3.6468133897096552e-9,1.5979719355010114e-8
