Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.ParOpt/con/1,8.328658463913494e-8,8.318219192690542e-8,8.350216268300149e-8,4.672681633954515e-10,2.8885149937170597e-10,8.11549909614179e-10
con/LocallyNameless.ParOpt/con/2,1.430334723551726e-7,1.4281278981430952e-7,1.4336721566758007e-7,9.283948060425742e-10,6.801047334506013e-10,1.2320551561892305e-9
con/LocallyNameless.ParOpt/con/3,2.2752307415443946e-7,2.2727943781125896e-7,2.2778809838222292e-7,8.865492001628073e-10,7.078113381469342e-10,1.1661856376975954e-9
con/LocallyNameless.ParOpt/con/4,3.166115147007423e-7,3.161270853285086e-7,3.1728445171794046e-7,1.8872445333910264e-9,1.4063179715628205e-9,2.6010497368224075e-9
con/LocallyNameless.ParOpt/con/5,4.7069017937719844e-7,4.6784646205466123e-7,4.764637041209471e-7,1.271740671207794e-8,7.707526454829589e-9,2.213960405564334e-8
con/LocallyNameless.ParOpt/con/6,6.509195609316739e-7,6.473835821729942e-7,6.549293362361862e-7,1.2137703073112892e-8,9.478701633960761e-9,1.576993651746248e-8
con/LocallyNameless.ParOpt/con/7,7.899158231450918e-7,7.858981743346414e-7,7.946437306029181e-7,1.431028219660985e-8,1.1814002522654048e-8,1.9592686915874443e-8
con/LocallyNameless.ParOpt/con/8,9.572475478646272e-7,9.523066934909277e-7,9.633970031491036e-7,1.8019995758448677e-8,1.4619456567626378e-8,2.5812949345682085e-8
con/LocallyNameless.ParOpt/con/9,1.161768054273984e-6,1.155867971920152e-6,1.1705217359405327e-6,2.475908845955485e-8,1.6324377022773433e-8,3.5810176842590826e-8
con/LocallyNameless.ParOpt/con/10,1.3736832389357296e-6,1.3660829492973622e-6,1.3851437556388033e-6,3.096990030034741e-8,2.0438986533815593e-8,4.683603358425335e-8
con/LocallyNameless.ParOpt/con/11,1.567709197534192e-6,1.5645016517654274e-6,1.5725112832028497e-6,1.270576746265956e-8,8.532007613639878e-9,1.945538199781692e-8
con/LocallyNameless.ParOpt/con/12,1.8196027092336092e-6,1.8170842756197257e-6,1.8222433428937847e-6,8.614036346786161e-9,7.043276929988515e-9,1.1545543086326572e-8
con/LocallyNameless.ParOpt/con/13,2.126154256416058e-6,2.1192473652701376e-6,2.133395107771422e-6,2.6135005920885138e-8,2.2558172396686518e-8,3.076094161028289e-8
con/LocallyNameless.ParOpt/con/14,2.38955107548696e-6,2.3848933608524195e-6,2.3957148647479897e-6,1.7599019990615362e-8,1.2892847599239518e-8,2.512116172265792e-8
con/LocallyNameless.ParOpt/con/15,2.634627806409767e-6,2.630192769160455e-6,2.640050721148409e-6,1.6502572488580153e-8,1.3273388532534903e-8,2.0043288213683528e-8
con/LocallyNameless.ParOpt/con/16,2.9878823655362283e-6,2.9780452250316783e-6,3.000009896332583e-6,3.539060414218398e-8,2.7443057435879152e-8,4.570361706784385e-8
con/LocallyNameless.ParOpt/con/17,3.355662670911742e-6,3.3487787262574177e-6,3.364649560394051e-6,2.5348470916083732e-8,1.916543158768323e-8,3.377253129748706e-8
con/LocallyNameless.ParOpt/con/18,3.7072343940435298e-6,3.7022539970223456e-6,3.71240786046243e-6,1.6544500727216947e-8,1.4312332065077714e-8,1.9693677492147448e-8
con/LocallyNameless.ParOpt/con/19,4.201527037503298e-6,4.191020417931231e-6,4.2159146244394325e-6,3.868898278267465e-8,2.8288730665314204e-8,5.101442226652746e-8
con/LocallyNameless.ParOpt/con/20,4.595318150112644e-6,4.587386475218862e-6,4.60789240980785e-6,3.488434020561189e-8,2.449376501148345e-8,4.985436627097624e-8
