Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParOpt/ids/1,8.341413135768859e-8,8.327592012936426e-8,8.359833760315033e-8,5.270922251812947e-10,3.8086032021462084e-10,7.514877346551528e-10
ids/LocallyNameless.ParOpt/ids/2,1.2240259660203495e-7,1.221414002738609e-7,1.2273901026336246e-7,9.83534659962248e-10,7.872512246661146e-10,1.4662469743000533e-9
ids/LocallyNameless.ParOpt/ids/3,1.5552186835931488e-7,1.551520803963487e-7,1.5618323893793004e-7,1.61651688083937e-9,1.1137144928078036e-9,2.618525759091628e-9
ids/LocallyNameless.ParOpt/ids/4,1.8017957190507434e-7,1.789288068965683e-7,1.8121696661043548e-7,3.782519653946976e-9,3.5851426765109735e-9,4.005971283570302e-9
ids/LocallyNameless.ParOpt/ids/5,2.088873610320749e-7,2.085275083841993e-7,2.0929812317684774e-7,1.3156254878044665e-9,1.085805856463146e-9,1.7016115654652e-9
ids/LocallyNameless.ParOpt/ids/6,2.3517666307913748e-7,2.3411701309557684e-7,2.3641992720276295e-7,3.752770886945385e-9,3.2462912757122356e-9,4.5035685510378295e-9
ids/LocallyNameless.ParOpt/ids/7,2.5948260560537023e-7,2.5902190711595313e-7,2.60494220331064e-7,2.276339805762324e-9,1.0378688359362137e-9,4.343518385900197e-9
ids/LocallyNameless.ParOpt/ids/8,2.9028677042223224e-7,2.8929781717808677e-7,2.9122116547245933e-7,3.0729824606934326e-9,2.563822375833412e-9,3.827560608110268e-9
ids/LocallyNameless.ParOpt/ids/9,3.1832506127450813e-7,3.1732995312744223e-7,3.2059661268605936e-7,4.50599403919798e-9,2.7568850129851657e-9,7.261432421555367e-9
ids/LocallyNameless.ParOpt/ids/10,3.411533969620482e-7,3.3977922717416643e-7,3.44416714154894e-7,6.703523255874254e-9,4.123656880363438e-9,1.100569650588862e-8
