Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParScoped/capt/1,1.7112067662953895e-7,1.7100589874439602e-7,1.713062809428237e-7,5.077694834297843e-10,3.426421477874432e-10,8.609003385712898e-10
capt/LocallyNameless.ParScoped/capt/2,2.4239994766204124e-7,2.422480562300219e-7,2.42622564111835e-7,5.9019109057454e-10,4.734464376476455e-10,8.51577785256219e-10
capt/LocallyNameless.ParScoped/capt/3,3.6281975336856375e-7,3.605012872828431e-7,3.66944599572704e-7,9.960394490218652e-9,6.118075661285764e-9,1.4173826715146578e-8
capt/LocallyNameless.ParScoped/capt/4,4.4501469593205925e-7,4.4408971042962396e-7,4.4638760328509456e-7,4.009573024837356e-9,2.5813253807436593e-9,6.164429579254128e-9
capt/LocallyNameless.ParScoped/capt/5,6.872118972405608e-7,6.814978802619355e-7,6.939564314720099e-7,1.9867540314809796e-8,1.6878913889910808e-8,2.348048062274602e-8
capt/LocallyNameless.ParScoped/capt/6,8.067000779260492e-7,7.965390021204403e-7,8.143686992750099e-7,2.9802494843325514e-8,2.3948489583914736e-8,3.835953989096517e-8
capt/LocallyNameless.ParScoped/capt/7,9.075655736187531e-7,8.92327883121035e-7,9.199100797494821e-7,4.6419348655426854e-8,3.885466688113606e-8,5.483484605865491e-8
capt/LocallyNameless.ParScoped/capt/8,1.0529054722165802e-6,1.0474027533407142e-6,1.058392612524621e-6,1.873451575488819e-8,1.4864768332802494e-8,2.526483269754269e-8
capt/LocallyNameless.ParScoped/capt/9,1.1750285303294017e-6,1.1654301679808887e-6,1.1842246237143773e-6,3.3054729361789434e-8,2.7849740421250767e-8,4.033383032292391e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.ParScoped/capt/1,2.0349040235728936e-7,2.031447032111472e-7,2.039547924589893e-7,1.3833354404161749e-9,1.1337522198168909e-9,1.8892741091340767e-9
capt/LocallyNameless.ParScoped/capt/2,2.857606250426836e-7,2.8479755942025407e-7,2.86754135572206e-7,3.3415633233337878e-9,2.9518584801952606e-9,3.854158284579654e-9
capt/LocallyNameless.ParScoped/capt/3,3.987957251062145e-7,3.9759884889471573e-7,4.0097818874309637e-7,5.100977243424304e-9,3.013309736626873e-9,7.77876469214605e-9
capt/LocallyNameless.ParScoped/capt/4,5.010703013545116e-7,5.003352336650637e-7,5.022449609105458e-7,2.9894119424236238e-9,1.670706777861071e-9,4.664500504509775e-9
capt/LocallyNameless.ParScoped/capt/5,6.100223289375526e-7,6.089067764917386e-7,6.123135874252336e-7,5.024949098990726e-9,3.3106416517758904e-9,7.582986254623628e-9
capt/LocallyNameless.ParScoped/capt/6,7.389249642999108e-7,7.379527982307465e-7,7.401119809154749e-7,3.446651880001175e-9,2.6765258302386704e-9,4.3649240821235826e-9
capt/LocallyNameless.ParScoped/capt/7,8.6101357244791e-7,8.597598072971404e-7,8.623513769673213e-7,4.420699066190412e-9,3.6576809255524913e-9,6.020702181534595e-9
capt/LocallyNameless.ParScoped/capt/8,1.0067175016035138e-6,1.0054263690931982e-6,1.0089906364621248e-6,5.6025343692026276e-9,3.922618734209307e-9,9.065623070499052e-9
capt/LocallyNameless.ParScoped/capt/9,1.130486781863223e-6,1.1279341631992867e-6,1.1417519012689399e-6,1.467175884672971e-8,5.0928315311444094e-9,3.1538968794760716e-8
