Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParScoped/ids/1,4.312679506273415e-8,4.308326942036841e-8,4.320274259543825e-8,1.8382032808360436e-10,1.1428322394896652e-10,3.179741554707726e-10
ids/LocallyNameless.ParScoped/ids/2,5.3730004790247964e-8,5.368815276143045e-8,5.3799714283846094e-8,1.7348505383436945e-10,1.226155029799135e-10,2.42432124267291e-10
ids/LocallyNameless.ParScoped/ids/3,6.390338495533321e-8,6.382643872065603e-8,6.401371270553484e-8,3.1357996475756863e-10,2.295042891707151e-10,4.2364215387445506e-10
ids/LocallyNameless.ParScoped/ids/4,8.197791562339771e-8,8.189006120786429e-8,8.20601414098435e-8,2.752417297233832e-10,2.2310651246705752e-10,3.560974829917949e-10
ids/LocallyNameless.ParScoped/ids/5,8.830368419528138e-8,8.819546459491082e-8,8.853865106960398e-8,5.431233391914155e-10,2.7238690000294784e-10,9.441045903675152e-10
ids/LocallyNameless.ParScoped/ids/6,9.83437103782427e-8,9.813742056928681e-8,9.87999283344225e-8,1.01113627124495e-9,4.2892802495308053e-10,1.787590954275557e-9
ids/LocallyNameless.ParScoped/ids/7,1.0683012116255358e-7,1.0670317048049839e-7,1.0701225420645238e-7,4.903934533732093e-10,3.80406285116751e-10,7.176767691161353e-10
ids/LocallyNameless.ParScoped/ids/8,1.1724961522643573e-7,1.1714303189726589e-7,1.1745480214045335e-7,4.574461744360119e-10,2.669869569063533e-10,8.115856833732693e-10
ids/LocallyNameless.ParScoped/ids/9,1.2611301772508783e-7,1.259928658614444e-7,1.2623677427226076e-7,4.123115388431272e-10,3.2658910600980725e-10,5.570820133476634e-10
ids/LocallyNameless.ParScoped/ids/10,1.360296112516587e-7,1.358183197171898e-7,1.3633594760748674e-7,8.634513410041893e-10,6.430673131529086e-10,1.1752525530157486e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.ParScoped/ids/1,5.7333377515667695e-8,5.7238883167704596e-8,5.751515269465555e-8,4.3206680106429933e-10,2.0218452328916024e-10,6.798772269635527e-10
ids/LocallyNameless.ParScoped/ids/2,7.43915600531644e-8,7.429359272483036e-8,7.457642690546536e-8,4.3428819930496847e-10,2.577547140540268e-10,7.547075922267987e-10
ids/LocallyNameless.ParScoped/ids/3,9.082160179314667e-8,9.061361917359161e-8,9.112599559751738e-8,8.249818573888936e-10,5.561362594251734e-10,1.2718687778743814e-9
ids/LocallyNameless.ParScoped/ids/4,1.1713860835735563e-7,1.1687129023273044e-7,1.1813308006893168e-7,1.4539613517167168e-9,4.770324187886254e-10,2.8841495776158256e-9
ids/LocallyNameless.ParScoped/ids/5,1.3052686044005668e-7,1.3008666228828648e-7,1.312260204055889e-7,1.8887139580241385e-9,1.3090508497069903e-9,2.4744061191369115e-9
ids/LocallyNameless.ParScoped/ids/6,1.4572708176545695e-7,1.455192490942684e-7,1.460906592780767e-7,8.681243590222877e-10,5.952927728809158e-10,1.244314027909808e-9
ids/LocallyNameless.ParScoped/ids/7,1.686080023351112e-7,1.6848820763073883e-7,1.6873739317075555e-7,4.254164816131512e-10,3.589953419480548e-10,5.297687172848787e-10
ids/LocallyNameless.ParScoped/ids/8,1.8027800126953163e-7,1.8005973889651165e-7,1.8066894238880047e-7,9.950912713420906e-10,5.520454455225869e-10,1.7071451307942078e-9
ids/LocallyNameless.ParScoped/ids/9,1.9638008491566983e-7,1.9605695138110903e-7,1.9686735175783798e-7,1.3367771929821707e-9,1.0606936664043542e-9,1.7339660565312094e-9
ids/LocallyNameless.ParScoped/ids/10,2.1753334999440965e-7,2.1688035369700235e-7,2.1888404514968956e-7,3.1657124076988915e-9,1.5702530593784774e-9,6.729169541481453e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
