Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Typed/adjust/1,5.592781650908002e-8,5.5887349383858985e-8,5.598092594890203e-8,1.5413589374605544e-10,1.2397319393636627e-10,1.9309434420090085e-10
adjust/LocallyNameless.Typed/adjust/2,2.4918923363591146e-7,2.489835616688686e-7,2.4945778667933676e-7,7.660906443978335e-10,5.976157488580591e-10,1.0916972538725625e-9
adjust/LocallyNameless.Typed/adjust/3,6.744593080859691e-7,6.740052642240502e-7,6.750280752881215e-7,1.6399834222904616e-9,1.3241676413423981e-9,2.0407207777853026e-9
adjust/LocallyNameless.Typed/adjust/4,1.3802681608974001e-6,1.379150158267059e-6,1.381583278809035e-6,4.24472144359524e-9,3.471308898074763e-9,5.335496517513679e-9
adjust/LocallyNameless.Typed/adjust/5,2.339414353472034e-6,2.3379327117786366e-6,2.341358287995823e-6,5.705853845292458e-9,4.510774579833791e-9,7.048029344527302e-9
adjust/LocallyNameless.Typed/adjust/6,3.631753647626459e-6,3.627661920736646e-6,3.638729614466206e-6,1.7356624693693005e-8,1.1367512458754738e-8,2.8566491584910095e-8
adjust/LocallyNameless.Typed/adjust/7,5.367775939918204e-6,5.364060795033676e-6,5.371642631507473e-6,1.3125280091836048e-8,9.727103349266902e-9,1.7207208368703555e-8
adjust/LocallyNameless.Typed/adjust/8,7.658468332237535e-6,7.652930418440476e-6,7.668197152200264e-6,2.2516963793741546e-8,1.4743605937362841e-8,3.780046503544907e-8
adjust/LocallyNameless.Typed/adjust/9,1.0552619671159805e-5,1.054588966732466e-5,1.0562698727615368e-5,2.7359321908905498e-8,1.8406680130394612e-8,4.4613270225258755e-8
adjust/LocallyNameless.Typed/adjust/10,1.3874531279785881e-5,1.3867549118468115e-5,1.3886534814492741e-5,3.026065510614359e-8,1.9582601212406468e-8,4.7021087552536485e-8
adjust/LocallyNameless.Typed/adjust/11,1.749758476235145e-5,1.749022251394985e-5,1.750644522542994e-5,2.632094356370834e-8,2.1230360720624534e-8,3.590198861585422e-8
adjust/LocallyNameless.Typed/adjust/12,2.257529078545305e-5,2.256032774207093e-5,2.2598572088641165e-5,5.73232753819257e-8,3.7953093825729555e-8,8.326025108873862e-8
adjust/LocallyNameless.Typed/adjust/13,2.8498471317725388e-5,2.8483430797801232e-5,2.8517555203666016e-5,5.526634028575563e-8,4.400965252626148e-8,7.695607599728305e-8
adjust/LocallyNameless.Typed/adjust/14,3.442605223042003e-5,3.440207276605227e-5,3.446056367682264e-5,9.283057570224552e-8,6.750732636762517e-8,1.2437547847831232e-7
adjust/LocallyNameless.Typed/adjust/15,4.135634360311218e-5,4.133167503908739e-5,4.138690814120694e-5,8.995136444614086e-8,6.982085346763622e-8,1.1027738835245423e-7
adjust/LocallyNameless.Typed/adjust/16,4.948533769273776e-5,4.9463275645961904e-5,4.9513605323766194e-5,8.351895321430259e-8,6.363852517516258e-8,1.0880687321977706e-7
