Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.TypedOpt/adjustb/1,1.290994029668239e-7,1.2892654136999972e-7,1.2955344895934216e-7,8.629619065411815e-10,5.037508763837413e-10,1.5586410126337845e-9
adjustb/LocallyNameless.TypedOpt/adjustb/2,3.714946896210639e-7,3.605402034961169e-7,3.848087401079782e-7,4.047538101678717e-8,3.4134951949370523e-8,4.424761077314803e-8
adjustb/LocallyNameless.TypedOpt/adjustb/3,8.192981734422817e-7,8.174310574183216e-7,8.219701141623482e-7,7.103482961198059e-9,5.219537077932443e-9,9.599079473048521e-9
adjustb/LocallyNameless.TypedOpt/adjustb/4,1.4242035807598632e-6,1.4206994740452013e-6,1.4287971419697823e-6,1.3921123540766122e-8,1.044295043099956e-8,1.8749109488100224e-8
adjustb/LocallyNameless.TypedOpt/adjustb/5,2.117006324213824e-6,2.111504464024595e-6,2.1234392776695397e-6,2.049028164322233e-8,1.5049287034137052e-8,3.104688369159442e-8
adjustb/LocallyNameless.TypedOpt/adjustb/6,2.5550335064860325e-6,2.480693399460652e-6,2.652645556459271e-6,2.932756334714476e-7,2.537286239428218e-7,3.1934238882362697e-7
adjustb/LocallyNameless.TypedOpt/adjustb/7,3.2415938657000563e-6,3.2387054023752842e-6,3.2454819051793393e-6,1.0850325808574414e-8,9.12838934228587e-9,1.2712379089694522e-8
adjustb/LocallyNameless.TypedOpt/adjustb/8,4.401958011062457e-6,4.393569956316072e-6,4.41366321773846e-6,3.5779745882694194e-8,2.760589062281954e-8,5.0572607386410133e-8
adjustb/LocallyNameless.TypedOpt/adjustb/9,5.736005860847931e-6,5.726928623784697e-6,5.74754540981151e-6,3.481902102648651e-8,2.7038047491374383e-8,4.936080777986874e-8
adjustb/LocallyNameless.TypedOpt/adjustb/10,7.367380392678665e-6,7.3532159448405984e-6,7.387787672198292e-6,5.621480661445819e-8,4.3620184357840856e-8,8.525411604981619e-8
adjustb/LocallyNameless.TypedOpt/adjustb/11,9.107907343991634e-6,9.089589067451924e-6,9.131030514062002e-6,7.322054385903681e-8,6.095788132245753e-8,9.120735535807372e-8
adjustb/LocallyNameless.TypedOpt/adjustb/12,1.0957821447246758e-5,1.0943134309964855e-5,1.0976459220966166e-5,5.534331542665938e-8,4.0131103850579395e-8,7.149917124823293e-8
adjustb/LocallyNameless.TypedOpt/adjustb/13,1.2992824304757429e-5,1.2977803363033989e-5,1.3014683999864468e-5,5.96859573628523e-8,4.74459902818628e-8,8.702000126924693e-8
adjustb/LocallyNameless.TypedOpt/adjustb/14,1.5492338159958243e-5,1.5464459323427173e-5,1.553330593681228e-5,1.1670453910203161e-7,8.552260384190434e-8,1.8970496998771682e-7
adjustb/LocallyNameless.TypedOpt/adjustb/15,1.8158152809314245e-5,1.8126388961220206e-5,1.8201684617277644e-5,1.1797218595375213e-7,9.055524187930639e-8,1.6008825102155133e-7
adjustb/LocallyNameless.TypedOpt/adjustb/16,2.0988595926083294e-5,2.0952826814494788e-5,2.1047527304223693e-5,1.4659670768133085e-7,1.124199059335562e-7,1.9662171331414818e-7
adjustb/LocallyNameless.TypedOpt/adjustb/17,2.441920068656632e-5,2.4364172175697144e-5,2.448846292803089e-5,2.058976035476475e-7,1.5721053250830994e-7,2.9138521626856945e-7
adjustb/LocallyNameless.TypedOpt/adjustb/18,2.7677220953299757e-5,2.7648834444604743e-5,2.7719702448171858e-5,1.1584932460580509e-7,7.28236674556991e-8,1.958289185027161e-7
adjustb/LocallyNameless.TypedOpt/adjustb/19,3.1784821093583634e-5,3.1742619348724015e-5,3.183317091414253e-5,1.566477861738071e-7,1.2057871740576294e-7,2.155827868909216e-7
adjustb/LocallyNameless.TypedOpt/adjustb/20,3.632102751311566e-5,3.6260398726172165e-5,3.641774730418613e-5,2.5669942579972816e-7,2.0534402232178267e-7,3.5428668063252816e-7
