Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOpt/capt/1,1.1313814708080629e-7,1.1304294820656799e-7,1.132786502716e-7,3.7967331230758664e-10,2.697939602131836e-10,5.141692902127413e-10
capt/LocallyNameless.TypedOpt/capt/2,1.4860195995894641e-7,1.474561428259046e-7,1.509596713030617e-7,5.1353426933036654e-9,2.948867116722509e-9,8.050501773614304e-9
capt/LocallyNameless.TypedOpt/capt/3,1.7777269309808762e-7,1.774231663556797e-7,1.786842287872301e-7,1.81778609080427e-9,7.136059772723166e-10,3.4895920566470687e-9
capt/LocallyNameless.TypedOpt/capt/4,2.1289724830363874e-7,2.1233702858299406e-7,2.1428213848437543e-7,2.6711631849788388e-9,1.331122623914933e-9,4.990009276385391e-9
capt/LocallyNameless.TypedOpt/capt/5,2.4551516689576215e-7,2.45299239460246e-7,2.458137687255991e-7,8.568668694332418e-10,6.77915828513229e-10,1.2079043139464796e-9
capt/LocallyNameless.TypedOpt/capt/6,2.8593882501131636e-7,2.855953270737925e-7,2.864528450833777e-7,1.4070732625914417e-9,9.29080315155109e-10,2.1621756287017117e-9
capt/LocallyNameless.TypedOpt/capt/7,3.233235475555853e-7,3.229666080079494e-7,3.2373720538330034e-7,1.2635740877208984e-9,1.075487857912175e-9,1.5049962182028124e-9
capt/LocallyNameless.TypedOpt/capt/8,3.632572123286544e-7,3.6292395829911056e-7,3.6377298178823874e-7,1.327057260279584e-9,9.177712416420938e-10,2.17178208909264e-9
capt/LocallyNameless.TypedOpt/capt/9,3.99888500646634e-7,3.9954951998912596e-7,4.003503821290115e-7,1.3872800449144057e-9,1.1254617712243783e-9,1.7877498622712727e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOpt/capt/1,1.1176364874853585e-7,1.1156719180101554e-7,1.1201939024496998e-7,7.349293364777867e-10,5.169916442447222e-10,1.0261750484038145e-9
capt/LocallyNameless.TypedOpt/capt/2,1.4432190152904643e-7,1.4400142260307863e-7,1.449178531390483e-7,1.4444720376485574e-9,8.915734760004323e-10,2.331946472884129e-9
capt/LocallyNameless.TypedOpt/capt/3,1.872347100307965e-7,1.8676840253903972e-7,1.8786358787578646e-7,1.8198443117334945e-9,1.3642067555037808e-9,2.340592487181665e-9
capt/LocallyNameless.TypedOpt/capt/4,2.1764255306254436e-7,2.169592104204894e-7,2.1878687609825433e-7,2.9144912719353214e-9,2.1991379901827265e-9,3.917087622308283e-9
capt/LocallyNameless.TypedOpt/capt/5,2.4759534396571525e-7,2.473814992471782e-7,2.4790029158232794e-7,8.602996907231437e-10,6.74426319388607e-10,1.2029730469846646e-9
capt/LocallyNameless.TypedOpt/capt/6,2.914714317137731e-7,2.9080233931100636e-7,2.9245879272992087e-7,2.8707782546741654e-9,2.2658235863700763e-9,3.727076632701688e-9
capt/LocallyNameless.TypedOpt/capt/7,3.2380266457701224e-7,3.2332057234465127e-7,3.2446469364312174e-7,1.8552844047807331e-9,1.4517272291023707e-9,2.4077725066678097e-9
capt/LocallyNameless.TypedOpt/capt/8,3.9819008616674547e-7,3.9717389069808345e-7,3.9958685080267055e-7,3.886016559371355e-9,2.8921813914362854e-9,5.262922609822179e-9
capt/LocallyNameless.TypedOpt/capt/9,4.4531038398879764e-7,4.439976721533065e-7,4.4701469482404385e-7,5.254932250673764e-9,4.238602720433639e-9,7.390465742917764e-9
