Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOpt/ids/1,4.959631058541769e-8,4.9470433465980804e-8,4.9794143650081784e-8,5.139708988720071e-10,3.430412714675289e-10,8.158351411645891e-10
ids/LocallyNameless.TypedOpt/ids/2,6.190792144899456e-8,6.185517169604188e-8,6.200604226455727e-8,2.3211478306493742e-10,1.5491613914482934e-10,3.7803107607571253e-10
ids/LocallyNameless.TypedOpt/ids/3,7.265338280239413e-8,7.255074678961872e-8,7.285364904030127e-8,4.4738812734294045e-10,2.637459200859691e-10,8.126362425537289e-10
ids/LocallyNameless.TypedOpt/ids/4,9.548156449173908e-8,9.539347001924265e-8,9.566787333892783e-8,4.1828601493643023e-10,2.5275553197329364e-10,7.256456432671514e-10
ids/LocallyNameless.TypedOpt/ids/5,1.0068543544759806e-7,1.0060086849443539e-7,1.0075703334776994e-7,2.7558703463351375e-10,2.0715874711685644e-10,3.7486267319758933e-10
ids/LocallyNameless.TypedOpt/ids/6,1.1142156044296673e-7,1.1128078141204012e-7,1.116978222592284e-7,6.310023782912297e-10,3.840588072110455e-10,1.019720660533265e-9
ids/LocallyNameless.TypedOpt/ids/7,1.2289888886661713e-7,1.2251268420711462e-7,1.2374082890853644e-7,1.8030363245733411e-9,1.14232634473962e-9,3.1059614653721077e-9
ids/LocallyNameless.TypedOpt/ids/8,1.3318320785197262e-7,1.329676973513114e-7,1.335475673822267e-7,9.529898389776756e-10,5.812714492004235e-10,1.494045981447894e-9
ids/LocallyNameless.TypedOpt/ids/9,1.4464741547168592e-7,1.4446504013837874e-7,1.4488032410324609e-7,7.117467410634438e-10,5.060630641066277e-10,1.0215816584403992e-9
ids/LocallyNameless.TypedOpt/ids/10,1.5841327969161604e-7,1.5762258170295722e-7,1.607204900857058e-7,4.087585361509153e-9,2.1020127420247525e-9,7.946728609509284e-9
