Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.TypedOtt/adjustb/1,1.520641606530743e-7,1.5183202311936342e-7,1.5244421241942966e-7,9.70109150475441e-10,6.242497922156524e-10,1.534860539284207e-9
adjustb/LocallyNameless.TypedOtt/adjustb/2,5.240909295953104e-7,5.234436178407964e-7,5.250475125049204e-7,2.678013155570203e-9,2.2257694827255225e-9,3.778402904616793e-9
adjustb/LocallyNameless.TypedOtt/adjustb/3,1.115811722979159e-6,1.1142017345606105e-6,1.1177843240269437e-6,5.93849898592384e-9,4.479742814801774e-9,8.201031802846471e-9
adjustb/LocallyNameless.TypedOtt/adjustb/4,2.0801589127164277e-6,2.0774551152398293e-6,2.085400195306655e-6,1.257407295959729e-8,6.4838951536001655e-9,2.3402251672492912e-8
adjustb/LocallyNameless.TypedOtt/adjustb/5,3.481838310833034e-6,3.4775051771083548e-6,3.4873814979249638e-6,1.6706068097091055e-8,1.3651084400998789e-8,2.14312633233502e-8
adjustb/LocallyNameless.TypedOtt/adjustb/6,5.307862634391816e-6,5.296972905750208e-6,5.32963025365608e-6,5.048996357341895e-8,2.985195567021173e-8,7.895498303466157e-8
adjustb/LocallyNameless.TypedOtt/adjustb/7,7.475676766938619e-6,7.471598557873156e-6,7.481863351668501e-6,1.8438753289498088e-8,1.377820799580342e-8,2.886187941544783e-8
adjustb/LocallyNameless.TypedOtt/adjustb/8,1.0129953696738217e-5,1.0114057840438514e-5,1.0151796356788476e-5,6.264356534822659e-8,4.8087218143601554e-8,8.146267630822785e-8
adjustb/LocallyNameless.TypedOtt/adjustb/9,1.339099750394061e-5,1.3374109116540938e-5,1.3414387703769675e-5,6.4613194629659e-8,4.841309728445829e-8,9.048668233527932e-8
adjustb/LocallyNameless.TypedOtt/adjustb/10,1.697266531195326e-5,1.6960445373574223e-5,1.6988773800303175e-5,4.3506705144858915e-8,3.5170624042032995e-8,5.533745294910681e-8
adjustb/LocallyNameless.TypedOtt/adjustb/11,2.147788265251352e-5,2.1428256466708004e-5,2.1538512880991528e-5,1.812331942224077e-7,1.348289080292622e-7,2.4045359308696024e-7
adjustb/LocallyNameless.TypedOtt/adjustb/12,2.6592481912415127e-5,2.6555622540003552e-5,2.6661183003866517e-5,1.694036325789614e-7,1.0375824782343513e-7,2.79723485283618e-7
adjustb/LocallyNameless.TypedOtt/adjustb/13,3.21208074768763e-5,3.2088341211043735e-5,3.218083005926228e-5,1.4185137749128118e-7,8.519181175215889e-8,2.1425614370039301e-7
adjustb/LocallyNameless.TypedOtt/adjustb/14,3.8859760844223983e-5,3.87971328577098e-5,3.8963269108102684e-5,2.50749949712779e-7,1.8782307333493853e-7,3.2854715299394717e-7
adjustb/LocallyNameless.TypedOtt/adjustb/15,4.611542421906876e-5,4.606966873289582e-5,4.620106519772507e-5,2.0887676667749107e-7,1.2284995517469767e-7,3.6697845578643306e-7
adjustb/LocallyNameless.TypedOtt/adjustb/16,5.339955817392745e-5,5.326196556570806e-5,5.3714033305056474e-5,6.747142375084849e-7,2.664728498641548e-7,1.2442090741371492e-6
adjustb/LocallyNameless.TypedOtt/adjustb/17,6.396505368143036e-5,6.387537536758431e-5,6.411916465953092e-5,3.8952535513042265e-7,2.3173210323362974e-7,6.769798520393788e-7
adjustb/LocallyNameless.TypedOtt/adjustb/18,7.433252864326825e-5,7.413577465430311e-5,7.463096693294212e-5,8.447010678586477e-7,6.083972023622814e-7,1.2318870910912471e-6
adjustb/LocallyNameless.TypedOtt/adjustb/19,8.502160281616387e-5,8.494045463920403e-5,8.526633168598326e-5,4.320290082124287e-7,2.1853208460786888e-7,8.554770856601508e-7
adjustb/LocallyNameless.TypedOtt/adjustb/20,9.800350960437854e-5,9.786903585571084e-5,9.81898507390428e-5,5.234041310938986e-7,3.6372105647278737e-7,7.770674290983078e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.TypedOtt/adjustb/1,1.5303320380087287e-7,1.5236596955234671e-7,1.5437748620240042e-7,2.9593607445105687e-9,1.905807768394058e-9,4.141433597010506e-9
adjustb/LocallyNameless.TypedOtt/adjustb/2,5.206177575937844e-7,5.200944274350911e-7,5.212366530061981e-7,1.929396115806114e-9,1.4920458821307973e-9,2.6394186864234478e-9
adjustb/LocallyNameless.TypedOtt/adjustb/3,1.1189811552755675e-6,1.1174503043448591e-6,1.1215908325254994e-6,6.5399691293021124e-9,4.207595638273546e-9,1.2048176874124197e-8
adjustb/LocallyNameless.TypedOtt/adjustb/4,2.042418744596738e-6,2.0375347742537907e-6,2.049014986760893e-6,1.8399349572262484e-8,1.2603853154699797e-8,2.510559655515632e-8
adjustb/LocallyNameless.TypedOtt/adjustb/5,3.4213299714274007e-6,3.403292285335077e-6,3.4494961740363776e-6,7.489519136416611e-8,5.221059678944005e-8,9.741798592720886e-8
adjustb/LocallyNameless.TypedOtt/adjustb/6,5.268715976937726e-6,5.262062387824608e-6,5.27493181687657e-6,2.1090538725224327e-8,1.8543349850099122e-8,2.409892094235588e-8
