Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOtt/capt/1,1.329528506535803e-7,1.3269116774697803e-7,1.333267146178615e-7,1.0764369787115424e-9,6.430688635433968e-10,1.4702714627159338e-9
capt/LocallyNameless.TypedOtt/capt/2,1.868745458489082e-7,1.8649251527217158e-7,1.8760103397788646e-7,1.6743221292730592e-9,9.996803306142153e-10,3.0063407781740806e-9
capt/LocallyNameless.TypedOtt/capt/3,2.45492994831292e-7,2.447909748297688e-7,2.4733770514219934e-7,3.1958118580225862e-9,1.4761471319590124e-9,6.197123827680267e-9
capt/LocallyNameless.TypedOtt/capt/4,3.258112153868343e-7,3.2296718548868554e-7,3.3487735830152514e-7,1.5181922242609875e-8,5.501236618571358e-9,3.026602745130945e-8
capt/LocallyNameless.TypedOtt/capt/5,3.951358162891463e-7,3.938300543809965e-7,3.962441692359794e-7,4.151797997624139e-9,3.6038037911426003e-9,4.826713965764717e-9
capt/LocallyNameless.TypedOtt/capt/6,4.786655879125566e-7,4.773223083640466e-7,4.792858157053608e-7,2.8327255081448105e-9,1.3180698730822284e-9,4.577053887022065e-9
capt/LocallyNameless.TypedOtt/capt/7,5.535303628896709e-7,5.52849968402821e-7,5.541234795173074e-7,2.261265861178585e-9,1.756539785334331e-9,2.848544463185807e-9
capt/LocallyNameless.TypedOtt/capt/8,6.572042467634513e-7,6.56475316995488e-7,6.582442214147935e-7,3.0235152266288895e-9,2.1185725339917937e-9,4.011872717325205e-9
capt/LocallyNameless.TypedOtt/capt/9,7.716219897604809e-7,7.668206255040297e-7,7.863736152780486e-7,2.6851735168723344e-8,1.0890531655301353e-8,5.2817323560305614e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.TypedOtt/capt/1,1.5286976613113565e-7,1.524358019415599e-7,1.5342179323541491e-7,1.6988321376932638e-9,1.3056451564759602e-9,2.445926756473404e-9
capt/LocallyNameless.TypedOtt/capt/2,2.0447222220492654e-7,2.039887516602402e-7,2.0530763944953403e-7,2.0635522344323408e-9,1.4497061686882448e-9,2.8298544461107956e-9
capt/LocallyNameless.TypedOtt/capt/3,2.6294996432966187e-7,2.625333042514511e-7,2.636758427368449e-7,1.826718701256694e-9,1.2004011328196618e-9,3.1705982325806583e-9
capt/LocallyNameless.TypedOtt/capt/4,3.36017231808325e-7,3.349769629098914e-7,3.3734805837026487e-7,4.046290036807557e-9,3.2645090180910273e-9,5.076935497433956e-9
capt/LocallyNameless.TypedOtt/capt/5,4.2235235130621376e-7,4.2143687035063423e-7,4.236301173446086e-7,3.5079328851442225e-9,2.56998676971238e-9,4.735000894841262e-9
capt/LocallyNameless.TypedOtt/capt/6,5.141540485924218e-7,5.129567618601687e-7,5.156068095734409e-7,4.5294323455545544e-9,3.780315348951416e-9,5.885004955216951e-9
capt/LocallyNameless.TypedOtt/capt/7,6.108627871071909e-7,6.086857881361697e-7,6.131340916686694e-7,7.2603127597265395e-9,6.138509149321104e-9,8.824838388525593e-9
capt/LocallyNameless.TypedOtt/capt/8,6.952536665826719e-7,6.943332213006267e-7,6.961974577629846e-7,3.1935321540785076e-9,2.6497457178184454e-9,3.879439143182405e-9
capt/LocallyNameless.TypedOtt/capt/9,8.047858748749611e-7,8.028694220262803e-7,8.0696483474754e-7,7.3280291216575485e-9,5.6540807469516225e-9,9.249555862042984e-9
