Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOtt/ids/1,4.6597987861564304e-8,4.6544549562209406e-8,4.668819622273515e-8,2.45420227781107e-10,1.5069338418495868e-10,4.029686924806843e-10
ids/LocallyNameless.TypedOtt/ids/2,6.048268044559875e-8,6.044138188528974e-8,6.052017563213166e-8,1.351658841891191e-10,9.64046128741329e-11,2.1585565956795397e-10
ids/LocallyNameless.TypedOtt/ids/3,7.283428328234697e-8,7.275764807921079e-8,7.30006703134706e-8,3.807806548332894e-10,2.3946265580355345e-10,6.289383683304665e-10
ids/LocallyNameless.TypedOtt/ids/4,9.458104052399601e-8,9.437599873747729e-8,9.51331115923426e-8,1.0452948575112178e-9,5.363081042001888e-10,2.0401894801152597e-9
ids/LocallyNameless.TypedOtt/ids/5,1.056973740844864e-7,1.0512852991353357e-7,1.0749365868922178e-7,3.0467143711678268e-9,9.337849046844334e-10,6.170938898911463e-9
ids/LocallyNameless.TypedOtt/ids/6,1.1758653217599057e-7,1.1723476206886803e-7,1.1825743564421452e-7,1.5239540731217478e-9,6.630681922436776e-10,2.4418331819900623e-9
ids/LocallyNameless.TypedOtt/ids/7,1.3113339158194457e-7,1.309929639296181e-7,1.3137412607550804e-7,6.246232025089346e-10,3.94217500962235e-10,1.0400692643689475e-9
ids/LocallyNameless.TypedOtt/ids/8,1.4548103064361262e-7,1.453828272343557e-7,1.4567665369714046e-7,4.6196228685106397e-10,2.7433977176399643e-10,8.459381870623533e-10
ids/LocallyNameless.TypedOtt/ids/9,1.5700676240484343e-7,1.567778219579305e-7,1.574223411769356e-7,9.842934734069703e-10,6.686794613166541e-10,1.7035309502974005e-9
ids/LocallyNameless.TypedOtt/ids/10,1.6931239924789623e-7,1.6889621747334618e-7,1.699671288548743e-7,1.7744751169502327e-9,1.1619835291925302e-9,2.756279250591532e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOtt/ids/1,5.657932084302887e-8,5.65088454336457e-8,5.6693928258268255e-8,2.9136707355717227e-10,2.0387196980728163e-10,4.497214829885078e-10
ids/LocallyNameless.TypedOtt/ids/2,7.615586232576456e-8,7.603236059647302e-8,7.634449128816669e-8,5.120418951857063e-10,3.6989928531381884e-10,7.14242659446966e-10
ids/LocallyNameless.TypedOtt/ids/3,9.433325680962063e-8,9.40647417427899e-8,9.506307870009813e-8,1.3864380897114819e-9,7.087704686860982e-10,2.6138541975788962e-9
ids/LocallyNameless.TypedOtt/ids/4,1.1974915560099598e-7,1.1966838463128031e-7,1.1990627933072205e-7,3.487441890939706e-10,2.1363743886381503e-10,5.964564057449345e-10
ids/LocallyNameless.TypedOtt/ids/5,1.348441183360229e-7,1.3465456312509857e-7,1.3512696588388316e-7,7.922115712997036e-10,5.21758426797818e-10,1.2260617504661278e-9
ids/LocallyNameless.TypedOtt/ids/6,1.5290552052718757e-7,1.5273534160290753e-7,1.5317628773775583e-7,7.139976493171087e-10,5.33343404034129e-10,1.0018792896564541e-9
ids/LocallyNameless.TypedOtt/ids/7,1.819295152613287e-7,1.817747236745401e-7,1.8210687843012718e-7,5.427872428891016e-10,4.0688032689312484e-10,7.420273133387623e-10
ids/LocallyNameless.TypedOtt/ids/8,1.9540078884900102e-7,1.950534389077476e-7,1.9589830893614426e-7,1.4381627772104507e-9,1.069534198772443e-9,1.8378913333185592e-9
ids/LocallyNameless.TypedOtt/ids/9,2.1199070451535157e-7,2.1161932484708633e-7,2.1263826600535998e-7,1.595849908417678e-9,1.241667285727909e-9,2.112776337523659e-9
ids/LocallyNameless.TypedOtt/ids/10,2.376040780077162e-7,2.367571628336758e-7,2.3843819063388934e-7,2.805551405220867e-9,2.5758984957860253e-9,3.0352196649801934e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.TypedOtt/ids/1,5.614399040009613e-8,5.597151238832302e-8,5.669727118308203e-8,8.871498054001066e-10,3.5997642935464646e-10,1.865666246860924e-9
ids/LocallyNameless.TypedOtt/ids/2,7.476970265041307e-8,7.47311699114708e-8,7.484158500182764e-8,1.7424091512077783e-10,1.04223026522823e-10,2.984647188164437e-10
ids/LocallyNameless.TypedOtt/ids/3,9.268176500589106e-8,9.253195119678299e-8,9.298239894575898e-8,6.888691430909189e-10,2.832815920395494e-10,1.0837854275618574e-9
ids/LocallyNameless.TypedOtt/ids/4,1.188253644175412e-7,1.1868596735599079e-7,1.1900603459416737e-7,5.236994995495454e-10,4.24807445907567e-10,7.013267604903259e-10
ids/LocallyNameless.TypedOtt/ids/5,1.3430506381380395e-7,1.3410293116965435e-7,1.3457047719909991e-7,7.596876563423964e-10,6.002440041001809e-10,1.037516921886853e-9
ids/LocallyNameless.TypedOtt/ids/6,1.523826943062804e-7,1.5183258853724033e-7,1.5309559180972732e-7,2.146628779309472e-9,1.658057159898325e-9,2.7385240230770625e-9
ids/LocallyNameless.TypedOtt/ids/7,1.8410090747412401e-7,1.831409694235505e-7,1.8635893158915135e-7,4.665101083362872e-9,2.2463373384663373e-9,8.958329590739376e-9
ids/LocallyNameless.TypedOtt/ids/8,1.9567683903854964e-7,1.9503565812266192e-7,1.962210022374771e-7,2.0051122370906883e-9,1.443605352546869e-9,2.5637858249047177e-9
