Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.UGSubstBind/adjust/1,1.6959456915859062e-7,1.6938259131243223e-7,1.6999270553908734e-7,1.0094520977992278e-9,6.508335568261604e-10,1.7216369976466808e-9
adjust/LocallyNameless.UGSubstBind/adjust/2,7.941139932878813e-7,7.921633887827008e-7,7.966762829655102e-7,7.373159998916985e-9,5.622948196989372e-9,9.905065634293685e-9
adjust/LocallyNameless.UGSubstBind/adjust/3,1.957984962603172e-6,1.9560317024133415e-6,1.960744585494546e-6,7.746762912099351e-9,5.483581622718749e-9,1.0693336779797543e-8
adjust/LocallyNameless.UGSubstBind/adjust/4,3.615928826273879e-6,3.610851570802654e-6,3.6228053860984342e-6,1.9224277942663622e-8,1.5345830626479434e-8,2.8919238561975992e-8
adjust/LocallyNameless.UGSubstBind/adjust/5,5.824863607802146e-6,5.8192695340104805e-6,5.83478553361478e-6,2.4571969609916132e-8,1.6121428519019574e-8,3.962874056214217e-8
adjust/LocallyNameless.UGSubstBind/adjust/6,8.54150111796262e-6,8.52740969372339e-6,8.567096329460677e-6,6.118607267713845e-8,3.610287435683079e-8,9.222551222624889e-8
adjust/LocallyNameless.UGSubstBind/adjust/7,1.2074380847588954e-5,1.2055219540568124e-5,1.2102508802864143e-5,7.510187159845836e-8,5.6371413380622743e-8,1.0619858894059804e-7
adjust/LocallyNameless.UGSubstBind/adjust/8,1.6421572823409824e-5,1.638071579761033e-5,1.6509321197381657e-5,1.9757900243576047e-7,1.0030868864090994e-7,3.5844069995887583e-7
adjust/LocallyNameless.UGSubstBind/adjust/9,2.126601798095206e-5,2.1244560622029643e-5,2.129715350488735e-5,8.514757733930074e-8,6.275546127270787e-8,1.3312445647677376e-7
adjust/LocallyNameless.UGSubstBind/adjust/10,2.7233287219580698e-5,2.719325551794789e-5,2.728068556420166e-5,1.5058798893272654e-7,1.151197154203356e-7,2.047290214034579e-7
adjust/LocallyNameless.UGSubstBind/adjust/11,3.3998857638491545e-5,3.3976813526138756e-5,3.4021292508383304e-5,7.419352025654553e-8,6.176653600073596e-8,8.948910682821867e-8
adjust/LocallyNameless.UGSubstBind/adjust/12,4.2082239271267894e-5,4.200416035312402e-5,4.2214111033811614e-5,3.357124727384821e-7,2.0549899704721576e-7,6.170051413255951e-7
adjust/LocallyNameless.UGSubstBind/adjust/13,5.097307796573332e-5,5.0906398916508635e-5,5.1062395639033e-5,2.677265810981146e-7,2.0365792746507544e-7,3.628907337975846e-7
adjust/LocallyNameless.UGSubstBind/adjust/14,6.121874181953438e-5,6.098751742583864e-5,6.19071738304389e-5,1.2958169357350574e-6,5.158269592957105e-7,2.5427261387671132e-6
adjust/LocallyNameless.UGSubstBind/adjust/15,7.188127156444104e-5,7.177504512677512e-5,7.202728762969673e-5,4.168966051018568e-7,2.9288945105242757e-7,6.201386299118299e-7
adjust/LocallyNameless.UGSubstBind/adjust/16,8.50078278264642e-5,8.484579271706417e-5,8.530461728090126e-5,6.947617169144209e-7,4.571090373162579e-7,1.2483566128740238e-6
adjust/LocallyNameless.UGSubstBind/adjust/17,9.857648596094683e-5,9.850438946392697e-5,9.865957263710518e-5,2.4860830665299363e-7,1.914279091313516e-7,3.2369105739520533e-7
adjust/LocallyNameless.UGSubstBind/adjust/18,1.141224930415935e-4,1.1396560334319998e-4,1.1436025220259452e-4,6.755205884963305e-7,4.657320704929356e-7,9.970231039411252e-7
adjust/LocallyNameless.UGSubstBind/adjust/19,1.3098934569634539e-4,1.3077322853968787e-4,1.3142126864178414e-4,1.026931298308326e-6,5.953480098122806e-7,1.7419175872520132e-6
adjust/LocallyNameless.UGSubstBind/adjust/20,1.4969036659829134e-4,1.4902417896692864e-4,1.51301444059732e-4,3.224221831652326e-6,1.4814455580716338e-6,5.8760779173248945e-6
