Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.UGSubstBind/adjustb/1,4.463781528979182e-7,4.4560031898452917e-7,4.477320454416653e-7,3.459274082768593e-9,2.300952245431727e-9,5.754606110277471e-9
adjustb/LocallyNameless.UGSubstBind/adjustb/2,1.6692066523930333e-6,1.6600211897888908e-6,1.6762126675585524e-6,2.7017832392176132e-8,2.1546776763020933e-8,3.491749131897112e-8
adjustb/LocallyNameless.UGSubstBind/adjustb/3,3.5452196145600266e-6,3.538714494823236e-6,3.5593045796270006e-6,2.97158906175559e-8,1.703062808157022e-8,4.872880425631992e-8
adjustb/LocallyNameless.UGSubstBind/adjustb/4,5.850645398703604e-6,5.843373556662358e-6,5.863267641093498e-6,3.280656862900603e-8,2.1545095069162297e-8,5.226905016832556e-8
adjustb/LocallyNameless.UGSubstBind/adjustb/5,9.02732398353547e-6,9.01123053549661e-6,9.055290293301418e-6,6.945726691379211e-8,3.580436060275331e-8,1.2510048658282825e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/6,1.2397096073980965e-5,1.2384184450584032e-5,1.2413681254392665e-5,4.862260391639739e-8,3.906954664104308e-8,6.113030455335957e-8
adjustb/LocallyNameless.UGSubstBind/adjustb/7,1.7470970033183018e-5,1.7347129853940882e-5,1.769055282932431e-5,5.228898071323235e-7,3.0351135347137355e-7,7.909878227070052e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/8,2.2674487380153e-5,2.264036105371219e-5,2.2717951397663237e-5,1.3256110644812805e-7,1.0516287935157189e-7,1.9554277290568772e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/9,2.882779001667355e-5,2.878245853944242e-5,2.8883083535425384e-5,1.682749020195873e-7,1.3555082150977217e-7,2.37930330308016e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/10,3.636660933776552e-5,3.6302279746765506e-5,3.646687631232457e-5,2.628181518087736e-7,1.9054039591422594e-7,3.834815065150822e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/11,4.626704796879193e-5,4.605364982038447e-5,4.657167103908329e-5,8.534247346417605e-7,6.494037291847028e-7,1.1713057522335922e-6
adjustb/LocallyNameless.UGSubstBind/adjustb/12,5.440642703073489e-5,5.428051353147122e-5,5.455673060250467e-5,4.7083761874374367e-7,3.7733981001314205e-7,6.571215359554486e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/13,6.574432890828205e-5,6.555998068452156e-5,6.595962473212145e-5,6.85756616029024e-7,5.459970078631491e-7,9.081853831102743e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/14,7.721653413125266e-5,7.711260862237288e-5,7.741338520399716e-5,4.570531693545528e-7,2.7043272308889256e-7,7.329902558719404e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/15,9.04894435184351e-5,9.038487827398671e-5,9.060185655919442e-5,3.6196309275096685e-7,2.883780076741719e-7,5.150834412413394e-7
adjustb/LocallyNameless.UGSubstBind/adjustb/16,1.057702534041232e-4,1.0561775555940271e-4,1.0603276838381044e-4,6.521955109705744e-7,4.817960487237272e-7,1.0283011946982112e-6
adjustb/LocallyNameless.UGSubstBind/adjustb/17,1.2195712847138983e-4,1.2175010674673357e-4,1.2238259841590747e-4,9.463829427597986e-7,4.945983296166034e-7,1.7698480019882165e-6
adjustb/LocallyNameless.UGSubstBind/adjustb/18,1.3953240305763565e-4,1.3933681126668712e-4,1.400188134232041e-4,8.874420669982885e-7,5.231721709139597e-7,1.7565565134413833e-6
adjustb/LocallyNameless.UGSubstBind/adjustb/19,1.5954819438468944e-4,1.5929798099576688e-4,1.5996405746528932e-4,1.0287387581181767e-6,7.481505835303498e-7,1.6382723037755428e-6
adjustb/LocallyNameless.UGSubstBind/adjustb/20,1.811205405753561e-4,1.808706024448503e-4,1.8153344019907448e-4,1.1131567899776501e-6,8.090692589096388e-7,1.547936984638879e-6
