Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UGSubstBind/ids/1,1.1837546378168558e-7,1.1810295793291653e-7,1.1886156019501024e-7,1.166444783944445e-9,8.06695804227249e-10,1.8177457683840295e-9
ids/LocallyNameless.UGSubstBind/ids/2,1.2695144716233118e-7,1.2675531806252328e-7,1.27176126762562e-7,7.043344243883534e-10,5.108512784347515e-10,9.183091051373291e-10
ids/LocallyNameless.UGSubstBind/ids/3,1.3524778445138894e-7,1.3465429509234207e-7,1.365230234566922e-7,2.803182348550699e-9,1.6678176864918546e-9,4.851401460534248e-9
ids/LocallyNameless.UGSubstBind/ids/4,1.585804732588745e-7,1.583082613884829e-7,1.5892793934418853e-7,1.0477416265189512e-9,8.75234710159833e-10,1.3266178175623214e-9
ids/LocallyNameless.UGSubstBind/ids/5,1.6155137161852724e-7,1.6123273596612704e-7,1.6201551906423944e-7,1.2560686843113105e-9,9.099957814615104e-10,1.756239570906019e-9
ids/LocallyNameless.UGSubstBind/ids/6,1.6916573476223813e-7,1.688054687821995e-7,1.6954077076211478e-7,1.2601649339026069e-9,1.0309001560866785e-9,1.5403530517343137e-9
ids/LocallyNameless.UGSubstBind/ids/7,1.7716489006812523e-7,1.7671936361245565e-7,1.7764701113090178e-7,1.537181455736446e-9,1.2393140528718793e-9,1.9913470809309326e-9
ids/LocallyNameless.UGSubstBind/ids/8,1.844540927867021e-7,1.8415030995109942e-7,1.848694589307609e-7,1.2370250765789185e-9,9.83499799799937e-10,1.662718248792137e-9
ids/LocallyNameless.UGSubstBind/ids/9,1.9189311139719695e-7,1.9137616548769618e-7,1.9258979492008173e-7,2.08999495701933e-9,1.5577459588576788e-9,2.8710225710432228e-9
ids/LocallyNameless.UGSubstBind/ids/10,2.0889412386575276e-7,2.0846200624443137e-7,2.0938270611342468e-7,1.6410436316617566e-9,1.3199422351701213e-9,2.0353059000815348e-9
