Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Unbound/adjust/1,4.466493464004923e-7,4.444208402681523e-7,4.5097809790195865e-7,9.789714746687977e-9,5.65087614404539e-9,1.3856959512184883e-8
adjust/LocallyNameless.Unbound/adjust/2,2.649312683906954e-6,2.6330640946536547e-6,2.691744610913707e-6,8.452009249956281e-8,4.4545740656734956e-8,1.3442579444544484e-7
adjust/LocallyNameless.Unbound/adjust/3,7.064479609648177e-6,7.059480170786777e-6,7.07393759955994e-6,2.050876834961921e-8,1.3040605755730845e-8,3.726772767236773e-8
adjust/LocallyNameless.Unbound/adjust/4,1.4661237472969056e-5,1.4649010815623306e-5,1.4673989540958441e-5,4.110969622298526e-8,3.139040927504645e-8,5.475509401698113e-8
adjust/LocallyNameless.Unbound/adjust/5,2.6550377455394304e-5,2.6442795189638934e-5,2.66466235885753e-5,3.156991391331658e-7,2.8060705682355953e-7,3.600295857254105e-7
adjust/LocallyNameless.Unbound/adjust/6,4.2403504130145026e-5,4.237870995381291e-5,4.243894088246427e-5,1.0191082338749417e-7,7.461483313624603e-8,1.3282443374159726e-7
adjust/LocallyNameless.Unbound/adjust/7,6.485724335685072e-5,6.48092087167877e-5,6.49080076472158e-5,1.6258094669051204e-7,1.301447766741144e-7,1.9545895961698448e-7
adjust/LocallyNameless.Unbound/adjust/8,9.417530033376709e-5,9.413182434020249e-5,9.424025340114502e-5,1.8640676855064623e-7,1.4614236336096765e-7,2.432645045689361e-7
adjust/LocallyNameless.Unbound/adjust/9,1.311440089329094e-4,1.3105754288443203e-4,1.3127695725296385e-4,3.480497112511598e-7,2.534524339130704e-7,4.772756136724004e-7
adjust/LocallyNameless.Unbound/adjust/10,1.7657208409179083e-4,1.7643981247591413e-4,1.7675672762172348e-4,5.132227474894943e-7,4.0310932429822987e-7,6.676750737099314e-7
adjust/LocallyNameless.Unbound/adjust/11,2.314096540641604e-4,2.3121037411916284e-4,2.3171019915619226e-4,8.124877934763746e-7,6.458902301286393e-7,1.0506696594404318e-6
adjust/LocallyNameless.Unbound/adjust/12,2.969584274291282e-4,2.9674801118029654e-4,2.973011326920164e-4,8.989890840181371e-7,6.191939130162739e-7,1.464048676719691e-6
adjust/LocallyNameless.Unbound/adjust/13,3.7422566180496337e-4,3.739419309367369e-4,3.7458700051749903e-4,1.089958362591487e-6,8.149820411231559e-7,1.6669421121165828e-6
adjust/LocallyNameless.Unbound/adjust/14,4.6306852871350306e-4,4.6269432915568804e-4,4.6343289225612327e-4,1.2713079802534743e-6,1.0991324577774832e-6,1.501649612411879e-6
adjust/LocallyNameless.Unbound/adjust/15,5.644479899541102e-4,5.640517944105744e-4,5.648050389109683e-4,1.2926813457380684e-6,1.0733063989930871e-6,1.5347613972675806e-6
adjust/LocallyNameless.Unbound/adjust/16,6.806353263479313e-4,6.800703610828382e-4,6.812684873712053e-4,1.9961583499714626e-6,1.6196504087111975e-6,2.518296964875765e-6
adjust/LocallyNameless.Unbound/adjust/17,8.112677810435075e-4,8.106726350497565e-4,8.119506705389512e-4,2.1854978624999287e-6,1.7895356889559528e-6,3.014066351423349e-6
adjust/LocallyNameless.Unbound/adjust/18,9.58237070651167e-4,9.574996668726023e-4,9.591554487342626e-4,2.6569072334958084e-6,2.0988898021683783e-6,3.5152112864958564e-6
adjust/LocallyNameless.Unbound/adjust/19,1.120565413827127e-3,1.119668015279318e-3,1.1215195152921716e-3,3.0320596117653814e-6,2.5882435648165725e-6,3.6571813944163637e-6
adjust/LocallyNameless.Unbound/adjust/20,1.3009503012666236e-3,1.299936096821459e-3,1.3024888434043345e-3,3.984294779736423e-6,2.8815522368111717e-6,6.3015305514107865e-6
adjust/LocallyNameless.UnboundGenerics/adjust/1,1.891209127237975e-7,1.8889179896724204e-7,1.9020885654490864e-7,1.4175309244415832e-9,4.1702538913888233e-10,3.135340688798204e-9
adjust/LocallyNameless.UnboundGenerics/adjust/2,8.351064687740522e-7,8.345387867531916e-7,8.358843300356895e-7,2.3147785892861728e-9,1.786568794127105e-9,3.1587745944247663e-9
adjust/LocallyNameless.UnboundGenerics/adjust/3,2.1416401598253223e-6,2.1392778082799693e-6,2.1436774990996824e-6,7.3442227021767276e-9,6.260113878902599e-9,8.757533908092523e-9
adjust/LocallyNameless.UnboundGenerics/adjust/4,4.188246760328707e-6,4.184102028686964e-6,4.19240691509443e-6,1.3700846985270113e-8,1.1877145315274927e-8,1.6109822756280887e-8
adjust/LocallyNameless.UnboundGenerics/adjust/5,7.202192009144618e-6,7.196457633715458e-6,7.208250845021482e-6,2.0399765289650862e-8,1.6931515577800865e-8,2.5759941108372527e-8
adjust/LocallyNameless.UnboundGenerics/adjust/6,1.1396825095747704e-5,1.1388614846318041e-5,1.140611191041815e-5,2.9475442963569983e-8,2.3432664215323767e-8,3.7812825237851315e-8
adjust/LocallyNameless.UnboundGenerics/adjust/7,1.6811991370066617e-5,1.679987545415105e-5,1.6831268369919344e-5,5.082511625895061e-8,4.070165325880817e-8,6.867719729409462e-8
adjust/LocallyNameless.UnboundGenerics/adjust/8,2.3949819267454205e-5,2.39308746726293e-5,2.3972100008745033e-5,6.630256290550815e-8,4.742043720941683e-8,9.56409239515665e-8
adjust/LocallyNameless.UnboundGenerics/adjust/9,3.313451490956487e-5,3.309775572362246e-5,3.321565859518087e-5,1.8036702199763944e-7,1.0230079880980846e-7,3.1464946995625706e-7
adjust/LocallyNameless.UnboundGenerics/adjust/10,4.4624516864490964e-5,4.45989679698778e-5,4.466231565617998e-5,1.0470731176821129e-7,7.600986128072312e-8,1.352885998391125e-7
adjust/LocallyNameless.UnboundGenerics/adjust/11,5.772781466929609e-5,5.7683208837352755e-5,5.778636323903668e-5,1.750926846868337e-7,1.3557228975136516e-7,2.1794769347830448e-7
adjust/LocallyNameless.UnboundGenerics/adjust/12,7.317754179891787e-5,7.31282599105829e-5,7.324319411266629e-5,1.801018518223473e-7,1.3789719945405271e-7,2.332216440805837e-7
adjust/LocallyNameless.UnboundGenerics/adjust/13,9.076150349013825e-5,9.069109718287286e-5,9.086819280185442e-5,2.912734826783809e-7,2.2995357250512434e-7,3.613877897529437e-7
adjust/LocallyNameless.UnboundGenerics/adjust/14,1.1182729260005139e-4,1.1173472756843315e-4,1.119375042641242e-4,3.1711691190030644e-7,2.406670385182511e-7,4.124299090046915e-7
adjust/LocallyNameless.UnboundGenerics/adjust/15,1.3495254434189754e-4,1.348481017587812e-4,1.3509929213818164e-4,4.114522929191039e-7,3.208784071406692e-7,5.260856134415231e-7
adjust/LocallyNameless.UnboundGenerics/adjust/16,1.6225180122300233e-4,1.6212067791214976e-4,1.6243321038350721e-4,5.207540391416616e-7,3.93762581319966e-7,7.78197059773938e-7
adjust/LocallyNameless.UnboundGenerics/adjust/17,1.924061251295562e-4,1.9225208103629265e-4,1.926233978275457e-4,6.217395570971196e-7,4.884934233546015e-7,8.055985872190228e-7
adjust/LocallyNameless.UnboundGenerics/adjust/18,2.2674327079036085e-4,2.265034380003758e-4,2.270664926498683e-4,9.618261218370685e-7,7.639242529672782e-7,1.3744474915176696e-6
adjust/LocallyNameless.UnboundGenerics/adjust/19,2.6424101728455206e-4,2.6401010461158574e-4,2.645522524267946e-4,8.936673085049212e-7,6.820265542746173e-7,1.3093282338580329e-6
adjust/LocallyNameless.UnboundGenerics/adjust/20,3.0562993409815676e-4,3.0533035663615624e-4,3.0598539893872265e-4,1.0917450000753921e-6,8.949031278141203e-7,1.4373196671002036e-6
