Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.UnboundGenerics/adjust/1,2.1920565903687517e-7,2.1905861736470255e-7,2.1938526297519904e-7,5.417633351029742e-10,4.034921389014768e-10,7.314553536177993e-10
adjust/LocallyNameless.UnboundGenerics/adjust/2,8.810496071646496e-7,8.797382141451104e-7,8.825613880847125e-7,4.6201523162055956e-9,3.5535171582009638e-9,7.142300969079479e-9
adjust/LocallyNameless.UnboundGenerics/adjust/3,2.0511955546356518e-6,2.049135999308075e-6,2.0559119278357804e-6,9.90273821748008e-9,5.217214922747503e-9,1.961707704800282e-8
adjust/LocallyNameless.UnboundGenerics/adjust/4,3.7300744553586133e-6,3.724771522688747e-6,3.7397868872840984e-6,2.5165802039342922e-8,1.4205847536698092e-8,4.090476172955557e-8
adjust/LocallyNameless.UnboundGenerics/adjust/5,5.932080868152759e-6,5.9257700068940855e-6,5.94388860991809e-6,2.8552890004473964e-8,1.6388127300797455e-8,5.1252530872052876e-8
adjust/LocallyNameless.UnboundGenerics/adjust/6,8.724064192170822e-6,8.698466012405206e-6,8.773506989016494e-6,1.1367354805511985e-7,7.09146345409167e-8,1.8517550118171234e-7
adjust/LocallyNameless.UnboundGenerics/adjust/7,1.21396447767891e-5,1.2126900561817549e-5,1.2186550381304944e-5,6.887243554523341e-8,2.640709429711269e-8,1.4620869823521949e-7
adjust/LocallyNameless.UnboundGenerics/adjust/8,1.640301616576015e-5,1.6389172361465844e-5,1.642226193131118e-5,5.299395343324639e-8,3.64391019332947e-8,8.359706456955084e-8
adjust/LocallyNameless.UnboundGenerics/adjust/9,2.1389449384635008e-5,2.1374630164837523e-5,2.140281478020467e-5,4.562881594508938e-8,3.956761390326548e-8,5.4623853779906826e-8
adjust/LocallyNameless.UnboundGenerics/adjust/10,2.7296395810564812e-5,2.7268030214351705e-5,2.7329042643470876e-5,1.0249992006213503e-7,8.167459660597716e-8,1.3297106671532534e-7
adjust/LocallyNameless.UnboundGenerics/adjust/11,3.41400083752309e-5,3.410592690851273e-5,3.4189876349269e-5,1.4624204256289208e-7,1.0648328069125913e-7,2.0202693040784565e-7
adjust/LocallyNameless.UnboundGenerics/adjust/12,4.213319202134436e-5,4.197677364302695e-5,4.274885816381732e-5,8.702608554133786e-7,3.012337219731533e-7,1.8658541794403692e-6
adjust/LocallyNameless.UnboundGenerics/adjust/13,5.077794021199291e-5,5.0748804132563e-5,5.082689949544819e-5,1.2337209924556784e-7,7.022840236353185e-8,1.9744311992932785e-7
adjust/LocallyNameless.UnboundGenerics/adjust/14,6.1010764960099456e-5,6.095201674438754e-5,6.10794555135355e-5,2.0673801530896483e-7,1.6922330803776963e-7,2.687557257041464e-7
adjust/LocallyNameless.UnboundGenerics/adjust/15,7.166647307498887e-5,7.161087616988446e-5,7.173743732061494e-5,2.0527740006493412e-7,1.5261389168453986e-7,2.853922414034735e-7
adjust/LocallyNameless.UnboundGenerics/adjust/16,8.451548474207241e-5,8.446074821498785e-5,8.457578133399984e-5,1.9295452009425984e-7,1.4710816576557822e-7,2.5844871054884026e-7
adjust/LocallyNameless.UnboundGenerics/adjust/17,9.803071704944479e-5,9.795390608964505e-5,9.813606099595785e-5,2.9893869867837237e-7,2.2061218605607324e-7,3.995790291440245e-7
adjust/LocallyNameless.UnboundGenerics/adjust/18,1.1354438010033177e-4,1.1320136752919386e-4,1.1403506098027155e-4,1.368665658919961e-6,1.0128753532479546e-6,1.8257100066705744e-6
adjust/LocallyNameless.UnboundGenerics/adjust/19,1.293721522936105e-4,1.2919861586022517e-4,1.2966738148767408e-4,7.264299291430809e-7,4.779500819389412e-7,1.1012712256836071e-6
adjust/LocallyNameless.UnboundGenerics/adjust/20,1.4851424618475163e-4,1.4831484715590492e-4,1.4890140017806923e-4,8.41523351565853e-7,4.14521279570807e-7,1.3382076587342899e-6
