Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.UnboundGenerics/adjustb/1,5.171597491090745e-7,5.156429169819239e-7,5.186425789187308e-7,5.189915062601802e-9,4.470809570576331e-9,6.970932021330898e-9
adjustb/LocallyNameless.UnboundGenerics/adjustb/2,1.693679739971698e-6,1.6902106725078476e-6,1.6975256818469014e-6,1.1993613324159483e-8,9.76862758361322e-9,1.4835248013035415e-8
adjustb/LocallyNameless.UnboundGenerics/adjustb/3,3.600501003852578e-6,3.5907017325287575e-6,3.6133753399734103e-6,3.6390131801722424e-8,2.59997232688729e-8,4.910510824555619e-8
adjustb/LocallyNameless.UnboundGenerics/adjustb/4,5.852050580528356e-6,5.83868623623754e-6,5.872970275867437e-6,5.638316505234234e-8,3.257156846251506e-8,8.536990367737353e-8
adjustb/LocallyNameless.UnboundGenerics/adjustb/5,8.93088502118793e-6,8.918259053484229e-6,8.944546567647296e-6,4.413770870347828e-8,3.6100447323230485e-8,5.816384958301999e-8
adjustb/LocallyNameless.UnboundGenerics/adjustb/6,1.2542094762218674e-5,1.2526614819613532e-5,1.2561005928549124e-5,5.6569244974878185e-8,3.8783308132493565e-8,8.669240129913607e-8
adjustb/LocallyNameless.UnboundGenerics/adjustb/7,1.7026443856072426e-5,1.6999876027711544e-5,1.706823765708066e-5,1.0815066956928244e-7,8.047399568222002e-8,1.5375909175214493e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/8,2.249896196363654e-5,2.2459252368167003e-5,2.2544150604827474e-5,1.4269618278805147e-7,1.168757773917298e-7,1.8169983612312787e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/9,2.8620698633002968e-5,2.8565247342315126e-5,2.872345052756677e-5,2.505892906484871e-7,1.7029758098274705e-7,4.370629469433006e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/10,3.718423771233464e-5,3.6776786612657974e-5,3.797166946369778e-5,1.7616273878447372e-6,1.2483009535555883e-6,2.737305851926599e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/11,4.532143812453945e-5,4.5186823282311354e-5,4.554697688636503e-5,5.818791441468579e-7,3.8368462197595844e-7,9.543374835352186e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/12,5.5110482981281894e-5,5.500123396550334e-5,5.52981861906639e-5,4.758826810441317e-7,3.479926174621925e-7,6.986120034181405e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/13,6.632771841503126e-5,6.615991730372407e-5,6.66674619253663e-5,7.568481899179634e-7,4.715732437819e-7,1.3102806892896005e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/14,7.819031132949801e-5,7.807294188690382e-5,7.838814822057527e-5,5.011443778034013e-7,3.510769129486971e-7,8.157746677542101e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/15,9.189581162525814e-5,9.16508148410477e-5,9.230380140657856e-5,1.059360842667875e-6,6.947245324275051e-7,1.752036714970604e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/16,1.056881208824423e-4,1.0545388649757539e-4,1.0604747123776885e-4,9.607139732284515e-7,6.639452657527671e-7,1.4275208387566004e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/17,1.2263540009663609e-4,1.2244580946440035e-4,1.2316657615155988e-4,9.489859224095696e-7,5.018447454096016e-7,1.7286352784888826e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/18,1.4109575953461542e-4,1.4098760289674368e-4,1.4126320968646338e-4,4.2992810407145124e-7,2.7705166893981045e-7,6.613078350066675e-7
adjustb/LocallyNameless.UnboundGenerics/adjustb/19,1.6057345292874332e-4,1.60287032725325e-4,1.6102123152325807e-4,1.220513359274027e-6,8.657259882236927e-7,1.6581759526578044e-6
adjustb/LocallyNameless.UnboundGenerics/adjustb/20,1.821275748209626e-4,1.817173781090357e-4,1.8275540594336884e-4,1.6429706061409063e-6,1.2649921715588804e-6,2.329073676152582e-6
