Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.UnboundGenerics/ids/1,1.9339319053883224e-7,1.9288458209448842e-7,1.9478689160842743e-7,2.544429368540563e-9,1.163363248255236e-9,4.833038651384548e-9
ids/LocallyNameless.UnboundGenerics/ids/2,2.780580291670183e-7,2.7750752111191175e-7,2.78842291873561e-7,2.1774814050975678e-9,1.7939881051440372e-9,2.8498829473612696e-9
ids/LocallyNameless.UnboundGenerics/ids/3,3.70498859673913e-7,3.698813949161696e-7,3.713337731283288e-7,2.3622762078860693e-9,1.8242065709779941e-9,3.2778476305231427e-9
ids/LocallyNameless.UnboundGenerics/ids/4,4.479359632793069e-7,4.476837413720516e-7,4.4834757467716637e-7,1.139406376422768e-9,8.229245394438068e-10,1.8316068432336912e-9
ids/LocallyNameless.UnboundGenerics/ids/5,5.160990731078121e-7,5.155169723264543e-7,5.168634445011387e-7,2.2867038822239763e-9,1.7097825238351453e-9,3.089659356206718e-9
ids/LocallyNameless.UnboundGenerics/ids/6,5.922478355670644e-7,5.914645182226534e-7,5.933834652173493e-7,3.1469825512443375e-9,2.0834059411587812e-9,4.353032850501608e-9
ids/LocallyNameless.UnboundGenerics/ids/7,6.626212431695746e-7,6.614033503991525e-7,6.64593985375493e-7,5.1061436298110655e-9,3.37873206588298e-9,7.94788894460706e-9
ids/LocallyNameless.UnboundGenerics/ids/8,7.378560204895788e-7,7.366933801260479e-7,7.398015780259921e-7,5.020450437764835e-9,3.534766512353071e-9,8.201138263957075e-9
ids/LocallyNameless.UnboundGenerics/ids/9,8.235598645131213e-7,8.220925346534892e-7,8.260742984351079e-7,6.149603878117309e-9,4.572071146396462e-9,9.724576755887284e-9
ids/LocallyNameless.UnboundGenerics/ids/10,8.902232704954889e-7,8.890194050164691e-7,8.923144716976922e-7,5.3809870181864735e-9,3.476156685667049e-9,8.637826438201764e-9
