Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.UnboundRep/adjustb/1,1.2196586755946077e-6,1.2184313742098377e-6,1.2220020220685115e-6,5.480474118818095e-9,3.6984554437580453e-9,8.235594538940103e-9
adjustb/LocallyNameless.UnboundRep/adjustb/2,5.171097554586239e-6,5.164877135165601e-6,5.181640709908572e-6,2.6794206368521524e-8,1.9061277148259674e-8,4.089575437338138e-8
adjustb/LocallyNameless.UnboundRep/adjustb/3,1.2806633552586321e-5,1.2789737674020096e-5,1.283722855549547e-5,7.574848399240654e-8,3.940476248244057e-8,1.236302038689703e-7
adjustb/LocallyNameless.UnboundRep/adjustb/4,2.428536836874506e-5,2.4260599990515934e-5,2.4314661096791162e-5,9.34732535994723e-8,8.080651520859803e-8,1.1114627129725991e-7
adjustb/LocallyNameless.UnboundRep/adjustb/5,4.222705570945325e-5,4.217063492334669e-5,4.230856230647024e-5,2.2698246094335818e-7,1.8113667799266487e-7,3.1537897561113665e-7
adjustb/LocallyNameless.UnboundRep/adjustb/6,6.558005474603707e-5,6.545777732809796e-5,6.577022024849673e-5,4.953870431792832e-7,3.7260382502571485e-7,6.610419774165626e-7
adjustb/LocallyNameless.UnboundRep/adjustb/7,9.581720176800341e-5,9.572532492710642e-5,9.596882953733247e-5,4.021271439448416e-7,2.4422320173451946e-7,6.112597067178396e-7
adjustb/LocallyNameless.UnboundRep/adjustb/8,1.3449530917105775e-4,1.34170447572346e-4,1.3491903329052978e-4,1.209329528956936e-6,9.251411416719672e-7,1.592374208345081e-6
adjustb/LocallyNameless.UnboundRep/adjustb/9,1.8117893756093055e-4,1.8096935353707967e-4,1.8154969895338321e-4,9.424476380539303e-7,6.472465292120679e-7,1.5136759731921577e-6
adjustb/LocallyNameless.UnboundRep/adjustb/10,2.4049172035920627e-4,2.4011980047207923e-4,2.409851871247069e-4,1.4075671385137417e-6,1.0475586828513668e-6,1.9890073227488263e-6
adjustb/LocallyNameless.UnboundRep/adjustb/11,3.1224172332671075e-4,3.117559957795475e-4,3.130965772276426e-4,2.1200238441889596e-6,1.4291962489940122e-6,3.341968201053556e-6
adjustb/LocallyNameless.UnboundRep/adjustb/12,3.942127669960854e-4,3.9372642865793375e-4,3.9481734177335267e-4,1.8695316394682196e-6,1.3818010218833739e-6,2.7184086243768556e-6
adjustb/LocallyNameless.UnboundRep/adjustb/13,4.914090371063512e-4,4.904753020254082e-4,4.925582936103352e-4,3.456342477957999e-6,2.5357698512057214e-6,4.4251476232054155e-6
adjustb/LocallyNameless.UnboundRep/adjustb/14,6.004779114956491e-4,5.987731033185331e-4,6.033743804939325e-4,7.341993367445597e-6,4.578045902646861e-6,1.2097601508896175e-5
adjustb/LocallyNameless.UnboundRep/adjustb/15,7.176794844420747e-4,7.161818936296686e-4,7.201953540184852e-4,6.27779616851175e-6,4.413385199448599e-6,8.668137587931548e-6
adjustb/LocallyNameless.UnboundRep/adjustb/16,8.57456570373184e-4,8.562473657788244e-4,8.591966775395165e-4,4.883963222891412e-6,3.2409481148978634e-6,7.222852582154705e-6
adjustb/LocallyNameless.UnboundRep/adjustb/17,1.0110304182534635e-3,1.0095312438124292e-3,1.013441037713961e-3,6.386437638887367e-6,4.2880251647492875e-6,1.1126130537014662e-5
adjustb/LocallyNameless.UnboundRep/adjustb/18,1.1830236384593699e-3,1.1810226645888851e-3,1.1862465559413847e-3,8.341470039720952e-6,6.006113200672026e-6,1.2966691873997312e-5
adjustb/LocallyNameless.UnboundRep/adjustb/19,1.3743198689083666e-3,1.371823118292164e-3,1.3783612232737838e-3,1.0346385824743479e-5,7.482479963080646e-6,1.6055712900935463e-5
adjustb/LocallyNameless.UnboundRep/adjustb/20,1.5824481394136477e-3,1.5782198851199275e-3,1.5899857001331911e-3,1.8871997290723415e-5,1.100342749418062e-5,3.346894616236481e-5
