Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.UnboundRep/capt/1,1.6188166671326755e-6,1.6144823194212537e-6,1.6285566276139082e-6,2.0304600960541378e-8,1.0179641646181054e-8,3.266912894198015e-8
capt/LocallyNameless.UnboundRep/capt/2,2.6376925861068843e-6,2.636554759225598e-6,2.6388941090138134e-6,3.798112940567879e-9,3.0923460877794425e-9,4.867324241910638e-9
capt/LocallyNameless.UnboundRep/capt/3,3.7255339513616185e-6,3.7205169167364047e-6,3.735723679607946e-6,2.2344789150021272e-8,1.2252100600208928e-8,4.0721300841835613e-8
capt/LocallyNameless.UnboundRep/capt/4,4.880490232968932e-6,4.872514927417496e-6,4.888998115461234e-6,2.761953642036452e-8,2.207370992235706e-8,3.725275736699377e-8
capt/LocallyNameless.UnboundRep/capt/5,6.298306182190544e-6,6.293651585274106e-6,6.30343509506838e-6,1.639362637390573e-8,1.3158716275951052e-8,2.2097961984588548e-8
capt/LocallyNameless.UnboundRep/capt/6,7.799267843793397e-6,7.778788406307413e-6,7.84698287056854e-6,9.37193987675588e-8,5.479136335922472e-8,1.6758727857019696e-7
capt/LocallyNameless.UnboundRep/capt/7,9.68015291423151e-6,9.644584719062614e-6,9.831323269923164e-6,1.9497873949739304e-7,6.595928398446019e-8,3.870855459471344e-7
capt/LocallyNameless.UnboundRep/capt/8,1.1139090379147301e-5,1.1131929919618985e-5,1.1148997608395278e-5,2.8244925906900497e-8,2.0898223693106065e-8,4.1072433639197685e-8
capt/LocallyNameless.UnboundRep/capt/9,1.3364848760059422e-5,1.334754510622263e-5,1.3396456789586759e-5,7.723300530940747e-8,5.364464193804322e-8,1.217527690553174e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.UnboundRep/capt/1,1.636030555379125e-6,1.6325492635295732e-6,1.6410791141020248e-6,1.3713198754709523e-8,1.0141164263372973e-8,1.9959981677298482e-8
capt/LocallyNameless.UnboundRep/capt/2,2.666829491712989e-6,2.6632654923605846e-6,2.672606117941219e-6,1.5515452480919885e-8,1.0395149683263117e-8,2.3723806766893127e-8
capt/LocallyNameless.UnboundRep/capt/3,3.7541619753347163e-6,3.745498545700253e-6,3.769354246230522e-6,3.6901828490262564e-8,2.1307106426344886e-8,6.327834789618712e-8
capt/LocallyNameless.UnboundRep/capt/4,4.951380890649017e-6,4.927410089029039e-6,4.975446339194886e-6,8.310484164168836e-8,7.531091005613883e-8,9.416189592028542e-8
capt/LocallyNameless.UnboundRep/capt/5,6.471104058613791e-6,6.462115948951959e-6,6.483955638294464e-6,3.568596291671667e-8,2.523330125294015e-8,5.4192061138369723e-8
capt/LocallyNameless.UnboundRep/capt/6,7.972037845468663e-6,7.963043479202152e-6,7.982806090089453e-6,3.288531063152035e-8,2.6850906844439094e-8,4.263154997726616e-8
capt/LocallyNameless.UnboundRep/capt/7,9.892392835452774e-6,9.87680387107508e-6,9.912787435720233e-6,5.7380929282298535e-8,4.519584208791276e-8,7.03817190682819e-8
capt/LocallyNameless.UnboundRep/capt/8,1.1361885792724638e-5,1.1337242995549353e-5,1.1447564478346018e-5,1.3032172264181308e-7,5.589070431205557e-8,2.5249775031515895e-7
capt/LocallyNameless.UnboundRep/capt/9,1.3497814792271633e-5,1.3481087989502491e-5,1.3527737646131705e-5,7.54354175115745e-8,4.74159940849135e-8,1.2229903651309127e-7
