Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.UnboundRep/con/1,2.1742318037880858e-7,2.1724155918599088e-7,2.1774656007437345e-7,8.116188913586256e-10,4.802728267996768e-10,1.3776205228116118e-9
con/LocallyNameless.UnboundRep/con/2,7.447389920348127e-7,7.433972308068597e-7,7.464374857083256e-7,4.992672178123804e-9,3.786842330908773e-9,7.085363306580179e-9
con/LocallyNameless.UnboundRep/con/3,1.5130854346917903e-6,1.5097024828900423e-6,1.5190636809563084e-6,1.5723406872302023e-8,1.0788149256088034e-8,2.2912471820821306e-8
con/LocallyNameless.UnboundRep/con/4,2.3145008229794804e-6,2.3065147502029946e-6,2.334476306399146e-6,3.879396041268953e-8,1.8007109922041313e-8,7.341147623101498e-8
con/LocallyNameless.UnboundRep/con/5,3.319713343662209e-6,3.316014413237963e-6,3.325678156625529e-6,1.4977471724545386e-8,1.0327891047536783e-8,2.113288464771322e-8
con/LocallyNameless.UnboundRep/con/6,4.456456039016482e-6,4.4502379984772075e-6,4.466875885105064e-6,2.833097489231125e-8,1.9262164679107316e-8,4.132026176084871e-8
con/LocallyNameless.UnboundRep/con/7,5.7065745600866826e-6,5.702220718506436e-6,5.711303065671147e-6,1.5816570419931662e-8,1.3674637818154759e-8,1.8502165408817228e-8
con/LocallyNameless.UnboundRep/con/8,7.18336284310694e-6,7.170697524714822e-6,7.199936110552262e-6,4.644182994574179e-8,3.35146307009595e-8,6.59536335650997e-8
con/LocallyNameless.UnboundRep/con/9,8.718017730883886e-6,8.708511779920851e-6,8.735361942495764e-6,4.3794505887786045e-8,2.9980695971187736e-8,7.765619292940578e-8
con/LocallyNameless.UnboundRep/con/10,1.0238526316360854e-5,1.0229863116053284e-5,1.0250798029524858e-5,3.496422304558509e-8,2.856862483378744e-8,4.388382819609329e-8
con/LocallyNameless.UnboundRep/con/11,1.2245299256289014e-5,1.222836033910522e-5,1.2281180703404346e-5,8.235553979264174e-8,5.254150970159637e-8,1.431476829770021e-7
con/LocallyNameless.UnboundRep/con/12,1.4307798760776008e-5,1.4290178609120624e-5,1.4338916269757254e-5,7.775960020766217e-8,5.189372515958611e-8,1.2021268892624085e-7
con/LocallyNameless.UnboundRep/con/13,1.6414968224339712e-5,1.6406736267744233e-5,1.6422918607927534e-5,2.839101657061543e-8,2.1947248915584426e-8,3.896306641094674e-8
con/LocallyNameless.UnboundRep/con/14,1.8801728759019095e-5,1.8768184813986615e-5,1.885040553710644e-5,1.3771283162503838e-7,9.249503752125428e-8,1.9293583754381857e-7
con/LocallyNameless.UnboundRep/con/15,2.1265565370965543e-5,2.1227565244312526e-5,2.1377046374704236e-5,1.956738375881922e-7,6.847412584758372e-8,3.7896316113216724e-7
con/LocallyNameless.UnboundRep/con/16,2.3748261974845043e-5,2.3717218209527707e-5,2.3886942313127052e-5,1.838652001999697e-7,3.2806759323829996e-8,4.1543157756447997e-7
con/LocallyNameless.UnboundRep/con/17,2.6513809619903968e-5,2.6470650541238977e-5,2.6591053122399986e-5,1.905646136407248e-7,1.218582674455742e-7,3.127657449455095e-7
con/LocallyNameless.UnboundRep/con/18,2.9403738443976366e-5,2.9372702091403064e-5,2.9458923082746692e-5,1.3632787945544621e-7,8.47075942521446e-8,2.3964846597831013e-7
con/LocallyNameless.UnboundRep/con/19,3.238732845844806e-5,3.23635819026879e-5,3.24167017710682e-5,8.942622324170422e-8,6.930550550758004e-8,1.2548936732434255e-7
con/LocallyNameless.UnboundRep/con/20,3.5727020264128624e-5,3.566576326435486e-5,3.58726138506107e-5,2.937065970701378e-7,1.594957973322447e-7,5.956599573088983e-7
