Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/Named.NominalG/adjust/1,8.145020080449239e-4,6.871161352643095e-4,9.691726309701978e-4,3.7514502108545577e-4,2.903981221608642e-4,4.6250619171562136e-4
adjust/Named.NominalG/adjust/2,4.144491626035084e-3,4.006673716898969e-3,4.314708710790504e-3,4.652469097444156e-4,3.9197865272961165e-4,5.649686141344269e-4
adjust/Named.NominalG/adjust/3,8.46300784567988e-3,8.323774976845354e-3,8.659936901350616e-3,4.7802702842215483e-4,3.9403642161293256e-4,5.993518599987219e-4
adjust/Named.NominalG/adjust/4,1.3396754618580956e-2,1.3167539200559882e-2,1.3688624088434504e-2,6.104881828087618e-4,4.797636158498484e-4,7.583910367662689e-4
adjust/Named.NominalG/adjust/5,1.94427499894503e-2,1.9197881597246478e-2,1.9750441970731752e-2,6.250846954262622e-4,5.03225128845497e-4,7.845980821941032e-4
adjust/Named.NominalG/adjust/6,2.614077285662352e-2,2.5827240724542982e-2,2.6497158690267742e-2,7.09525728037971e-4,5.316075701208003e-4,9.615669773946091e-4
adjust/Named.NominalG/adjust/7,3.3624903604331166e-2,3.335654209841692e-2,3.401167822191023e-2,6.911643159737144e-4,4.947370425207094e-4,8.768097945647122e-4
adjust/Named.NominalG/adjust/8,4.1539175984250956e-2,4.1138599638455974e-2,4.196387630910687e-2,8.038391872758626e-4,6.253469013811362e-4,1.0284096472438396e-3
adjust/Named.NominalG/adjust/9,5.048044776361839e-2,5.0204876519368606e-2,5.081848369374197e-2,6.036284507992654e-4,4.4501111786615644e-4,8.317323832621421e-4
adjust/Named.NominalG/adjust/10,5.929955169185085e-2,5.881102815259704e-2,5.987289110577971e-2,9.271299071759704e-4,6.672402879780503e-4,1.2616411803961054e-3
adjust/Named.NominalG/adjust/11,6.935093309937264e-2,6.885551513685617e-2,7.001383584230575e-2,1.0022807872784715e-3,6.958798071117099e-4,1.4183769981411132e-3
