Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/Named.NominalG/con/1,8.250743927875372e-4,7.079721362261318e-4,9.876669551752983e-4,3.737826635566275e-4,3.114228183794368e-4,4.6183696360575457e-4
con/Named.NominalG/con/2,4.1632211936332856e-3,4.016978363282232e-3,4.321726151474021e-3,4.7648617984521465e-4,3.940399787039145e-4,5.74618036139932e-4
con/Named.NominalG/con/3,8.501402798993208e-3,8.338535933823058e-3,8.700867360223727e-3,4.871696206884261e-4,3.90420431107027e-4,6.132502686988183e-4
con/Named.NominalG/con/4,1.332787822071656e-2,1.308411979782933e-2,1.3586298594257383e-2,6.562770988585912e-4,5.359263688680305e-4,8.046569053667813e-4
con/Named.NominalG/con/5,1.937099102838205e-2,1.9075437964086468e-2,1.9732893380039872e-2,7.672555267287711e-4,6.263742248506787e-4,9.781915425994899e-4
con/Named.NominalG/con/6,2.622116545369985e-2,2.5927524972074758e-2,2.656322220863631e-2,6.923858350443361e-4,5.184021040996045e-4,8.949481544881402e-4
con/Named.NominalG/con/7,3.3718720491392525e-2,3.335731781972556e-2,3.417707197545588e-2,8.923663688317424e-4,6.714356453275454e-4,1.194727489526031e-3
con/Named.NominalG/con/8,4.200938383749175e-2,4.152955216439732e-2,4.250155781721677e-2,9.519348570983288e-4,7.801683427971504e-4,1.1275422348371548e-3
con/Named.NominalG/con/9,5.0768831708471095e-2,5.04064239360856e-2,5.128763589069103e-2,8.084169268030818e-4,5.573182478445927e-4,1.1511187177473516e-3
con/Named.NominalG/con/10,5.963157002612734e-2,5.913010329089639e-2,6.022788590650974e-2,1.0636002573355668e-3,8.014262507895853e-4,1.360531231004624e-3
con/Named.NominalG/con/11,7.004261945060748e-2,6.913901689173937e-2,7.087375370995902e-2,1.5065120488577685e-3,1.1025633510924435e-3,2.0670946755161302e-3
con/Named.NominalG/con/12,8.072597120879696e-2,8.009805753667024e-2,8.131008682167573e-2,1.018338261308812e-3,7.533197256789604e-4,1.4439283680159761e-3
con/Named.NominalG/con/13,9.152903841028025e-2,9.088736192670357e-2,9.220531554698634e-2,1.062851365203986e-3,8.214591820732517e-4,1.4157920458881031e-3
con/Named.NominalG/con/14,0.10342312039075044,0.10283120916493418,0.10403097531290843,9.62718688270763e-4,6.685417182513639e-4,1.3664184380121752e-3
con/Named.NominalG/con/15,0.11485421825981619,0.11441123054592026,0.11533325361387185,7.121450818355552e-4,5.115628127244622e-4,1.0072471090333986e-3
con/Named.NominalG/con/16,0.1264465871950181,0.12557248276945238,0.12808670863267338,1.8240746676049715e-3,1.0278359208340478e-3,2.6353822637367103e-3
con/Named.NominalG/con/17,0.1402285408943511,0.13953682035950193,0.1407127988101888,8.656359667047488e-4,5.429790357905229e-4,1.3734365799058827e-3
con/Named.NominalG/con/18,0.1536849726321529,0.1530972473122588,0.15453064847489276,1.0684292027165463e-3,5.316007791398896e-4,1.6610709423108838e-3
con/Named.NominalG/con/19,0.16733308807980599,0.1663373348617045,0.16822919754690982,1.4146061715690499e-3,1.036293045257189e-3,1.8724747314212186e-3
con/Named.NominalG/con/20,0.18152741468964248,0.1805074470639132,0.18322005017366286,1.7977113335056034e-3,5.66249484564971e-4,2.752294323706688e-3
