Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/Named.NominalG/ids/1,8.109388363908914e-4,6.662824406079447e-4,9.610384475123321e-4,3.941123624588629e-4,3.1845096078713666e-4,5.017003198148812e-4
ids/Named.NominalG/ids/2,2.108513697085056e-3,2.0403039350638005e-3,2.1792735022330024e-3,2.2971568924392096e-4,1.8890580047171054e-4,2.8368360371630033e-4
ids/Named.NominalG/ids/3,2.8199665092398566e-3,2.7751545417214266e-3,2.8652553558539593e-3,1.4774518930630538e-4,1.2166395836519484e-4,1.8425627473950124e-4
ids/Named.NominalG/ids/4,3.34866687084833e-3,3.305749830912813e-3,3.405783443733639e-3,1.5818911296529628e-4,1.3252097955135126e-4,1.9291446223650426e-4
ids/Named.NominalG/ids/5,3.885115437730735e-3,3.8407870595552514e-3,3.9271051332965615e-3,1.442026306027113e-4,1.2158512891391064e-4,1.7345211455739075e-4
ids/Named.NominalG/ids/6,4.387590737205272e-3,4.349088707104469e-3,4.425399967397311e-3,1.2720606945665466e-4,1.0256258964929956e-4,1.642752333717319e-4
ids/Named.NominalG/ids/7,4.840702634798674e-3,4.794985515920461e-3,4.885020829260081e-3,1.3678966285184409e-4,1.1483894202790512e-4,1.618049838340451e-4
ids/Named.NominalG/ids/8,5.228163593161336e-3,5.186211987415434e-3,5.278595283780383e-3,1.4808122550650005e-4,1.1775262290928902e-4,2.0611849834026332e-4
ids/Named.NominalG/ids/9,5.564490191256792e-3,5.535405563418883e-3,5.59423219180193e-3,8.700806911200364e-5,7.247298044245352e-5,1.1149914902623952e-4
ids/Named.NominalG/ids/10,5.927464056234645e-3,5.8845442606346365e-3,5.977730361646959e-3,1.372463659531853e-4,1.1522105609312177e-4,1.6193615512114545e-4
