Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/Named.SimpleH/con/1,5.986756698162744e-8,5.969764704796143e-8,6.032531848370378e-8,8.480196060260212e-10,3.7957502505211653e-10,1.6348648105608967e-9
con/Named.SimpleH/con/2,1.4864438070585462e-7,1.484384269384479e-7,1.489555470542387e-7,8.245060832486453e-10,5.782369335796843e-10,1.2402970250095182e-9
con/Named.SimpleH/con/3,2.3883079485181847e-7,2.38055798487627e-7,2.40235951147164e-7,3.526184538677405e-9,2.255296466392099e-9,5.1831707013247445e-9
con/Named.SimpleH/con/4,3.128829666219698e-7,3.114020540869022e-7,3.145637913628844e-7,5.254295691301764e-9,4.64453211365859e-9,6.068114654777247e-9
con/Named.SimpleH/con/5,3.8741014632137404e-7,3.866341646459344e-7,3.8926819641498835e-7,3.8422280491192666e-9,2.328453303166614e-9,6.756908999084936e-9
con/Named.SimpleH/con/6,4.4748001263355446e-7,4.467418797054858e-7,4.485608110194333e-7,2.833151196339678e-9,2.2027196674312034e-9,4.173527166708318e-9
con/Named.SimpleH/con/7,5.657252608224211e-7,5.623744044834907e-7,5.688168359294616e-7,1.068065974679154e-8,8.179465132094246e-9,1.505564626284154e-8
con/Named.SimpleH/con/8,5.944700233135798e-7,5.919658361405383e-7,5.99636526808103e-7,1.1198814090226067e-8,4.167356452212684e-9,1.9768261615944958e-8
con/Named.SimpleH/con/9,7.030288490351865e-7,6.963939299409454e-7,7.106428006890266e-7,2.3653065990502578e-8,2.1184543440636754e-8,2.6874758754885778e-8
con/Named.SimpleH/con/10,7.346553715238679e-7,7.319530411500316e-7,7.415214313693573e-7,1.276752008492297e-8,7.448745111863056e-9,2.6244784058020978e-8
con/Named.SimpleH/con/11,8.067829887774636e-7,8.051982022215189e-7,8.087072988541191e-7,5.975945367483111e-9,5.025955204040641e-9,7.386504144851762e-9
con/Named.SimpleH/con/12,9.288148125150178e-7,9.156781942179206e-7,9.425952726526618e-7,4.613784948881942e-8,4.202252651879059e-8,5.0556256189114275e-8
con/Named.SimpleH/con/13,9.641429736095183e-7,9.609763138721048e-7,9.699109154947027e-7,1.3454305258212204e-8,1.0556272511848219e-8,1.8793874420684828e-8
con/Named.SimpleH/con/14,1.0656058590267146e-6,1.0510417033082774e-6,1.0835224144384821e-6,5.7084318824318983e-8,4.737226718948219e-8,6.526251627454594e-8
con/Named.SimpleH/con/15,1.089966317525168e-6,1.08904508801988e-6,1.0920314685801141e-6,4.3716728302403394e-9,2.1947984277758227e-9,8.342997595012088e-9
con/Named.SimpleH/con/16,1.2227855074261431e-6,1.200800479330339e-6,1.2431762442052547e-6,7.181560640041165e-8,6.403244211867019e-8,7.628197036857062e-8
con/Named.SimpleH/con/17,1.242017395931147e-6,1.2358601340325167e-6,1.2559937001572245e-6,2.92921381635752e-8,8.073952337175531e-9,5.257351915190687e-8
con/Named.SimpleH/con/18,1.330611332320517e-6,1.3217377364923869e-6,1.344093751333222e-6,3.744094230044077e-8,2.747533154271166e-8,5.2118562571919125e-8
con/Named.SimpleH/con/19,1.4753245503159354e-6,1.4532593602057838e-6,1.498940801484494e-6,7.652887066985782e-8,6.86120036643431e-8,8.526817410371392e-8
con/Named.SimpleH/con/20,1.4510656245352621e-6,1.4432130205811171e-6,1.4693988679737943e-6,3.879098951250765e-8,1.5823912393013677e-8,7.446096764795454e-8
