Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/Named.SimpleH/ids/1,6.008522673120077e-8,5.987503090013789e-8,6.059631395380813e-8,1.0164292521514913e-9,5.164664974259575e-10,1.9930004935720334e-9
ids/Named.SimpleH/ids/2,9.223022215374438e-8,9.210782119891935e-8,9.240633737944711e-8,4.710645446954323e-10,3.43147533991593e-10,6.938255665110627e-10
ids/Named.SimpleH/ids/3,1.2137795315089564e-7,1.2115874695024601e-7,1.2165621973383971e-7,8.550190278954595e-10,7.041804514438321e-10,1.1449994131475057e-9
ids/Named.SimpleH/ids/4,1.4370414878496847e-7,1.4349675126252172e-7,1.4398093527257568e-7,8.170317878526374e-10,6.10706629966978e-10,1.1045492255943934e-9
ids/Named.SimpleH/ids/5,1.6737974081408365e-7,1.6714503447151272e-7,1.6771001782068942e-7,9.423199098783587e-10,6.803268594715419e-10,1.333877031923537e-9
ids/Named.SimpleH/ids/6,1.9337794082734835e-7,1.9296103109924048e-7,1.9404697785802168e-7,1.795113160895178e-9,1.3117576436112088e-9,2.419726962296486e-9
ids/Named.SimpleH/ids/7,2.180028138464462e-7,2.1697075986231267e-7,2.2125530675177986e-7,5.2944918049079005e-9,2.3227838833293296e-9,1.0851317540757926e-8
ids/Named.SimpleH/ids/8,2.398057694440266e-7,2.3920940068404923e-7,2.4091684177503477e-7,2.6281179912899672e-9,1.7331626756050399e-9,3.6768887877231286e-9
ids/Named.SimpleH/ids/9,2.660022763334351e-7,2.656014356895593e-7,2.666160628521278e-7,1.5752521731019253e-9,1.2964527451864479e-9,2.1359661509857363e-9
ids/Named.SimpleH/ids/10,2.9093952643832087e-7,2.9037408642775786e-7,2.9183376172845095e-7,2.318409110353136e-9,1.4267581763274222e-9,3.914024060604841e-9
