Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/Named.SimpleM/con/1,1.1163533875737523e-7,1.1135441351289636e-7,1.1228108071081299e-7,1.3449508554563433e-9,6.567648550957215e-10,2.528032929652689e-9
con/Named.SimpleM/con/2,4.128890448845568e-7,4.12408797600615e-7,4.138369516926346e-7,2.2291524849470225e-9,1.2430712589436246e-9,3.6622064769326773e-9
con/Named.SimpleM/con/3,7.61686511016894e-7,7.600211642556393e-7,7.637909538683426e-7,6.440854812383162e-9,5.328049482730851e-9,8.715735778525038e-9
con/Named.SimpleM/con/4,1.068327418574446e-6,1.0665723098461748e-6,1.0705766180456382e-6,6.656782659901253e-9,5.395506872130398e-9,8.284968116046401e-9
con/Named.SimpleM/con/5,1.3733120494975893e-6,1.3718739497299982e-6,1.3751741085121626e-6,5.366111484215068e-9,3.981999277162455e-9,7.304681524939041e-9
con/Named.SimpleM/con/6,1.6965893007013616e-6,1.6925810926363978e-6,1.7006966534274727e-6,1.3001627927967645e-8,1.0363600396928752e-8,1.5995992453523046e-8
con/Named.SimpleM/con/7,1.9850808646394462e-6,1.978535197178305e-6,2.000695913331654e-6,3.307860416902149e-8,1.6831772571489707e-8,5.7828794637734847e-8
con/Named.SimpleM/con/8,2.2953900343856606e-6,2.2916949124616285e-6,2.303296026834684e-6,1.7008821512562076e-8,9.39155385521408e-9,3.113270092035298e-8
con/Named.SimpleM/con/9,2.6130174180972628e-6,2.608755291961583e-6,2.6188006512828346e-6,1.6425001536433897e-8,1.302243337655165e-8,2.278118305783006e-8
con/Named.SimpleM/con/10,2.904688721812977e-6,2.9012981730408606e-6,2.909000692000033e-6,1.3010840763839012e-8,9.056936288707065e-9,1.8799998523747926e-8
con/Named.SimpleM/con/11,3.2227728480561135e-6,3.2198222831420048e-6,3.2256590511607877e-6,1.0228898247565922e-8,8.295568669677701e-9,1.3330753918602842e-8
con/Named.SimpleM/con/12,3.53084618300496e-6,3.5250838879297902e-6,3.5376872009316843e-6,2.120002395402045e-8,1.5903316233889237e-8,2.8041900099757143e-8
con/Named.SimpleM/con/13,3.872624404285095e-6,3.854881787378012e-6,3.918777229523225e-6,8.845904920430391e-8,4.1171934083780093e-8,1.6750470744263307e-7
con/Named.SimpleM/con/14,4.107006004094849e-6,4.105041153852308e-6,4.110084376391092e-6,8.016495211564987e-9,5.837587204191385e-9,1.3080798428793337e-8
con/Named.SimpleM/con/15,4.463635617700228e-6,4.457086716350403e-6,4.471696280317301e-6,2.4963138249487623e-8,2.0390904872017722e-8,3.011274739355232e-8
con/Named.SimpleM/con/16,4.79020347571171e-6,4.782076627453205e-6,4.799311768397579e-6,2.924498705407884e-8,2.2856028344295148e-8,3.8198830985704776e-8
con/Named.SimpleM/con/17,5.0699950190642555e-6,5.0658236493934896e-6,5.075841375845287e-6,1.6866547219344822e-8,1.2209031947782256e-8,2.546600767326927e-8
con/Named.SimpleM/con/18,5.413967434688913e-6,5.403331343490149e-6,5.425740655116309e-6,3.76387939933228e-8,3.1117327367840675e-8,4.6685212355611826e-8
con/Named.SimpleM/con/19,5.7807103881877935e-6,5.724146153879078e-6,5.99230735494225e-6,3.458401580429372e-7,4.628913470774855e-8,7.313863799030498e-7
con/Named.SimpleM/con/20,5.9863436552197045e-6,5.979969260031112e-6,5.99642549906879e-6,2.6066259736897058e-8,1.82391958970311e-8,3.654682926125043e-8
