Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/Named.SimpleM/ids/1,1.0996402443458351e-7,1.097950426366353e-7,1.1021028535852768e-7,6.960916664494275e-10,4.770343947690217e-10,1.0982336232037467e-9
ids/Named.SimpleM/ids/2,1.5771209739529218e-7,1.5658709449094521e-7,1.5885991689889275e-7,3.7734687627648e-9,3.3810183524440377e-9,4.293202828346368e-9
ids/Named.SimpleM/ids/3,1.9177775841270458e-7,1.915723851294168e-7,1.9210798681912199e-7,8.897354569541055e-10,6.368715197257337e-10,1.5046725636419077e-9
ids/Named.SimpleM/ids/4,2.2273587776867106e-7,2.223111081292246e-7,2.2322559140899988e-7,1.5344190819509876e-9,1.1713222669436338e-9,2.0214701396197044e-9
ids/Named.SimpleM/ids/5,2.5891823253674846e-7,2.584045817303288e-7,2.596242497272733e-7,1.9682468976930486e-9,1.4678747793974695e-9,2.6713438690719634e-9
ids/Named.SimpleM/ids/6,2.921337394645409e-7,2.9096013563614813e-7,2.9556607575348096e-7,6.238695636105546e-9,2.191116822627627e-9,1.1313703639320778e-8
ids/Named.SimpleM/ids/7,3.276076692532059e-7,3.25636975538412e-7,3.3313692211340917e-7,9.42570249965404e-9,4.11366174628989e-9,1.6984516514350408e-8
ids/Named.SimpleM/ids/8,3.616244385845614e-7,3.6051781921859785e-7,3.631997857317522e-7,4.183977159746004e-9,2.715304397689276e-9,6.7797795869835655e-9
ids/Named.SimpleM/ids/9,3.950276913375488e-7,3.942765530474201e-7,3.966376789669327e-7,3.5813576633650258e-9,2.1639779274433583e-9,5.451243833049026e-9
ids/Named.SimpleM/ids/10,4.3117890529306183e-7,4.302411688082036e-7,4.3250229979744596e-7,3.7172406297011946e-9,2.707179956073863e-9,5.345842381303204e-9
