Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Bound/adjust/1,4.174830466766392e-8,4.173064072663194e-8,4.177322900108638e-8,7.4736509132906e-11,5.1073486053758934e-11,1.0452738177416474e-10
adjust/DeBruijn.Bound/adjust/2,2.050596209978112e-7,2.049593792659755e-7,2.0528837136502353e-7,4.737191907091777e-10,2.7771059297173027e-10,8.597851871320597e-10
adjust/DeBruijn.Bound/adjust/3,6.354918625383168e-7,6.348218185993748e-7,6.361527232020192e-7,2.2183593041780586e-9,1.841473687615693e-9,2.582711520549543e-9
adjust/DeBruijn.Bound/adjust/4,1.5232284521713609e-6,1.5224868843862912e-6,1.5242105795594872e-6,2.9583249094733117e-9,1.959950774591973e-9,4.605525288247088e-9
adjust/DeBruijn.Bound/adjust/5,3.0220888377739707e-6,3.0191771146581467e-6,3.0259735687626767e-6,1.1447515429950027e-8,8.418363203732973e-9,1.7809162060674508e-8
adjust/DeBruijn.Bound/adjust/6,5.25970540589613e-6,5.256448033989817e-6,5.265612236236083e-6,1.4682161160374148e-8,8.789672669811522e-9,2.674525477212217e-8
adjust/DeBruijn.Bound/adjust/7,8.995084686940411e-6,8.98977665541077e-6,9.001586445162293e-6,1.981913402709331e-8,1.4565282356609831e-8,2.6626448499669226e-8
adjust/DeBruijn.Bound/adjust/8,1.4588670820629491e-5,1.4579870520285236e-5,1.4601429888427901e-5,3.383396806156581e-8,2.420030048518568e-8,4.7654376472293215e-8
adjust/DeBruijn.Bound/adjust/9,2.2328933088549674e-5,2.2260812985281936e-5,2.2406155245302784e-5,2.637518492996906e-7,2.3726912349485266e-7,2.917308077482148e-7
adjust/DeBruijn.Bound/adjust/10,3.245519117876048e-5,3.2429955700187903e-5,3.2512719305827924e-5,1.227282360454855e-7,6.475295042426503e-8,2.4413937422915674e-7
adjust/DeBruijn.Bound/adjust/11,4.623088925488304e-5,4.6200920739265916e-5,4.6273214878891396e-5,1.2257437707923518e-7,8.79151833432053e-8,1.7699384503502372e-7
adjust/DeBruijn.Bound/adjust/12,6.41411985719384e-5,6.403506517681355e-5,6.433608704711057e-5,4.781217091839706e-7,3.166460742098861e-7,7.918088341002161e-7
adjust/DeBruijn.Bound/adjust/13,8.661505413273238e-5,8.65662843054891e-5,8.669381995278628e-5,2.1901019175323475e-7,1.2706766664659776e-7,3.683678827919175e-7
adjust/DeBruijn.Bound/adjust/14,1.1438734873965426e-4,1.1434639190919842e-4,1.1442903002992538e-4,1.4616200291006968e-7,1.1526559846879873e-7,1.8784468050088057e-7
adjust/DeBruijn.Bound/adjust/15,1.5070166666940124e-4,1.50642157859564e-4,1.508199667982509e-4,2.7339150588441473e-7,1.5154156287727511e-7,4.5109128851148223e-7
adjust/DeBruijn.Bound/adjust/16,2.002720877368241e-4,1.9875728488805069e-4,2.043059885334079e-4,8.059566355392343e-6,4.019756500612804e-6,1.500376885452157e-5
adjust/DeBruijn.Bound/adjust/17,2.899760031799417e-4,2.8451121732452766e-4,2.9774933244244053e-4,2.1988184875743017e-5,1.6949635467268866e-5,3.0579954768564096e-5
adjust/DeBruijn.Bound/adjust/18,4.515994460736264e-4,4.432558268238444e-4,4.6121906570316845e-4,3.0375360629868544e-5,2.274943284241793e-5,3.898738080872819e-5
adjust/DeBruijn.Bound/adjust/19,7.030924628491614e-4,6.933456664564699e-4,7.163476558535026e-4,3.778402598009288e-5,2.8648252118299498e-5,5.3652738857044375e-5
adjust/DeBruijn.Bound/adjust/20,9.84077998543083e-4,9.718316795118067e-4,9.976053322177053e-4,4.5058409159002484e-5,3.5106962929103315e-5,6.54821393593306e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Bound/adjust/1,3.97620075783495e-8,3.958825639912555e-8,4.004664040244727e-8,7.222379788550278e-10,4.946115451950169e-10,9.240354563514094e-10
adjust/DeBruijn.Bound/adjust/2,2.0172475114621746e-7,2.002767194457512e-7,2.0303923179195208e-7,4.5948056634125715e-9,3.865564028073314e-9,5.342237628565211e-9
adjust/DeBruijn.Bound/adjust/3,6.118488794029633e-7,6.06547293343098e-7,6.202088470419407e-7,2.089001352618666e-8,1.6627417835040553e-8,2.9698354484467028e-8
adjust/DeBruijn.Bound/adjust/4,1.4995272522783411e-6,1.4882410259357987e-6,1.5136617734194642e-6,4.232554685945778e-8,3.600782255241473e-8,5.3846940818789236e-8
adjust/DeBruijn.Bound/adjust/5,2.8893316347503422e-6,2.885308887129113e-6,2.8937891489562555e-6,1.4525505430027346e-8,1.2207703726788569e-8,1.9776906167800313e-8
