Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.CPDT/adjust/1,2.318191981014397e-8,2.316297761687758e-8,2.3202822668248187e-8,6.511929999030472e-11,5.590916140062313e-11,7.681689002696185e-11
adjust/DeBruijn.CPDT/adjust/2,9.374414195037173e-8,9.367874856448413e-8,9.382849735156224e-8,2.579996869603363e-10,2.1197254934510547e-10,3.2898952663069375e-10
adjust/DeBruijn.CPDT/adjust/3,2.3914121343581636e-7,2.3888096842539143e-7,2.3946465622469545e-7,9.962529349883805e-10,8.095464486253054e-10,1.2976474937748724e-9
adjust/DeBruijn.CPDT/adjust/4,4.587457572510951e-7,4.581999800588491e-7,4.593005406671769e-7,1.8396402278806932e-9,1.577363327264066e-9,2.1637651001676695e-9
adjust/DeBruijn.CPDT/adjust/5,7.437573913661561e-7,7.430752670980487e-7,7.448272618687447e-7,2.898188858131098e-9,2.0230375393679917e-9,4.744764013774612e-9
adjust/DeBruijn.CPDT/adjust/6,1.176253056387436e-6,1.1753144420568902e-6,1.177167052362069e-6,3.24407487087198e-9,2.7667490196438094e-9,3.81900551064975e-9
adjust/DeBruijn.CPDT/adjust/7,1.6921336306302773e-6,1.6907676980386356e-6,1.6946350967863122e-6,6.154824629830133e-9,4.452936431078055e-9,9.028028615006892e-9
adjust/DeBruijn.CPDT/adjust/8,2.4866560245570724e-6,2.4849123690917125e-6,2.4886238319377895e-6,6.597276876435174e-9,5.5736250988226734e-9,7.899109095094212e-9
adjust/DeBruijn.CPDT/adjust/9,3.340182498765484e-6,3.337574019490622e-6,3.3437791026388258e-6,1.0063826898955667e-8,7.715108629650856e-9,1.2224138763516247e-8
adjust/DeBruijn.CPDT/adjust/10,4.386043679280355e-6,4.383800552670931e-6,4.389127069399398e-6,8.869508854910292e-9,6.778319898351464e-9,1.232090447417376e-8
adjust/DeBruijn.CPDT/adjust/11,5.607298610369904e-6,5.6039972941564976e-6,5.61316838688478e-6,1.4413318956108993e-8,9.051617907354773e-9,2.5275669482156437e-8
adjust/DeBruijn.CPDT/adjust/12,7.0512483409992015e-6,7.046679930291113e-6,7.058381826464953e-6,1.8946572982716048e-8,1.4408073124256824e-8,2.4918081318856727e-8
adjust/DeBruijn.CPDT/adjust/13,8.724998720044727e-6,8.719769524497422e-6,8.732455459196015e-6,1.9974068460387787e-8,1.4139610070650984e-8,3.054784164964989e-8
adjust/DeBruijn.CPDT/adjust/14,1.0621437445400628e-5,1.0613240708853022e-5,1.0634688539072407e-5,3.341494823473283e-8,2.4575892607082976e-8,5.472984930492978e-8
adjust/DeBruijn.CPDT/adjust/15,1.2892086502046333e-5,1.2881327417785727e-5,1.2908860892197754e-5,4.134860862704777e-8,2.569960325920311e-8,6.192159114546957e-8
adjust/DeBruijn.CPDT/adjust/16,1.5297985416919026e-5,1.528534950591306e-5,1.531428796653676e-5,4.726753118915442e-8,3.413185066346411e-8,6.817043813158208e-8
adjust/DeBruijn.CPDT/adjust/17,1.8089935210666317e-5,1.80802005258049e-5,1.8105345837085007e-5,3.795317420390495e-8,2.8151328982818904e-8,5.487615185370323e-8
adjust/DeBruijn.CPDT/adjust/18,2.094307820410962e-5,2.0926795234949634e-5,2.097098718340732e-5,7.180139360618243e-8,5.1600008330305694e-8,9.638717717770125e-8
adjust/DeBruijn.CPDT/adjust/19,2.4671805159472353e-5,2.4654931317042475e-5,2.470574603356464e-5,7.91495839694303e-8,4.8687652194791506e-8,1.2805207546076535e-7
adjust/DeBruijn.CPDT/adjust/20,2.834078732284769e-5,2.832566875957242e-5,2.8363815522553713e-5,6.077074374837934e-8,4.027473832636713e-8,8.372664515915858e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.CPDT/adjust/1,2.042897794538032e-8,2.0332519753058853e-8,2.0561274627239067e-8,3.9663212974757413e-10,2.947132940195894e-10,4.966623113952432e-10
adjust/DeBruijn.CPDT/adjust/2,8.669052183624495e-8,8.62265948108189e-8,8.738032996942568e-8,1.8601687815301898e-9,1.430362456028469e-9,2.4025373332396534e-9
adjust/DeBruijn.CPDT/adjust/3,2.3695102704451733e-7,2.3534348227689504e-7,2.389668887855559e-7,6.014493125767181e-9,5.148161151025401e-9,7.803054421125028e-9
adjust/DeBruijn.CPDT/adjust/4,4.3714171591880897e-7,4.368359028238205e-7,4.3747654102642163e-7,1.118493809675638e-9,8.335543432601243e-10,1.5921204401802118e-9
adjust/DeBruijn.CPDT/adjust/5,7.100686571647325e-7,7.096206690542407e-7,7.106188072885052e-7,1.694499927880371e-9,1.3077110940637189e-9,2.1426096769426728e-9
adjust/DeBruijn.CPDT/adjust/6,1.1146846828660283e-6,1.1142190425502162e-6,1.1155582870996434e-6,2.0645776243067974e-9,1.3504992043015276e-9,3.5119012930763252e-9
adjust/DeBruijn.CPDT/adjust/7,1.636512492279843e-6,1.63531591877021e-6,1.6382775491204437e-6,5.0444722122208966e-9,3.705181861645711e-9,6.531698739698043e-9
adjust/DeBruijn.CPDT/adjust/8,2.412387977579596e-6,2.4108482507784883e-6,2.414520083081924e-6,5.722479817882023e-9,4.480400657871157e-9,7.622120372229094e-9
adjust/DeBruijn.CPDT/adjust/9,3.341187553287023e-6,3.320089864360954e-6,3.373420383553254e-6,8.739493937794948e-8,7.106989823674985e-8,1.2385793672876116e-7
adjust/DeBruijn.CPDT/adjust/10,4.295885789889095e-6,4.280646780939627e-6,4.319765927172634e-6,6.155154602266274e-8,4.189432811709815e-8,1.0550347045464872e-7
adjust/DeBruijn.CPDT/adjust/11,5.5535387554597775e-6,5.546639003586113e-6,5.563580791489424e-6,2.9313048935260863e-8,1.9730297304024663e-8,4.82847567638263e-8
adjust/DeBruijn.CPDT/adjust/12,6.984145848004894e-6,6.975315671905865e-6,6.999655975558886e-6,3.5471782032281397e-8,2.3285807795634795e-8,6.10366340395553e-8
adjust/DeBruijn.CPDT/adjust/13,8.657340957150038e-6,8.63429900454075e-6,8.688753812836137e-6,8.56457191927748e-8,5.637324971405987e-8,1.2157614411462772e-7
adjust/DeBruijn.CPDT/adjust/14,1.0697493720978435e-5,1.0654354196489204e-5,1.074396859818419e-5,1.5578335553858881e-7,1.2675636265046793e-7,2.282067200511544e-7
adjust/DeBruijn.CPDT/adjust/15,1.3366773643917914e-5,1.3271907406171863e-5,1.3439521034000275e-5,2.834696960048961e-7,2.3146971840316794e-7,3.421918575179394e-7
adjust/DeBruijn.CPDT/adjust/16,1.5701079701757392e-5,1.5641092190596108e-5,1.5777900574087375e-5,2.2427586628182915e-7,1.8615670769537078e-7,2.813278871778527e-7
adjust/DeBruijn.CPDT/adjust/17,1.8432681893799197e-5,1.8367655151684204e-5,1.850784480760898e-5,2.289443745676612e-7,1.8429675514064793e-7,2.8045069402257616e-7
adjust/DeBruijn.CPDT/adjust/18,2.1507443772323853e-5,2.1378881288197e-5,2.1665746186305707e-5,4.880166716055118e-7,4.173777424215232e-7,5.749805697949559e-7
adjust/DeBruijn.CPDT/adjust/19,2.5305312001335807e-5,2.5153079482887826e-5,2.5495354634146802e-5,5.779538415013383e-7,4.960134518456031e-7,6.411738145472508e-7
adjust/DeBruijn.CPDT/adjust/20,2.9229733343863212e-5,2.9134352554638687e-5,2.9339746414897692e-5,3.512315416589921e-7,2.798752511466495e-7,4.4766982263468356e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.CPDT/adjust/1,2.1923512875048226e-8,2.189693085055538e-8,2.1967883664006e-8,1.1066054094989297e-10,8.008614555407143e-11,1.542087768244981e-10
adjust/DeBruijn.CPDT/adjust/2,8.795995699985717e-8,8.790775975649543e-8,8.803794564735518e-8,2.2775880433252687e-10,1.7226276691026402e-10,3.2030499687738756e-10
adjust/DeBruijn.CPDT/adjust/3,2.3088699976043266e-7,2.3064768471324458e-7,2.3153021346595152e-7,1.236132752607934e-9,4.910604293697579e-10,2.583494121783114e-9
adjust/DeBruijn.CPDT/adjust/4,4.507769157935863e-7,4.49348293008809e-7,4.533403070669011e-7,6.475505313575031e-9,4.282919545723985e-9,9.214991389247803e-9
adjust/DeBruijn.CPDT/adjust/5,7.262798814750918e-7,7.247159156167209e-7,7.287479442464246e-7,6.353907696573575e-9,3.515422831452596e-9,1.050112478722338e-8
adjust/DeBruijn.CPDT/adjust/6,1.1461142555206939e-6,1.1435349227118647e-6,1.1504699180213856e-6,1.0565295002886725e-8,8.100408323117204e-9,1.5527407522087638e-8
adjust/DeBruijn.CPDT/adjust/7,1.7030465799175043e-6,1.692363102166676e-6,1.7156302337743283e-6,3.9274955459298614e-8,2.994496662127542e-8,4.84245928828042e-8
adjust/DeBruijn.CPDT/adjust/8,2.5395712087618116e-6,2.5264648100845634e-6,2.55304436424176e-6,4.488925162691821e-8,3.812037734624587e-8,5.6017237056288354e-8
adjust/DeBruijn.CPDT/adjust/9,3.391855902764767e-6,3.377986840625446e-6,3.4087903552800614e-6,5.0994464909117473e-8,4.191110592994508e-8,7.026957278857231e-8
