Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Cornell/adjust/1,2.3984682070945194e-8,2.3972459554253142e-8,2.4000618631972273e-8,4.667033929497019e-11,3.47676382847555e-11,6.534246526921898e-11
adjust/DeBruijn.Cornell/adjust/2,9.286191366624479e-8,9.280539331928835e-8,9.295977237966529e-8,2.5592939104841253e-10,1.6231485047728386e-10,3.7780973498925344e-10
adjust/DeBruijn.Cornell/adjust/3,2.1443645818096978e-7,2.1431858554618035e-7,2.1463967873957977e-7,4.967033476227307e-10,3.086255405148743e-10,8.267880720606402e-10
adjust/DeBruijn.Cornell/adjust/4,4.126932114506723e-7,4.1240585936981653e-7,4.132100208935071e-7,1.3016986254841328e-9,8.55303638834995e-10,2.0381326548861603e-9
adjust/DeBruijn.Cornell/adjust/5,6.931482210479572e-7,6.9260950699863e-7,6.941493745457702e-7,2.4099678767202183e-9,1.4065447891421513e-9,3.9466810982145205e-9
adjust/DeBruijn.Cornell/adjust/6,1.0158156244945141e-6,1.0153873507546535e-6,1.0163343763403426e-6,1.6459888343134807e-9,1.3279710174120833e-9,2.1253290867181705e-9
adjust/DeBruijn.Cornell/adjust/7,1.4363992495930788e-6,1.435067020541857e-6,1.4385362160001488e-6,5.632704757923104e-9,3.7096478799252683e-9,9.81266282625767e-9
adjust/DeBruijn.Cornell/adjust/8,1.9919196840408793e-6,1.9909668499895225e-6,1.9931631854864476e-6,3.6070242430281805e-9,2.6886127882907492e-9,4.9475644347219964e-9
adjust/DeBruijn.Cornell/adjust/9,2.6080072508105187e-6,2.6062012460081097e-6,2.609915664605524e-6,6.153141038750024e-9,4.9734710724751405e-9,7.384374466542674e-9
adjust/DeBruijn.Cornell/adjust/10,3.407888653948525e-6,3.4041682502570044e-6,3.4200311561008382e-6,2.0469062801350928e-8,7.048812758432517e-9,4.196044642372988e-8
adjust/DeBruijn.Cornell/adjust/11,4.3349663515078534e-6,4.332387337340921e-6,4.337663556955937e-6,8.99197964162662e-9,6.827169658394213e-9,1.1142171796474702e-8
adjust/DeBruijn.Cornell/adjust/12,5.335062504017218e-6,5.332454001447363e-6,5.338437936427751e-6,1.0078983377552611e-8,7.275010148842379e-9,1.3760235029509496e-8
adjust/DeBruijn.Cornell/adjust/13,6.503593030127654e-6,6.500229123641695e-6,6.508968759243311e-6,1.4313040152668444e-8,9.870725343945268e-9,2.0429069679629712e-8
adjust/DeBruijn.Cornell/adjust/14,7.88256859202471e-6,7.875670147058695e-6,7.897174528593887e-6,3.165569118992825e-8,1.662321513176487e-8,5.681233290977088e-8
adjust/DeBruijn.Cornell/adjust/15,9.51303143909422e-6,9.509041054924105e-6,9.519031787325313e-6,1.626959645486326e-8,1.28107933989273e-8,2.0876657273018884e-8
adjust/DeBruijn.Cornell/adjust/16,1.1286210887095215e-5,1.1280986848643888e-5,1.1292429919424838e-5,1.8390372788360256e-8,1.4030334898462147e-8,2.4492690046948525e-8
adjust/DeBruijn.Cornell/adjust/17,1.339291173008174e-5,1.3383785094256479e-5,1.3407908580485522e-5,3.987506048142245e-8,2.3460759232447513e-8,5.941232431067338e-8
adjust/DeBruijn.Cornell/adjust/18,1.5264128738842484e-5,1.5254019671931557e-5,1.527726843993692e-5,3.9082868279504743e-8,2.88969065537599e-8,5.13687996577635e-8
adjust/DeBruijn.Cornell/adjust/19,1.7746312964548116e-5,1.773638757085635e-5,1.7760389009344424e-5,3.887489887538933e-8,2.7025031309723932e-8,5.53127240270016e-8
adjust/DeBruijn.Cornell/adjust/20,2.0275035678117756e-5,2.0262906258800812e-5,2.0291240905909932e-5,4.6603151752162884e-8,3.591883291594431e-8,6.314504144320696e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Cornell/adjust/1,2.5245934629729012e-8,2.5103959149876502e-8,2.5436125811857456e-8,5.495388030722041e-10,4.69639009250576e-10,6.43882306042456e-10
adjust/DeBruijn.Cornell/adjust/2,9.59170461149459e-8,9.555042783217412e-8,9.642705215709386e-8,1.4593001059679937e-9,1.2151246240155031e-9,1.8171984529008536e-9
adjust/DeBruijn.Cornell/adjust/3,2.1726361641754147e-7,2.1624707651275828e-7,2.187625280036342e-7,4.1246614367367836e-9,2.9394137684513007e-9,5.802484556884879e-9
adjust/DeBruijn.Cornell/adjust/4,4.075530274759868e-7,4.055510006497977e-7,4.09766988142523e-7,7.085108354108393e-9,5.795463819814844e-9,8.35518563586173e-9
adjust/DeBruijn.Cornell/adjust/5,6.97416362903563e-7,6.950358017915725e-7,7.001284174669869e-7,8.411391010641403e-9,6.9117803753845745e-9,9.965895845969488e-9
adjust/DeBruijn.Cornell/adjust/6,1.023486696684821e-6,1.0173413800441179e-6,1.0284886407341824e-6,1.8790044165106116e-8,1.593500068152963e-8,2.2531913789239222e-8
adjust/DeBruijn.Cornell/adjust/7,1.42308824783642e-6,1.4129167723214064e-6,1.4353075325035292e-6,3.560826870358783e-8,2.8579312734810198e-8,4.565115083176581e-8
adjust/DeBruijn.Cornell/adjust/8,1.9196554862466544e-6,1.9140106712164187e-6,1.9257001718828857e-6,2.0113351105807007e-8,1.7215784377647857e-8,2.3051833619582343e-8
adjust/DeBruijn.Cornell/adjust/9,2.603790174012815e-6,2.597850841138072e-6,2.610242188319853e-6,2.1102607338230428e-8,1.7365275563640256e-8,2.5211898381447972e-8
adjust/DeBruijn.Cornell/adjust/10,3.4247172111277087e-6,3.4105179039167218e-6,3.439997381413027e-6,4.895905966366627e-8,3.8692133406995995e-8,6.889574392594733e-8
adjust/DeBruijn.Cornell/adjust/11,4.284471803034484e-6,4.268307813913155e-6,4.3022569084254674e-6,5.696569276552596e-8,4.786693998654063e-8,7.056381297910454e-8
adjust/DeBruijn.Cornell/adjust/12,5.334571780297478e-6,5.303271250474098e-6,5.363992734786237e-6,1.0337034915533285e-7,8.790312383739979e-8,1.2365232516241763e-7
adjust/DeBruijn.Cornell/adjust/13,6.415080235191162e-6,6.395902685580161e-6,6.4404358246932225e-6,7.543156051538412e-8,6.03996091567763e-8,9.708091467597403e-8
adjust/DeBruijn.Cornell/adjust/14,7.746218841020873e-6,7.725032229707823e-6,7.794564737880161e-6,1.0534173303685294e-7,6.290713381733608e-8,1.7259368506240077e-7
adjust/DeBruijn.Cornell/adjust/15,9.263363541486874e-6,9.230011147413513e-6,9.316234591741967e-6,1.3405783682017947e-7,9.476314778090836e-8,1.9728590705991211e-7
adjust/DeBruijn.Cornell/adjust/16,1.0854879628582582e-5,1.0833293780677061e-5,1.0890835363646508e-5,8.886091749925142e-8,5.680296595147489e-8,1.405584664946292e-7
adjust/DeBruijn.Cornell/adjust/17,1.2790753165113053e-5,1.2725047443876038e-5,1.2882924660057294e-5,2.686807902829726e-7,2.0475755953431852e-7,3.2555239490497847e-7
adjust/DeBruijn.Cornell/adjust/18,1.4640420145400294e-5,1.4566964200728963e-5,1.472906283900548e-5,2.8746086427520955e-7,2.2818496343954255e-7,3.733251277377379e-7
adjust/DeBruijn.Cornell/adjust/19,1.6987708661340478e-5,1.6937079438345635e-5,1.705811861709646e-5,2.083746804111222e-7,1.3486768022814196e-7,2.9514363657057186e-7
adjust/DeBruijn.Cornell/adjust/20,1.955713305103543e-5,1.9463527497802267e-5,1.9674427307021298e-5,3.531890009639153e-7,2.766532820241707e-7,4.3304184443273345e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Cornell/adjust/1,2.3402512121446288e-8,2.3338053533620987e-8,2.3562140522434484e-8,3.2773933852647897e-10,1.5114434514827228e-10,6.355740925050634e-10
adjust/DeBruijn.Cornell/adjust/2,1.1797815983857897e-7,1.1651758498936218e-7,1.1953648473978076e-7,4.916671153388658e-9,3.8380621221163695e-9,6.424846209506139e-9
adjust/DeBruijn.Cornell/adjust/3,2.3407396742384702e-7,2.3256074065705799e-7,2.3572588809082546e-7,5.312326835493198e-9,4.356067639919772e-9,6.800207994371385e-9
adjust/DeBruijn.Cornell/adjust/4,4.3451107484462057e-7,4.2847084394943707e-7,4.410179098736899e-7,2.2363083027726958e-8,1.9988430286623305e-8,2.782249279686633e-8
adjust/DeBruijn.Cornell/adjust/5,6.928587597616214e-7,6.91777958720433e-7,6.944020842629271e-7,4.286138202854241e-9,3.2218205160521418e-9,5.650035930509752e-9
adjust/DeBruijn.Cornell/adjust/6,1.008758984251552e-6,1.0076707821855741e-6,1.010775507734781e-6,4.914728798570049e-9,3.4029044662369533e-9,6.962532925556586e-9
adjust/DeBruijn.Cornell/adjust/7,1.4097520932071531e-6,1.4050462731295936e-6,1.4191857790382548e-6,2.2086490132937216e-8,1.508926816403442e-8,3.1957982503812466e-8
