Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Kit/adjust/1,2.1763030997138667e-8,2.175080349532557e-8,2.1776991681237452e-8,4.582936118321901e-11,3.429777308991404e-11,6.420338852679619e-11
adjust/DeBruijn.Kit/adjust/2,8.114395666218859e-8,8.107989882695211e-8,8.123914495427069e-8,2.697361990083156e-10,2.059350691927032e-10,4.076743769374051e-10
adjust/DeBruijn.Kit/adjust/3,2.2765015069028917e-7,2.2750794210881682e-7,2.2781697143011328e-7,5.192289233257013e-10,4.031681352105918e-10,6.642562842586134e-10
adjust/DeBruijn.Kit/adjust/4,4.831616005294292e-7,4.829314603574552e-7,4.835111366315372e-7,9.470368692897093e-10,6.6714307329994e-10,1.4556312945342303e-9
adjust/DeBruijn.Kit/adjust/5,8.949414925350762e-7,8.927726476271296e-7,8.993670306272811e-7,9.940004362759735e-9,4.6004955774839e-9,1.598805446321761e-8
adjust/DeBruijn.Kit/adjust/6,1.4804794626288943e-6,1.4795213071318458e-6,1.4818444541967641e-6,3.783292862871089e-9,2.6325696294288656e-9,5.832064420225978e-9
adjust/DeBruijn.Kit/adjust/7,2.297039858995448e-6,2.295527616743156e-6,2.2990361036651806e-6,6.088558153455489e-9,4.891488629097499e-9,7.739264762152703e-9
adjust/DeBruijn.Kit/adjust/8,3.494857919511653e-6,3.491907402541562e-6,3.4980675787004047e-6,1.0585881565567815e-8,8.580773849464635e-9,1.3294691163102444e-8
adjust/DeBruijn.Kit/adjust/9,5.00769156884601e-6,5.003897482521138e-6,5.014512381087857e-6,1.6377458704728436e-8,1.1293085118577293e-8,2.576032785796787e-8
adjust/DeBruijn.Kit/adjust/10,6.928698389857239e-6,6.924499876444056e-6,6.934017508195574e-6,1.5768182455466227e-8,1.2324646272632307e-8,2.358594954150988e-8
adjust/DeBruijn.Kit/adjust/11,9.302567832466655e-6,9.296521277568433e-6,9.312265498957266e-6,2.4885057226131836e-8,1.9889882220750187e-8,3.384586662118417e-8
adjust/DeBruijn.Kit/adjust/12,1.2347272307626255e-5,1.2339541619158197e-5,1.235829294160866e-5,3.200003795398612e-8,2.4219238171719638e-8,4.477260853584515e-8
adjust/DeBruijn.Kit/adjust/13,1.5735983422233917e-5,1.5727109814090923e-5,1.5747007221272608e-5,3.3992779561753095e-8,2.6228738784402e-8,5.186094268720539e-8
adjust/DeBruijn.Kit/adjust/14,1.9751987784996587e-5,1.974055364321092e-5,1.976696772110931e-5,4.323650398912807e-8,3.0840526864588545e-8,5.7580999183988315e-8
adjust/DeBruijn.Kit/adjust/15,2.4909227533167842e-5,2.4888756662058103e-5,2.493594028724955e-5,7.62888670687805e-8,5.516107379001084e-8,1.0359391571710543e-7
adjust/DeBruijn.Kit/adjust/16,3.129454147869474e-5,3.127554308301875e-5,3.131804021749799e-5,7.191496997118439e-8,5.568285442335656e-8,1.012540301998152e-7
adjust/DeBruijn.Kit/adjust/17,3.83312440235268e-5,3.830236406260376e-5,3.836829351093073e-5,1.103844874752832e-7,8.78857718267442e-8,1.4150602918517368e-7
adjust/DeBruijn.Kit/adjust/18,4.6237825027872806e-5,4.619961810257412e-5,4.6276476276956346e-5,1.2889501573848323e-7,1.0554506863150342e-7,1.666389350930036e-7
adjust/DeBruijn.Kit/adjust/19,5.7005256310540196e-5,5.696529647335916e-5,5.7058392073354036e-5,1.527395537991655e-7,1.1941252714790258e-7,2.0688497654324983e-7
adjust/DeBruijn.Kit/adjust/20,6.803642128166691e-5,6.797102290863155e-5,6.813307402256598e-5,2.66181883598302e-7,1.6858167426589513e-7,4.0799383230523364e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Kit/adjust/1,2.2390632468117603e-8,2.2245380192534517e-8,2.2589417191556453e-8,5.77661759720467e-10,4.306654779159679e-10,7.396560219461177e-10
adjust/DeBruijn.Kit/adjust/2,9.269925668192218e-8,9.232127511314612e-8,9.316986541243094e-8,1.3819109698609433e-9,1.0991926408348963e-9,1.8130310683974615e-9
adjust/DeBruijn.Kit/adjust/3,2.622009067584853e-7,2.5961519964289297e-7,2.6436976888942375e-7,7.989297775478395e-9,6.764069790438877e-9,9.380849452146109e-9
adjust/DeBruijn.Kit/adjust/4,5.215089386044398e-7,5.201625590414276e-7,5.230448077271297e-7,4.830923504578722e-9,3.790545401949246e-9,6.574748151294683e-9
adjust/DeBruijn.Kit/adjust/5,1.0776744150508875e-6,1.0543578400867383e-6,1.1014276533141338e-6,7.756246758426488e-8,6.778647477235067e-8,9.092423654737605e-8
adjust/DeBruijn.Kit/adjust/6,1.5988112895013273e-6,1.5903860560403673e-6,1.6074904809028455e-6,2.873610976272134e-8,2.442575488526336e-8,3.509515692898967e-8
adjust/DeBruijn.Kit/adjust/7,2.4358452503356437e-6,2.425640185643141e-6,2.4478707381071406e-6,3.665424298608676e-8,2.9504120477289483e-8,4.517751139022763e-8
adjust/DeBruijn.Kit/adjust/8,3.821260910560597e-6,3.7693715109350452e-6,3.904637461068873e-6,2.19878398008781e-7,1.4612636565103775e-7,3.0867300521840884e-7
adjust/DeBruijn.Kit/adjust/9,5.400266356872489e-6,5.366529082491104e-6,5.4306435824045125e-6,1.0902391229381209e-7,9.548803608909224e-8,1.2848943928554522e-7
adjust/DeBruijn.Kit/adjust/10,7.29114231723475e-6,7.2753052523104965e-6,7.306630001196016e-6,5.288947551872604e-8,4.3400264062672745e-8,6.325835809457526e-8
adjust/DeBruijn.Kit/adjust/11,9.691421635361461e-6,9.65432564401793e-6,9.747496394109379e-6,1.5465319242242175e-7,1.1989723343590042e-7,2.0058811160214177e-7
